Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
Q13409-3;Q13409-2;Q13409;Q13409-6;Q13409-7;Q13409-5,Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,0.677,0.286,-0.308,0.000,
P14635;P14635-2,G2/mitotic-specific cyclin-B1,CCNB1,0.677,3.275,-0.615,0.000,
O15320;O15320-3;O15320-10;O15320-8;O15320-4;O15320-5;O15320-6;O15320-7;O15320-2;O15320-9,cTAGE family member 5,CTAGE5,0.676,0.198,0.021,0.000,
Q03518,Antigen peptide transporter 1,TAP1,0.676,0.074,0.131,0.000,
Q86YQ8,Copine-8,CPNE8,0.675,0.727,0.010,0.000,
Q86UK7;Q86UK7-3;Q86UK7-2,Zinc finger protein 598,ZNF598,0.674,0.007,-0.257,0.000,
P28074;P28074-3;P28074-2,Proteasome subunit beta type-5,PSMB5,0.674,1.058,-0.742,0.000,
P08708,40S ribosomal protein S17,RPS17,0.674,0.168,-0.366,0.000,
Q9Y6M1;Q9Y6M1-1;Q9Y6M1-5;Q9Y6M1-6;Q9Y6M1-3;Q9Y6M1-4,Insulin-like growth factor 2 mRNA-binding protein 2,IGF2BP2,0.674,0.383,-0.332,0.000,
Q96EY1-2;Q96EY1-3,"DnaJ homolog subfamily A member 3, mitochondrial",DNAJA3,0.674,0.112,-0.619,0.000,
P14625,Endoplasmin,HSP90B1,0.673,0.008,0.898,0.000,
P13674-2,Prolyl 4-hydroxylase subunit alpha-1,P4HA1,0.673,0.149,0.592,0.000,
Q8IY67-2;Q8IY67,Ribonucleoprotein PTB-binding 1,RAVER1,0.672,0.681,-0.712,0.000,
P19525;P19525-2,"Interferon-induced, double-stranded RNA-activated protein kinase",EIF2AK2,0.672,0.019,-0.663,0.000,
Q9UKY7;Q9UKY7-2,Protein CDV3 homolog,CDV3,0.672,0.312,-0.671,0.000,
O95249;O95249-2,Golgi SNAP receptor complex member 1,GOSR1,0.672,0.068,-0.681,0.000,
P09960;P09960-4;P09960-2;P09960-3,Leukotriene A-4 hydrolase,LTA4H,0.671,5.110,-0.682,0.000,
Q06787-7;Q06787-6;Q06787-4,Fragile X mental retardation protein 1,FMR1,0.671,0.100,-0.140,0.000,
Q13045;Q13045-3,Protein flightless-1 homolog,FLII,0.671,2.261,-0.396,0.000,
Q9NRY5,Protein FAM114A2,FAM114A2,0.671,1.207,-0.655,0.000,
P39656;P39656-3;P39656-2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,0.671,0.040,0.159,0.000,
P06744,Glucose-6-phosphate isomerase,GPI,0.671,0.691,-0.103,0.000,
P02786,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,0.670,0.202,0.415,0.000,
P46976-2;P46976;P46976-3,Glycogenin-1,GYG1,0.670,2.555,-0.108,0.000,
Q9HAV4,Exportin-5,XPO5,0.670,2.763,-0.874,0.000,
P22694;P22694-2;P22694-4;P22694-3;P22694-5;P22694-7;P22694-6;P22694-9;P22694-8;P22694-10,cAMP-dependent protein kinase catalytic subunit beta,PRKACB,0.669,1.599,-0.761,0.000,
O43707;O43707-2;O43707-3,Alpha-actinin-4,ACTN4,0.668,0.006,-0.439,0.000,
Q86XZ4,Spermatogenesis-associated serine-rich protein 2,SPATS2,0.668,0.591,-0.457,0.000,
P05455,Lupus La protein,SSB,0.668,0.912,-0.553,0.000,
Q9UBP0;Q9UBP0-3;Q9UBP0-4;Q9UBP0-2,Spastin,SPAST,0.668,2.051,0.578,0.000,
Q6NVY1;Q6NVY1-2,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,0.667,0.040,-0.588,0.000,
P61421,V-type proton ATPase subunit d 1,ATP6V0D1,0.666,0.178,0.432,0.000,
Q15393,Splicing factor 3B subunit 3,SF3B3,0.666,0.220,-0.564,0.000,
P62829,60S ribosomal protein L23,RPL23,0.665,0.019,-0.470,0.000,
P63000-2;P63000;P60763,Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 3,RAC1;RAC3,0.665,0.092,-0.312,0.000,
O75521;O75521-2,"Enoyl-CoA delta isomerase 2, mitochondrial",ECI2,0.664,0.048,-0.174,0.000,
O14662-4;O14662;O14662-5;O14662-2;O14662-6;O14662-3,Syntaxin-16,STX16,0.664,0.592,0.408,0.000,
O75175;O75175-2,CCR4-NOT transcription complex subunit 3,CNOT3,0.664,0.033,-0.245,0.000,
Q5VZ89;Q5VZ89-6;Q5VZ89-5;Q5VZ89-2,DENN domain-containing protein 4C,DENND4C,0.662,2.205,-0.276,0.000,
Q9NYK5;Q9NYK5-2,"39S ribosomal protein L39, mitochondrial",MRPL39,0.662,0.083,-0.395,0.000,
P41567,Eukaryotic translation initiation factor 1,EIF1,0.662,0.108,0.609,0.000,
P51511,Matrix metalloproteinase-15,MMP15,0.661,9.587,0.207,0.000,
Q14244;Q14244-2;Q14244-6;Q14244-7;Q14244-3;Q14244-4;Q14244-5,Ensconsin,MAP7,0.661,0.138,0.395,0.000,
Q9BRJ6,Uncharacterized protein C7orf50,C7orf50,0.660,0.369,-0.718,0.000,
P41214;P41214-2,Eukaryotic translation initiation factor 2D,EIF2D,0.659,0.125,-0.378,0.000,
O95302;O95302-3;O95302-2,Peptidyl-prolyl cis-trans isomerase FKBP9,FKBP9,0.659,0.008,0.619,0.000,
Q96K17;Q96K17-2,Transcription factor BTF3 homolog 4,BTF3L4,0.659,0.397,-0.389,0.000,
P53621;P53621-2,Coatomer subunit alpha;Xenin;Proxenin,COPA,0.658,0.026,-0.775,0.000,
P50395;P50395-2,Rab GDP dissociation inhibitor beta,GDI2,0.658,0.496,-0.144,0.000,
P04818;P04818-2;P04818-3,Thymidylate synthase,TYMS,0.657,2.612,-0.807,0.000,
Q13616,Cullin-1,CUL1,0.657,0.078,0.121,0.000,
Q9NPI6;Q9NPI6-2,mRNA-decapping enzyme 1A,DCP1A,0.657,0.845,0.315,0.000,
P60709,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTB,0.657,0.021,0.156,0.000,
P39748;P39748-2,Flap endonuclease 1,FEN1,0.657,0.043,-0.447,0.000,
P28288;P28288-2,ATP-binding cassette sub-family D member 3,ABCD3,0.657,0.014,-0.423,0.000,
P61088;Q5JXB2,Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like,UBE2N;UBE2NL,0.656,0.119,-0.491,0.000,
O60506;O60506-2,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,0.655,0.047,-0.462,0.000,
Q14558;Q14558-2,Phosphoribosyl pyrophosphate synthase-associated protein 1,PRPSAP1,0.655,3.509,-0.301,0.000,
Q9Y2B0,Protein canopy homolog 2,CNPY2,0.655,0.231,0.750,0.000,
P35610;P35610-3;P35610-2,Sterol O-acyltransferase 1,SOAT1,0.655,0.017,-0.575,0.000,
P35249;P35249-2,Replication factor C subunit 4,RFC4,0.655,0.036,-0.345,0.000,
P07910-2;P07910-4,Heterogeneous nuclear ribonucleoproteins C1/C2,HNRNPC,0.655,0.079,-0.387,0.000,
O75477,Erlin-1,ERLIN1,0.655,0.032,-0.730,0.000,
Q08211,ATP-dependent RNA helicase A,DHX9,0.654,0.004,-0.500,0.000,
Q01974,Tyrosine-protein kinase transmembrane receptor ROR2,ROR2,0.654,2.346,0.554,0.000,
Q9BUQ8,Probable ATP-dependent RNA helicase DDX23,DDX23,0.653,1.074,-0.816,0.000,
O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase,SNRNP200,0.653,0.033,-0.355,0.000,
Q9Y639;Q9Y639-4;Q9Y639-5;Q9Y639-3;Q9Y639-1,Neuroplastin,NPTN,0.653,0.465,-0.311,0.000,
P07948,Tyrosine-protein kinase Lyn,LYN,0.652,0.266,0.104,0.000,
Q9UQ80;Q9UQ80-2,Proliferation-associated protein 2G4,PA2G4,0.651,0.050,-0.282,0.000,
Q12906-7;Q12906-4;Q12906-6,Interleukin enhancer-binding factor 3,ILF3,0.651,0.002,0.383,0.000,
O00461,Golgi integral membrane protein 4,GOLIM4,0.651,0.148,-0.031,0.000,
O95292,Vesicle-associated membrane protein-associated protein B/C,VAPB,0.651,0.007,-0.423,0.000,
Q9H270,Vacuolar protein sorting-associated protein 11 homolog,VPS11,0.651,7.374,-0.734,0.000,
P05556;P05556-2;P05556-5;P05556-4;P05556-3,Integrin beta-1,ITGB1,0.650,0.173,0.309,0.000,
Q13724;Q13724-2,Mannosyl-oligosaccharide glucosidase,MOGS,0.650,0.034,-0.656,0.000,
Q99798,"Aconitate hydratase, mitochondrial",ACO2,0.650,0.013,-0.576,0.000,
Q96AY3;Q96AY3-2,Peptidyl-prolyl cis-trans isomerase FKBP10,FKBP10,0.649,0.078,-0.019,0.000,
Q9H7Z7,Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form,PTGES2,0.649,0.017,-0.320,0.000,
P30042;P30042-2,"ES1 protein homolog, mitochondrial",C21orf33,0.649,0.141,-0.905,0.000,
P43487;P43487-2,Ran-specific GTPase-activating protein,RANBP1,0.649,1.915,-0.103,0.000,
P00387;P00387-2;P00387-3,NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 reductase 3 membrane-bound form;NADH-cytochrome b5 reductase 3 soluble form,CYB5R3,0.648,0.382,0.320,0.000,
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,PPP1CB,0.648,1.424,-0.258,0.000,
P05388;P05388-2;Q8NHW5,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,0.647,0.008,-0.455,0.000,
O14744;O14744-2;O14744-5;O14744-3;O14744-4,"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed",PRMT5,0.647,1.166,-0.548,0.000,
P27824;P27824-2;P27824-3,Calnexin,CANX,0.646,0.028,-0.014,0.000,
P46459;P46459-2,Vesicle-fusing ATPase,NSF,0.646,0.013,-0.860,0.000,
Q14103-3;Q14103,Heterogeneous nuclear ribonucleoprotein D0,HNRNPD,0.646,0.014,-0.414,0.000,
Q14185,Dedicator of cytokinesis protein 1,DOCK1,0.645,0.428,-0.615,0.000,
Q9NUQ8;Q9NUQ8-2,ATP-binding cassette sub-family F member 3,ABCF3,0.645,0.368,-0.707,0.000,
Q15165;Q15165-1,Serum paraoxonase/arylesterase 2,PON2,0.644,0.005,-0.091,0.000,
Q9Y5M8,Signal recognition particle receptor subunit beta,SRPRB,0.644,0.037,-0.357,0.000,
P17844;P17844-2,Probable ATP-dependent RNA helicase DDX5,DDX5,0.643,0.014,-0.658,0.000,
P09382,Galectin-1,LGALS1,0.643,0.123,0.091,0.000,
Q9Y371;Q9Y371-2;Q9Y371-3,Endophilin-B1,SH3GLB1,0.643,2.426,-0.649,0.000,
Q10567-3;Q10567-4,AP-1 complex subunit beta-1,AP1B1,0.643,0.046,0.183,0.000,
Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1,DYNC1LI1,0.642,0.036,-0.534,0.000,
Q9BZZ5-2;Q9BZZ5-5,Apoptosis inhibitor 5,API5,0.642,0.019,0.077,0.000,
Q9Y4L1,Hypoxia up-regulated protein 1,HYOU1,0.641,0.124,0.466,0.000,
Q5T6F2,Ubiquitin-associated protein 2,UBAP2,0.640,0.048,-0.735,0.000,
Q16658,Fascin,FSCN1,0.640,0.658,-0.036,0.000,
Q5T9A4;Q5T9A4-3,ATPase family AAA domain-containing protein 3B,ATAD3B,0.639,0.493,-0.367,0.000,
Q92917,G patch domain and KOW motifs-containing protein,GPKOW,0.639,0.496,-0.269,0.000,
O60716-3;O60716-5;O60716;O60716-2;O60716-8;O60716-7;O60716-4;O60716-13;O60716-11;O60716-6;O60716-10;O60716-9;O60716-21;O60716-19;O60716-16;O60716-18;O60716-15;O60716-17;O60716-14;O60716-12;O60716-24;O60716-23;O60716-22;O60716-20;O60716-29;O60716-27;O60716-26;O60716-25;O60716-32;O60716-31;O60716-30;O60716-28,Catenin delta-1,CTNND1,0.639,0.092,-0.476,0.000,
P09012,U1 small nuclear ribonucleoprotein A,SNRPA,0.639,0.404,-0.414,0.000,
P46063,ATP-dependent DNA helicase Q1,RECQL,0.638,0.099,-0.378,0.000,
P13639,Elongation factor 2,EEF2,0.638,0.004,-0.253,0.000,
Q16718;Q16718-2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,NDUFA5,0.638,0.008,-0.774,0.000,
Q14671-2;Q14671-3,Pumilio homolog 1,PUM1,0.637,0.011,-0.777,0.000,
Q13332-6;Q13332-2;Q13332-3;Q13332;Q13332-4;Q13332-7;Q13332-5,Receptor-type tyrosine-protein phosphatase S,PTPRS,0.637,0.499,0.331,0.000,
Q9BQ95;Q9BQ95-2;Q9BQ95-4,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",ECSIT,0.636,0.349,0.406,0.000,
Q4G0F5,Vacuolar protein sorting-associated protein 26B,VPS26B,0.636,7.899,0.436,0.000,
P14618;P14618-2,Pyruvate kinase PKM,PKM,0.635,0.117,-0.072,0.000,
Q9NW64;Q9NW64-2,Pre-mRNA-splicing factor RBM22,RBM22,0.635,3.747,-0.463,0.000,
P12956;P12956-2,X-ray repair cross-complementing protein 6,XRCC6,0.634,0.006,-0.412,0.000,
Q04637;Q04637-3;Q04637-9;Q04637-5;Q04637-4;Q04637-6,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1,0.634,0.012,-0.434,0.000,
Q16706,Alpha-mannosidase 2,MAN2A1,0.633,0.085,-0.928,0.000,
Q14739,Lamin-B receptor,LBR,0.633,0.495,-0.228,0.000,
O75534;O75534-2;O75534-4;O75534-3,Cold shock domain-containing protein E1,CSDE1,0.632,0.015,-0.289,0.000,
Q8TDN6,Ribosome biogenesis protein BRX1 homolog,BRIX1,0.632,0.332,-0.186,0.000,
P35637;P35637-2,RNA-binding protein FUS,FUS,0.632,0.017,-0.752,0.000,
P07741;P07741-2,Adenine phosphoribosyltransferase,APRT,0.632,3.999,-0.499,0.000,
O15118;O15118-2,Niemann-Pick C1 protein,NPC1,0.631,3.651,-0.500,0.000,
P49915;P49915-2,GMP synthase [glutamine-hydrolyzing],GMPS,0.631,1.345,-0.089,0.000,
P43034,Platelet-activating factor acetylhydrolase IB subunit alpha,PAFAH1B1,0.631,0.965,-0.458,0.000,
P30086,Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide,PEBP1,0.631,0.886,-0.058,0.000,
P41223;P41223-2,Protein BUD31 homolog,BUD31,0.631,0.062,-0.167,0.000,
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,0.631,0.058,-0.066,0.000,
P61978-2;P61978,Heterogeneous nuclear ribonucleoprotein K,HNRNPK,0.630,0.006,0.235,0.000,
Q9GZZ1;Q9GZZ1-2,N-alpha-acetyltransferase 50,NAA50,0.629,0.075,-0.019,0.000,
P35268,60S ribosomal protein L22,RPL22,0.629,1.603,-0.599,0.000,
Q9BUZ4,TNF receptor-associated factor 4,TRAF4,0.628,0.109,0.041,0.000,
Q8TEQ6,Gem-associated protein 5,GEMIN5,0.627,0.030,-0.751,0.000,
Q86W42;Q86W42-3;Q86W42-2,THO complex subunit 6 homolog,THOC6,0.627,0.089,0.258,0.000,
Q7L576;Q7L576-2,Cytoplasmic FMR1-interacting protein 1,CYFIP1,0.627,0.033,-0.797,0.000,
Q92887,Canalicular multispecific organic anion transporter 1,ABCC2,0.627,0.067,0.002,0.000,
Q8N3C0,Activating signal cointegrator 1 complex subunit 3,ASCC3,0.626,0.008,-0.702,0.000,
P08243;P08243-2;P08243-3,Asparagine synthetase [glutamine-hydrolyzing],ASNS,0.626,0.970,-0.117,0.000,
Q13310-3;Q13310-2;Q13310,Polyadenylate-binding protein 4,PABPC4,0.625,0.038,-0.140,0.000,
P78527;P78527-2,DNA-dependent protein kinase catalytic subunit,PRKDC,0.625,0.004,-0.468,0.000,
Q9BUL8,Programmed cell death protein 10,PDCD10,0.625,0.087,-0.933,0.000,
Q96GM8;Q96GM8-2,Target of EGR1 protein 1,TOE1,0.624,1.714,-0.030,0.000,
O43143,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,DHX15,0.624,0.495,-0.428,0.000,
P53985;P53985-2,Monocarboxylate transporter 1,SLC16A1,0.622,1.318,-0.181,0.000,
Q96RQ1,Endoplasmic reticulum-Golgi intermediate compartment protein 2,ERGIC2,0.622,0.530,-0.460,0.000,
Q8NI22;Q8NI22-2;Q8NI22-3,Multiple coagulation factor deficiency protein 2,MCFD2,0.622,0.117,0.094,0.000,
P11586,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,0.622,0.003,-0.557,0.000,
P13284,Gamma-interferon-inducible lysosomal thiol reductase,IFI30,0.619,0.067,0.373,0.000,
O95347;O95347-2,Structural maintenance of chromosomes protein 2,SMC2,0.619,0.043,-0.578,0.000,
P26358;P26358-2;P26358-3,DNA (cytosine-5)-methyltransferase 1,DNMT1,0.619,2.555,-0.427,0.000,
O43390;O43390-3,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,0.618,0.178,-0.672,0.000,
P35579;P35579-2,Myosin-9,MYH9,0.617,0.003,-0.529,0.000,
Q9H4A3;Q9H4A3-5;Q9H4A3-2;Q9H4A3-6;Q9H4A3-7;Q9H4A3-4,Serine/threonine-protein kinase WNK1,WNK1,0.617,8.056,-0.492,0.000,
P21926,CD9 antigen,CD9,0.617,1.500,0.131,0.000,
Q9NNW7;Q9NNW7-2;Q9NNW7-3;Q9NNW7-4,"Thioredoxin reductase 2, mitochondrial",TXNRD2,0.617,0.177,-0.543,0.000,
P82933,"28S ribosomal protein S9, mitochondrial",MRPS9,0.616,0.026,-0.341,0.000,
P16152;P16152-2,Carbonyl reductase [NADPH] 1,CBR1,0.615,0.774,-0.138,0.000,
Q9BXB5;Q9BXB5-2,Oxysterol-binding protein-related protein 10,OSBPL10,0.614,0.638,0.085,0.000,
Q9NXF1;Q9NXF1-2,Testis-expressed sequence 10 protein,TEX10,0.613,0.017,-0.330,0.000,
Q9NSV4;Q9NSV4-7;Q9NSV4-6;Q9NSV4-1;Q9NSV4-2,Protein diaphanous homolog 3,DIAPH3,0.613,0.009,-0.488,0.000,
Q7L2H7;Q7L2H7-2,Eukaryotic translation initiation factor 3 subunit M,EIF3M,0.613,0.001,-0.502,0.000,
Q96S66;Q96S66-2;Q96S66-3;Q96S66-4,Chloride channel CLIC-like protein 1,CLCC1,0.613,0.388,0.297,0.000,
P62873;P62873-2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,0.612,0.750,0.151,0.000,
Q9BYN8,"28S ribosomal protein S26, mitochondrial",MRPS26,0.611,0.307,-0.297,0.000,
P34896-2;P34896;P34896-3;P34896-4,"Serine hydroxymethyltransferase, cytosolic",SHMT1,0.611,2.733,0.568,0.000,
Q5T4S7;Q5T4S7-3;Q5T4S7-4;Q5T4S7-2,E3 ubiquitin-protein ligase UBR4,UBR4,0.611,0.446,-0.769,0.000,
O00231;O00231-2,26S proteasome non-ATPase regulatory subunit 11,PSMD11,0.611,0.040,0.045,0.000,
Q9Y6Y8;Q9Y6Y8-2,SEC23-interacting protein,SEC23IP,0.611,2.630,-0.376,0.000,
P21964;P21964-2,Catechol O-methyltransferase,COMT,0.610,0.002,0.290,0.000,
P26006;P26006-1,Integrin alpha-3;Integrin alpha-3 heavy chain;Integrin alpha-3 light chain,ITGA3,0.610,0.646,0.226,0.000,
P30085,UMP-CMP kinase,CMPK1,0.609,1.081,-0.022,0.000,
Q58FF8,Putative heat shock protein HSP 90-beta 2,HSP90AB2P,0.608,0.184,0.168,0.000,
O75116,Rho-associated protein kinase 2,ROCK2,0.607,0.044,-0.597,0.000,
P39023,60S ribosomal protein L3,RPL3,0.607,0.006,-0.284,0.000,
P51148;P51148-2,Ras-related protein Rab-5C,RAB5C,0.606,0.102,-0.100,0.000,
O14979;O14979-3;O14979-2,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,0.606,0.281,-0.494,0.000,
P63220,40S ribosomal protein S21,RPS21,0.605,0.005,0.185,0.000,
Q9NVD7,Alpha-parvin,PARVA,0.604,0.031,-0.576,0.000,
Q8WVM8;Q8WVM8-2;Q8WVM8-3,Sec1 family domain-containing protein 1,SCFD1,0.603,0.014,-0.258,0.000,
Q13586;Q13586-2,Stromal interaction molecule 1,STIM1,0.602,0.469,-0.263,0.000,
P63279,SUMO-conjugating enzyme UBC9,UBE2I,0.602,0.571,-0.274,0.000,
P67812;P67812-4;P67812-3;P67812-2,Signal peptidase complex catalytic subunit SEC11A,SEC11A,0.602,0.302,0.160,0.000,
O15260;O15260-2;O15260-3,Surfeit locus protein 4,SURF4,0.600,0.049,0.492,0.000,
P05026;P05026-2,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,0.600,0.068,0.168,0.000,
Q96HE7,ERO1-like protein alpha,ERO1L,0.600,0.056,0.553,0.000,
O00159-3;O00159,Unconventional myosin-Ic,MYO1C,0.600,0.173,-0.572,0.000,
O60684,Importin subunit alpha-7,KPNA6,0.599,0.680,-0.556,0.000,
P33991,DNA replication licensing factor MCM4,MCM4,0.599,1.599,-0.363,0.000,
Q6UWP7;Q6UWP7-3,Lysocardiolipin acyltransferase 1,LCLAT1,0.597,2.819,-0.235,0.000,
Q9H4G0,Band 4.1-like protein 1,EPB41L1,0.596,0.340,-0.313,0.000,
Q9ULF5,Zinc transporter ZIP10,SLC39A10,0.596,0.351,0.106,0.000,
Q96JG6,Coiled-coil domain-containing protein 132,CCDC132,0.595,2.967,-0.423,0.000,
Q13151,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0,0.594,0.057,-0.434,0.000,
Q9Y520-4;Q9Y520;Q9Y520-5;Q9Y520-7;Q9Y520-6;Q9Y520-3;Q9Y520-2,Protein PRRC2C,PRRC2C,0.594,0.028,-0.186,0.000,
P47755;P47755-2,F-actin-capping protein subunit alpha-2,CAPZA2,0.593,1.343,0.085,0.000,
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",AGPS,0.593,0.042,-0.237,0.000,
Q09161,Nuclear cap-binding protein subunit 1,NCBP1,0.593,0.395,-0.012,0.000,
Q9UHA4;Q9UHA4-2,Ragulator complex protein LAMTOR3,LAMTOR3,0.593,0.228,-0.379,0.000,
P61026,Ras-related protein Rab-10,RAB10,0.593,0.011,-0.470,0.000,
P25325;P25325-2,3-mercaptopyruvate sulfurtransferase,MPST,0.592,0.848,-0.219,0.000,
Q96EP5;Q96EP5-2,DAZ-associated protein 1,DAZAP1,0.592,0.151,0.197,0.000,
P08962;P08962-3;P08962-2,CD63 antigen,CD63,0.591,0.106,0.360,0.000,
O75947;O75947-2,"ATP synthase subunit d, mitochondrial",ATP5H,0.591,0.009,-0.786,0.000,
Q53GS9;Q53GS9-3,U4/U6.U5 tri-snRNP-associated protein 2,USP39,0.591,0.054,-0.848,0.000,
O15126;O15126-2,Secretory carrier-associated membrane protein 1,SCAMP1,0.590,1.979,-0.538,0.000,
O95819-3;O95819-5;O95819-4;O95819-2,Mitogen-activated protein kinase kinase kinase kinase 4,MAP4K4,0.590,1.927,-0.249,0.000,
Q12913,Receptor-type tyrosine-protein phosphatase eta,PTPRJ,0.590,8.742,-0.815,0.000,
P36776;P36776-2;P36776-3,"Lon protease homolog, mitochondrial",LONP1,0.589,0.032,-0.968,0.000,
Q13867,Bleomycin hydrolase,BLMH,0.588,4.148,0.285,0.000,
P13984,General transcription factor IIF subunit 2,GTF2F2,0.587,1.616,-0.358,0.000,
Q32P28;Q32P28-4;Q32P28-3,Prolyl 3-hydroxylase 1,LEPRE1,0.587,0.611,-0.129,0.000,
Q08380,Galectin-3-binding protein,LGALS3BP,0.587,0.067,-0.191,0.000,
Q02809;Q02809-2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",PLOD1,0.585,0.027,-0.442,0.000,
P54920,Alpha-soluble NSF attachment protein,NAPA,0.585,0.038,0.681,0.000,
Q9UBI6,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,GNG12,0.585,0.545,0.309,0.000,
P16070;P16070-11;P16070-10;P16070-16;P16070-17;P16070-6;P16070-4;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-8,CD44 antigen,CD44,0.584,0.361,0.174,0.000,
Q5VZK9;Q5VZK9-2,Leucine-rich repeat-containing protein 16A,LRRC16A,0.584,0.211,-0.493,0.000,
P54709,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3,0.584,0.199,-0.140,0.000,
Q96J02;Q96J02-2;Q96J02-3,E3 ubiquitin-protein ligase Itchy homolog,ITCH,0.584,0.395,0.190,0.000,
O14880,Microsomal glutathione S-transferase 3,MGST3,0.583,1.516,-0.448,0.000,
Q08945,FACT complex subunit SSRP1,SSRP1,0.583,13.864,-0.768,0.000,
Q99436,Proteasome subunit beta type-7,PSMB7,0.582,1.972,-0.244,0.000,
Q9BRR6;Q9BRR6-2,ADP-dependent glucokinase,ADPGK,0.581,0.199,-0.556,0.000,
Q9BWD1;Q9BWD1-2,"Acetyl-CoA acetyltransferase, cytosolic",ACAT2,0.580,6.694,0.438,0.000,
Q9H8Y5,Ankyrin repeat and zinc finger domain-containing protein 1,ANKZF1,0.580,1.233,-0.258,0.000,
P11279;P11279-2,Lysosome-associated membrane glycoprotein 1,LAMP1,0.579,0.684,-0.383,0.000,
O43399;O43399-5;O43399-7,Tumor protein D54,TPD52L2,0.579,0.047,0.289,0.000,
P13051;P13051-2,Uracil-DNA glycosylase,UNG,0.579,1.594,-0.648,0.000,
P07686,Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A,HEXB,0.579,0.031,0.408,0.000,
Q99873;Q99873-3;Q99873-2;Q99873-4,Protein arginine N-methyltransferase 1,PRMT1,0.579,0.078,-0.280,0.000,
Q9P035,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3,HACD3,0.578,0.017,-0.133,0.000,
Q92783;Q92783-2,Signal transducing adapter molecule 1,STAM,0.578,2.734,0.210,0.000,
P33992,DNA replication licensing factor MCM5,MCM5,0.578,5.209,-0.121,0.000,
Q8N183,"Mimitin, mitochondrial",NDUFAF2,0.577,0.004,-0.642,0.000,
O60488;O60488-2,Long-chain-fatty-acid--CoA ligase 4,ACSL4,0.575,0.099,-0.228,0.000,
Q9UPT5;Q9UPT5-5;Q9UPT5-6;Q9UPT5-2;Q9UPT5-1,Exocyst complex component 7,EXOC7,0.574,0.728,0.379,0.000,
P07737,Profilin-1,PFN1,0.574,0.456,-0.300,0.000,
Q8TB61;Q8TB61-3;Q8TB61-2;Q8TB61-5;Q8TB61-4,Adenosine 3-phospho 5-phosphosulfate transporter 1,SLC35B2,0.574,0.582,-0.526,0.000,
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,CDC42BPB,0.574,0.539,-0.672,0.000,
P40937;P40937-2,Replication factor C subunit 5,RFC5,0.573,0.133,-0.552,0.000,
Q12965,Unconventional myosin-Ie,MYO1E,0.572,0.271,0.022,0.000,
P37802;P37802-2,Transgelin-2,TAGLN2,0.572,0.380,-0.100,0.000,
P61019;P61019-2,Ras-related protein Rab-2A,RAB2A,0.572,0.423,0.027,0.000,
P51665,26S proteasome non-ATPase regulatory subunit 7,PSMD7,0.571,0.377,0.123,0.000,
