UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q8CAQ8;Q8CAQ8-3,Mitochondrial inner membrane protein GN=Immt PE=1 SV=1 - [IMMT_MOUSE]|Isoform 2 of Mitochondrial inner membrane protein GN=Immt - [IMMT_MOUSE]|Isoform 3 of Mitochondrial inner membrane protein GN=Immt - [IMMT_MOUSE],29,49,55.4,0.000,0.006,0.011,0.009,0.026,0.088,0.231,0.279,0.089,0.259
Q6P5F9,Exportin-1 GN=Xpo1 PE=1 SV=1 - [XPO1_MOUSE],29,47,38.8,0.526,0.038,0.057,0.021,0.032,0.028,0.030,0.064,0.127,0.075
Q6A026,Sister chromatid cohesion protein PDS5 homolog A GN=Pds5a PE=3 SV=3 - [PDS5A_MOUSE],29,42,30.3,0.072,0.007,0.008,0.004,0.013,0.030,0.100,0.306,0.195,0.264
Q8CIE6,Coatomer subunit alpha GN=Copa PE=1 SV=2 - [COPA_MOUSE],29,41,29.4,0.296,0.050,0.063,0.039,0.087,0.112,0.081,0.125,0.028,0.119
P70227,"Inositol 1,4,5-trisphosphate receptor type 3 GN=Itpr3 PE=1 SV=3 - [ITPR3_MOUSE]",29,36,16.9,0.000,0.065,0.079,0.055,0.146,0.275,0.125,0.117,0.031,0.106
Q8BX70-3,Isoform 3 of Vacuolar protein sorting-associated protein 13C GN=Vps13c - [VP13C_MOUSE],29,31,12.9,0.036,0.175,0.147,0.104,0.159,0.110,0.061,0.112,0.000,0.096
Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE],28,73,42.9,0.001,0.290,0.179,0.107,0.174,0.122,0.055,0.041,0.004,0.028
Q8BMK4,Cytoskeleton-associated protein 4 GN=Ckap4 PE=2 SV=2 - [CKAP4_MOUSE],28,72,53.0,0.000,0.026,0.034,0.033,0.087,0.276,0.206,0.162,0.037,0.140
P80313,T-complex protein 1 subunit eta GN=Cct7 PE=1 SV=1 - [TCPH_MOUSE],28,60,61.2,0.415,0.103,0.096,0.048,0.065,0.053,0.027,0.066,0.023,0.103
Q9D0E1-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein M GN=Hnrnpm - [HNRPM_MOUSE],28,58,42.3,0.131,0.013,0.021,0.008,0.021,0.030,0.045,0.082,0.480,0.170
Q99P72,Reticulon-4 GN=Rtn4 PE=1 SV=2 - [RTN4_MOUSE],28,55,46.7,0.011,0.085,0.112,0.075,0.210,0.252,0.111,0.084,0.000,0.061
P29341,Polyadenylate-binding protein 1 GN=Pabpc1 PE=1 SV=2 - [PABP1_MOUSE],28,53,45.8,0.327,0.056,0.065,0.024,0.046,0.059,0.055,0.087,0.081,0.200
Q99KI0,"Aconitate hydratase, mitochondrial GN=Aco2 PE=1 SV=1 - [ACON_MOUSE]",28,53,48.1,0.002,0.011,0.013,0.012,0.035,0.077,0.206,0.355,0.007,0.283
Q920B9,FACT complex subunit SPT16 GN=Supt16h PE=1 SV=2 - [SP16H_MOUSE],28,48,29.3,0.198,0.007,0.019,0.004,0.009,0.028,0.075,0.278,0.143,0.239
Q9WVL3,Solute carrier family 12 member 7 GN=Slc12a7 PE=1 SV=1 - [S12A7_MOUSE],28,47,30.6,0.000,0.193,0.143,0.105,0.224,0.169,0.073,0.053,0.004,0.036
Q9ESZ8-5,Isoform 5 of General transcription factor II-I GN=Gtf2i - [GTF2I_MOUSE],28,46,42.8,0.022,0.004,0.005,0.002,0.008,0.026,0.091,0.324,0.213,0.306
Q3TKT4,Transcription activator BRG1 GN=Smarca4 PE=1 SV=1 - [SMCA4_MOUSE],28,45,24.0,0.066,0.000,0.006,0.000,0.008,0.024,0.088,0.287,0.252,0.270
B2RXS4,Plexin-B2 GN=Plxnb2 PE=1 SV=1 - [PLXB2_MOUSE],28,41,21.9,0.000,0.321,0.201,0.127,0.187,0.096,0.033,0.022,0.000,0.013
F8VQB6,Unconventional myosin-X GN=Myo10 PE=1 SV=1 - [MYO10_MOUSE],28,40,19.8,0.028,0.306,0.188,0.115,0.143,0.101,0.042,0.030,0.014,0.034
O08808,Protein diaphanous homolog 1 GN=Diaph1 PE=1 SV=1 - [DIAP1_MOUSE],28,39,28.8,0.215,0.188,0.108,0.068,0.084,0.074,0.053,0.109,0.017,0.084
Q60597,"2-oxoglutarate dehydrogenase, mitochondrial GN=Ogdh PE=1 SV=3 - [ODO1_MOUSE]",28,39,28.8,0.000,0.008,0.009,0.008,0.029,0.079,0.213,0.341,0.027,0.285
Q9JMH9,Unconventional myosin-XVIIIa GN=Myo18a PE=1 SV=2 - [MY18A_MOUSE],28,34,22.5,0.004,0.109,0.067,0.041,0.058,0.123,0.138,0.214,0.059,0.185
O55143;O55143-2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 GN=Atp2a2 PE=1 SV=2 - [AT2A2_MOUSE]|Isoform SERCA2A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 GN=Atp2a2 - [AT2A2_MOUSE],27,56,41.5,0.000,0.056,0.066,0.050,0.151,0.231,0.124,0.160,0.021,0.142
Q8CIB5,Fermitin family homolog 2 GN=Fermt2 PE=1 SV=1 - [FERM2_MOUSE],27,53,41.9,0.028,0.338,0.174,0.109,0.146,0.075,0.033,0.046,0.013,0.038
P25206,DNA replication licensing factor MCM3 GN=Mcm3 PE=1 SV=2 - [MCM3_MOUSE],27,52,47.5,0.371,0.022,0.044,0.010,0.019,0.029,0.055,0.120,0.189,0.142
O08810,116 kDa U5 small nuclear ribonucleoprotein component GN=Eftud2 PE=2 SV=1 - [U5S1_MOUSE],27,51,46.7,0.219,0.014,0.025,0.008,0.017,0.021,0.029,0.102,0.317,0.249
Q60634,Flotillin-2 GN=Flot2 PE=1 SV=2 - [FLOT2_MOUSE],27,50,67.8,0.000,0.222,0.178,0.114,0.197,0.144,0.061,0.040,0.020,0.024
Q61699-2,Isoform HSP105-beta of Heat shock protein 105 kDa GN=Hsph1 - [HS105_MOUSE],27,48,43.6,0.527,0.129,0.118,0.052,0.065,0.038,0.016,0.019,0.016,0.022
Q9D0I9,"Arginine--tRNA ligase, cytoplasmic GN=Rars PE=2 SV=2 - [SYRC_MOUSE]",27,46,49.8,0.589,0.078,0.097,0.030,0.045,0.054,0.021,0.025,0.025,0.038
P23116,Eukaryotic translation initiation factor 3 subunit A GN=Eif3a PE=1 SV=5 - [EIF3A_MOUSE],27,44,22.5,0.592,0.047,0.066,0.019,0.030,0.041,0.035,0.039,0.036,0.095
Q61391,Neprilysin GN=Mme PE=1 SV=3 - [NEP_MOUSE],27,44,43.1,0.000,0.264,0.201,0.142,0.202,0.092,0.037,0.031,0.009,0.023
P14824,Annexin A6 GN=Anxa6 PE=1 SV=3 - [ANXA6_MOUSE],27,41,49.3,0.366,0.166,0.167,0.089,0.112,0.055,0.018,0.012,0.004,0.011
O88322,Nidogen-2 GN=Nid2 PE=1 SV=2 - [NID2_MOUSE],27,36,28.0,0.011,0.057,0.111,0.082,0.208,0.177,0.102,0.134,0.019,0.100
Q60520,Paired amphipathic helix protein Sin3a GN=Sin3a PE=1 SV=3 - [SIN3A_MOUSE],27,35,31.9,0.094,0.004,0.008,0.002,0.009,0.024,0.074,0.286,0.230,0.269
Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic GN=Iars PE=2 SV=2 - [SYIC_MOUSE]",27,35,27.6,0.627,0.044,0.075,0.023,0.045,0.049,0.033,0.036,0.026,0.041
Q62318,Transcription intermediary factor 1-beta GN=Trim28 PE=1 SV=3 - [TIF1B_MOUSE],26,73,36.8,0.259,0.008,0.027,0.005,0.018,0.027,0.072,0.177,0.219,0.188
P09055,Integrin beta-1 GN=Itgb1 PE=1 SV=1 - [ITB1_MOUSE],26,72,42.9,0.000,0.268,0.183,0.117,0.181,0.125,0.052,0.041,0.003,0.030
Q6DYE8,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 GN=Enpp3 PE=1 SV=2 - [ENPP3_MOUSE],26,68,36.5,0.000,0.225,0.230,0.142,0.209,0.094,0.041,0.030,0.004,0.025
P11499,Heat shock protein HSP 90-beta GN=Hsp90ab1 PE=1 SV=3 - [HS90B_MOUSE],26,66,43.0,0.541,0.133,0.122,0.053,0.061,0.041,0.012,0.016,0.008,0.015
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial GN=Hadha PE=1 SV=1 - [ECHA_MOUSE]",26,62,57.0,0.000,0.016,0.019,0.014,0.033,0.102,0.295,0.258,0.025,0.238
Q80WJ7,Protein LYRIC GN=Mtdh PE=1 SV=1 - [LYRIC_MOUSE],26,60,52.7,0.000,0.037,0.042,0.037,0.096,0.260,0.190,0.164,0.029,0.146
Q11011,Puromycin-sensitive aminopeptidase GN=Npepps PE=1 SV=2 - [PSA_MOUSE],26,50,43.0,0.377,0.104,0.094,0.045,0.065,0.060,0.080,0.087,0.008,0.079
Q8CGK3,"Lon protease homolog, mitochondrial GN=Lonp1 PE=1 SV=2 - [LONM_MOUSE]",26,49,32.3,0.000,0.012,0.014,0.011,0.034,0.083,0.205,0.315,0.020,0.305
P70168,Importin subunit beta-1 GN=Kpnb1 PE=1 SV=2 - [IMB1_MOUSE],26,46,46.6,0.376,0.090,0.078,0.038,0.065,0.037,0.034,0.083,0.121,0.078
P46935,E3 ubiquitin-protein ligase NEDD4 GN=Nedd4 PE=1 SV=3 - [NEDD4_MOUSE],26,45,41.8,0.323,0.177,0.153,0.078,0.124,0.059,0.026,0.027,0.006,0.026
P70261,Paladin GN=Pald1 PE=1 SV=1 - [PALD_MOUSE],26,45,38.6,0.036,0.252,0.198,0.119,0.197,0.095,0.032,0.036,0.006,0.028
Q8K0D5,"Elongation factor G, mitochondrial GN=Gfm1 PE=2 SV=1 - [EFGM_MOUSE]",26,45,40.1,0.003,0.019,0.019,0.015,0.034,0.097,0.301,0.249,0.015,0.249
Q9WU78,Programmed cell death 6-interacting protein GN=Pdcd6ip PE=1 SV=3 - [PDC6I_MOUSE],26,45,38.0,0.246,0.189,0.150,0.091,0.128,0.087,0.031,0.034,0.011,0.031
O35382,Exocyst complex component 4 GN=Exoc4 PE=1 SV=2 - [EXOC4_MOUSE],26,44,35.7,0.043,0.230,0.145,0.091,0.142,0.121,0.067,0.077,0.018,0.066
P35822,Receptor-type tyrosine-protein phosphatase kappa GN=Ptprk PE=1 SV=1 - [PTPRK_MOUSE],26,44,33.4,0.001,0.236,0.199,0.136,0.232,0.102,0.036,0.038,0.000,0.020
P70206,Plexin-A1 GN=Plxna1 PE=1 SV=1 - [PLXA1_MOUSE],26,43,23.6,0.000,0.296,0.192,0.119,0.187,0.110,0.042,0.030,0.002,0.021
Q05D44,Eukaryotic translation initiation factor 5B GN=Eif5b PE=1 SV=2 - [IF2P_MOUSE],26,40,31.3,0.221,0.062,0.058,0.030,0.045,0.055,0.081,0.224,0.049,0.175
P97310,DNA replication licensing factor MCM2 GN=Mcm2 PE=1 SV=3 - [MCM2_MOUSE],26,39,38.2,0.573,0.018,0.055,0.006,0.012,0.013,0.024,0.069,0.159,0.070
Q91Z67,SLIT-ROBO Rho GTPase-activating protein 2 GN=Srgap2 PE=1 SV=2 - [SRGP2_MOUSE],26,39,30.2,0.012,0.328,0.213,0.120,0.116,0.072,0.031,0.057,0.010,0.042
Q8BMJ2,"Leucine--tRNA ligase, cytoplasmic GN=Lars PE=2 SV=2 - [SYLC_MOUSE]",26,37,28.6,0.610,0.081,0.086,0.031,0.047,0.037,0.019,0.029,0.025,0.036
Q8K310,Matrin-3 GN=Matr3 PE=1 SV=1 - [MATR3_MOUSE],26,37,36.1,0.112,0.006,0.014,0.002,0.008,0.011,0.032,0.059,0.635,0.122
Q3UJB9,Enhancer of mRNA-decapping protein 4 GN=Edc4 PE=1 SV=2 - [EDC4_MOUSE],26,36,29.8,0.048,0.011,0.015,0.006,0.023,0.058,0.092,0.282,0.099,0.366
O88491,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific GN=Nsd1 PE=1 SV=1 - [NSD1_MOUSE]",26,35,16.6,0.054,0.004,0.009,0.000,0.012,0.025,0.096,0.270,0.259,0.269
Q68FL6,"Methionine--tRNA ligase, cytoplasmic GN=Mars PE=2 SV=1 - [SYMC_MOUSE]",26,35,41.5,0.603,0.062,0.083,0.026,0.047,0.044,0.028,0.030,0.028,0.048
A2AF47,Dedicator of cytokinesis protein 11 GN=Dock11 PE=1 SV=1 - [DOC11_MOUSE],26,34,19.1,0.013,0.307,0.179,0.117,0.126,0.101,0.054,0.043,0.021,0.040
Q6P5B0,RRP12-like protein GN=Rrp12 PE=1 SV=1 - [RRP12_MOUSE],26,32,29.0,0.210,0.015,0.021,0.006,0.019,0.023,0.040,0.192,0.254,0.220
P70398,Probable ubiquitin carboxyl-terminal hydrolase FAF-X GN=Usp9x PE=1 SV=2 - [USP9X_MOUSE],26,30,15.4,0.474,0.140,0.114,0.043,0.063,0.050,0.028,0.030,0.021,0.036
Q9DCL9,Multifunctional protein ADE2 GN=Paics PE=1 SV=4 - [PUR6_MOUSE],25,54,66.4,0.427,0.140,0.122,0.060,0.084,0.048,0.022,0.041,0.015,0.041
P80318,T-complex protein 1 subunit gamma GN=Cct3 PE=1 SV=1 - [TCPG_MOUSE],25,51,49.7,0.399,0.113,0.102,0.044,0.072,0.042,0.029,0.072,0.023,0.104
P30416,Peptidyl-prolyl cis-trans isomerase FKBP4 GN=Fkbp4 PE=1 SV=5 - [FKBP4_MOUSE],25,50,55.5,0.503,0.136,0.120,0.053,0.070,0.039,0.017,0.025,0.015,0.021
Q9JHS4,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial GN=Clpx PE=1 SV=2 - [CLPX_MOUSE]",25,50,51.4,0.000,0.009,0.011,0.007,0.025,0.091,0.321,0.258,0.034,0.243
P80315,T-complex protein 1 subunit delta GN=Cct4 PE=1 SV=3 - [TCPD_MOUSE],25,47,53.1,0.392,0.111,0.096,0.047,0.067,0.051,0.038,0.069,0.025,0.104
Q91W43,"Glycine dehydrogenase [decarboxylating], mitochondrial GN=Gldc PE=1 SV=1 - [GCSP_MOUSE]",25,43,38.1,0.000,0.013,0.015,0.013,0.035,0.078,0.189,0.341,0.033,0.284
P05532-2,Isoform 2 of Mast/stem cell growth factor receptor Kit GN=Kit - [KIT_MOUSE],25,42,26.8,0.002,0.289,0.192,0.121,0.202,0.098,0.038,0.033,0.003,0.023
P21619,Lamin-B2 GN=Lmnb2 PE=1 SV=2 - [LMNB2_MOUSE],25,42,48.5,0.002,0.006,0.008,0.003,0.012,0.041,0.143,0.324,0.161,0.301
P49718,DNA replication licensing factor MCM5 GN=Mcm5 PE=2 SV=1 - [MCM5_MOUSE],25,42,39.0,0.363,0.028,0.049,0.011,0.030,0.033,0.044,0.107,0.192,0.143
Q04750,DNA topoisomerase 1 GN=Top1 PE=1 SV=2 - [TOP1_MOUSE],25,42,35.5,0.022,0.002,0.005,0.001,0.008,0.029,0.124,0.290,0.230,0.288
Q8C0D4,Rho GTPase-activating protein 12 GN=Arhgap12 PE=1 SV=2 - [RHG12_MOUSE],25,41,42.2,0.029,0.353,0.196,0.108,0.138,0.076,0.031,0.033,0.009,0.028
Q64521,"Glycerol-3-phosphate dehydrogenase, mitochondrial GN=Gpd2 PE=1 SV=2 - [GPDM_MOUSE]",25,40,45.9,0.000,0.017,0.018,0.014,0.038,0.099,0.282,0.264,0.025,0.242
Q9D0R2,"Threonine--tRNA ligase, cytoplasmic GN=Tars PE=1 SV=2 - [SYTC_MOUSE]",25,40,40.9,0.430,0.119,0.107,0.047,0.064,0.046,0.025,0.070,0.022,0.070
Q64430,Copper-transporting ATPase 1 GN=Atp7a PE=1 SV=3 - [ATP7A_MOUSE],25,38,25.9,0.003,0.146,0.147,0.119,0.293,0.165,0.063,0.039,0.000,0.025
P35601-2,Isoform 2 of Replication factor C subunit 1 GN=Rfc1 - [RFC1_MOUSE],25,37,27.0,0.079,0.009,0.011,0.003,0.014,0.035,0.090,0.313,0.155,0.292
P97311,DNA replication licensing factor MCM6 GN=Mcm6 PE=1 SV=1 - [MCM6_MOUSE],25,37,34.8,0.559,0.012,0.046,0.004,0.009,0.010,0.024,0.072,0.196,0.068
Q8VDR9,Dedicator of cytokinesis protein 6 GN=Dock6 PE=1 SV=4 - [DOCK6_MOUSE],25,37,20.3,0.041,0.097,0.076,0.073,0.167,0.197,0.094,0.106,0.045,0.104
Q9CZU3,Superkiller viralicidic activity 2-like 2 GN=Skiv2l2 PE=2 SV=1 - [SK2L2_MOUSE],25,37,29.5,0.278,0.016,0.029,0.005,0.014,0.025,0.048,0.124,0.298,0.164
P02469,Laminin subunit beta-1 GN=Lamb1 PE=1 SV=3 - [LAMB1_MOUSE],25,36,16.3,0.014,0.069,0.107,0.077,0.147,0.209,0.118,0.117,0.035,0.107
Q6PGL7,WASH complex subunit FAM21 GN=Fam21 PE=1 SV=1 - [FAM21_MOUSE],25,36,31.5,0.070,0.058,0.108,0.109,0.333,0.181,0.053,0.046,0.010,0.032
Q91XL9,Oxysterol-binding protein-related protein 1 GN=Osbpl1a PE=1 SV=2 - [OSBL1_MOUSE],25,36,33.4,0.021,0.145,0.190,0.138,0.256,0.117,0.046,0.043,0.012,0.034
P98203-4,Isoform 4 of Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog GN=Arvcf - [ARVC_MOUSE],25,35,43.7,0.000,0.305,0.174,0.114,0.187,0.109,0.049,0.032,0.008,0.022
Q6A4J8-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 7 GN=Usp7 - [UBP7_MOUSE],25,34,32.1,0.395,0.072,0.080,0.033,0.051,0.047,0.045,0.098,0.082,0.098
Q9Z277,Tyrosine-protein kinase BAZ1B GN=Baz1b PE=1 SV=2 - [BAZ1B_MOUSE],25,33,27.4,0.020,0.000,0.002,0.000,0.007,0.023,0.102,0.328,0.218,0.299
Q61001,Laminin subunit alpha-5 GN=Lama5 PE=1 SV=4 - [LAMA5_MOUSE],25,31,13.7,0.000,0.088,0.148,0.086,0.189,0.198,0.096,0.098,0.019,0.079
Q3TLH4,Protein PRRC2C GN=Prrc2c PE=1 SV=3 - [PRC2C_MOUSE],25,30,10.8,0.248,0.034,0.051,0.019,0.045,0.068,0.060,0.169,0.071,0.236
Q05920,"Pyruvate carboxylase, mitochondrial GN=Pc PE=1 SV=1 - [PYC_MOUSE]",25,28,27.6,0.002,0.016,0.018,0.013,0.038,0.074,0.174,0.350,0.014,0.300
P26443,"Glutamate dehydrogenase 1, mitochondrial GN=Glud1 PE=1 SV=1 - [DHE3_MOUSE]",24,62,55.4,0.000,0.015,0.017,0.011,0.033,0.087,0.319,0.256,0.024,0.239
Q922R8,Protein disulfide-isomerase A6 GN=Pdia6 PE=1 SV=3 - [PDIA6_MOUSE],24,54,63.4,0.016,0.042,0.057,0.045,0.128,0.298,0.145,0.147,0.007,0.115
Q02257,Junction plakoglobin GN=Jup PE=1 SV=3 - [PLAK_MOUSE],24,50,54.0,0.004,0.285,0.181,0.113,0.189,0.113,0.047,0.036,0.011,0.021
Q61941,"NAD(P) transhydrogenase, mitochondrial GN=Nnt PE=1 SV=2 - [NNTM_MOUSE]",24,50,23.1,0.000,0.017,0.014,0.011,0.032,0.087,0.298,0.249,0.069,0.223
Q7TPR4,Alpha-actinin-1 GN=Actn1 PE=1 SV=1 - [ACTN1_MOUSE],24,50,38.2,0.151,0.292,0.166,0.096,0.147,0.103,0.029,0.010,0.000,0.006
Q61656,Probable ATP-dependent RNA helicase DDX5 GN=Ddx5 PE=1 SV=2 - [DDX5_MOUSE],24,49,35.8,0.265,0.020,0.034,0.014,0.034,0.044,0.046,0.068,0.356,0.118
Q8C129,Leucyl-cystinyl aminopeptidase GN=Lnpep PE=1 SV=1 - [LCAP_MOUSE],24,49,28.0,0.000,0.064,0.114,0.120,0.403,0.193,0.052,0.034,0.000,0.020
P10852,4F2 cell-surface antigen heavy chain GN=Slc3a2 PE=1 SV=1 - [4F2_MOUSE],24,48,54.0,0.000,0.226,0.162,0.113,0.220,0.138,0.060,0.047,0.003,0.031
Q8VEK3,Heterogeneous nuclear ribonucleoprotein U GN=Hnrnpu PE=1 SV=1 - [HNRPU_MOUSE],24,48,45.6,0.247,0.012,0.031,0.010,0.026,0.030,0.038,0.073,0.388,0.146
Q91VD9,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial GN=Ndufs1 PE=1 SV=2 - [NDUS1_MOUSE]",24,47,44.3,0.000,0.012,0.017,0.012,0.037,0.079,0.187,0.313,0.063,0.280
P50516,V-type proton ATPase catalytic subunit A GN=Atp6v1a PE=1 SV=2 - [VATA_MOUSE],24,46,56.2,0.152,0.122,0.149,0.113,0.233,0.128,0.039,0.028,0.015,0.020
P17427,AP-2 complex subunit alpha-2 GN=Ap2a2 PE=1 SV=2 - [AP2A2_MOUSE],24,44,40.1,0.032,0.206,0.141,0.085,0.144,0.162,0.092,0.062,0.026,0.049
Q91WQ3,"Tyrosine--tRNA ligase, cytoplasmic GN=Yars PE=2 SV=3 - [SYYC_MOUSE]",24,44,49.1,0.439,0.090,0.090,0.043,0.054,0.048,0.042,0.090,0.027,0.078
A2A432,Cullin-4B GN=Cul4b PE=1 SV=1 - [CUL4B_MOUSE],24,43,37.4,0.256,0.031,0.035,0.009,0.024,0.035,0.074,0.223,0.110,0.203
O55131,Septin-7 GN=Sept7 PE=1 SV=1 - [SEPT7_MOUSE],24,41,67.9,0.025,0.102,0.075,0.044,0.074,0.080,0.086,0.204,0.068,0.242
P46061,Ran GTPase-activating protein 1 GN=Rangap1 PE=1 SV=2 - [RAGP1_MOUSE],24,39,42.1,0.123,0.030,0.022,0.015,0.031,0.047,0.080,0.231,0.183,0.237
Q3TJ91,Lethal(2) giant larvae protein homolog 2 GN=Llgl2 PE=2 SV=2 - [L2GL2_MOUSE],24,39,34.4,0.018,0.311,0.200,0.112,0.164,0.097,0.036,0.029,0.009,0.025
Q02819,Nucleobindin-1 GN=Nucb1 PE=1 SV=2 - [NUCB1_MOUSE],24,38,56.9,0.007,0.063,0.083,0.063,0.166,0.194,0.117,0.165,0.004,0.138
Q80UM3,"N-alpha-acetyltransferase 15, NatA auxiliary subunit GN=Naa15 PE=1 SV=1 - [NAA15_MOUSE]",24,36,34.9,0.204,0.057,0.059,0.028,0.044,0.046,0.053,0.126,0.076,0.306
Q8BJ71,Nuclear pore complex protein Nup93 GN=Nup93 PE=2 SV=1 - [NUP93_MOUSE],24,36,33.0,0.111,0.031,0.035,0.017,0.032,0.038,0.047,0.111,0.430,0.149
Q99PU8-2,Isoform 2 of Putative ATP-dependent RNA helicase DHX30 GN=Dhx30 - [DHX30_MOUSE],24,36,28.3,0.050,0.032,0.030,0.019,0.039,0.097,0.177,0.236,0.070,0.250
Q6NZJ6,Eukaryotic translation initiation factor 4 gamma 1 GN=Eif4g1 PE=1 SV=1 - [IF4G1_MOUSE],24,35,19.6,0.289,0.036,0.052,0.020,0.036,0.057,0.092,0.155,0.057,0.205
Q5SSZ5,Tensin-3 GN=Tns3 PE=1 SV=1 - [TENS3_MOUSE],24,34,30.5,0.087,0.249,0.141,0.083,0.130,0.101,0.053,0.074,0.016,0.068
Q6P542,ATP-binding cassette sub-family F member 1 GN=Abcf1 PE=1 SV=1 - [ABCF1_MOUSE],24,34,42.5,0.223,0.062,0.069,0.033,0.049,0.055,0.074,0.172,0.067,0.197
Q91VR5,ATP-dependent RNA helicase DDX1 GN=Ddx1 PE=1 SV=1 - [DDX1_MOUSE],24,33,38.6,0.299,0.046,0.061,0.027,0.063,0.066,0.054,0.095,0.102,0.187
B1AZI6,THO complex subunit 2 GN=Thoc2 PE=3 SV=1 - [THOC2_MOUSE],24,32,18.3,0.127,0.006,0.012,0.000,0.014,0.032,0.084,0.202,0.301,0.221
Q7TT50,Serine/threonine-protein kinase MRCK beta GN=Cdc42bpb PE=1 SV=2 - [MRCKB_MOUSE],24,32,21.0,0.045,0.320,0.167,0.100,0.123,0.110,0.045,0.030,0.027,0.033
Q8CJF7,Protein ELYS GN=Ahctf1 PE=1 SV=1 - [ELYS_MOUSE],24,31,21.0,0.009,0.002,0.002,0.000,0.009,0.028,0.101,0.352,0.190,0.307
P97820,Mitogen-activated protein kinase kinase kinase kinase 4 GN=Map4k4 PE=1 SV=1 - [M4K4_MOUSE],24,29,28.1,0.035,0.266,0.173,0.124,0.172,0.084,0.043,0.033,0.026,0.044
P07901,Heat shock protein HSP 90-alpha GN=Hsp90aa1 PE=1 SV=4 - [HS90A_MOUSE],23,70,35.1,0.570,0.128,0.118,0.051,0.061,0.033,0.011,0.013,0.006,0.010
P27659,60S ribosomal protein L3 GN=Rpl3 PE=2 SV=3 - [RL3_MOUSE],23,50,50.9,0.182,0.069,0.064,0.030,0.073,0.110,0.083,0.105,0.093,0.192
Q3UM18,Large subunit GTPase 1 homolog GN=Lsg1 PE=2 SV=2 - [LSG1_MOUSE],23,47,37.7,0.003,0.045,0.060,0.047,0.158,0.278,0.128,0.138,0.028,0.116
P20152,Vimentin GN=Vim PE=1 SV=3 - [VIME_MOUSE],23,46,55.8,0.103,0.062,0.043,0.023,0.044,0.063,0.064,0.153,0.305,0.141
Q9CZW5,Mitochondrial import receptor subunit TOM70 GN=Tomm70a PE=1 SV=2 - [TOM70_MOUSE],23,43,46.5,0.003,0.012,0.015,0.013,0.037,0.109,0.244,0.261,0.070,0.236
Q9CWJ9,Bifunctional purine biosynthesis protein PURH GN=Atic PE=1 SV=2 - [PUR9_MOUSE],23,42,58.1,0.513,0.136,0.130,0.059,0.072,0.041,0.016,0.014,0.007,0.012
P70699,Lysosomal alpha-glucosidase GN=Gaa PE=1 SV=2 - [LYAG_MOUSE],23,40,30.5,0.000,0.063,0.170,0.138,0.343,0.167,0.052,0.039,0.000,0.028
Q9DBG7,Signal recognition particle receptor subunit alpha GN=Srpr PE=1 SV=1 - [SRPR_MOUSE],23,37,47.6,0.006,0.048,0.051,0.042,0.120,0.237,0.136,0.184,0.029,0.147
Q8C2E7,WASH complex subunit strumpellin GN=Kiaa0196 PE=2 SV=2 - [STRUM_MOUSE],23,33,26.7,0.058,0.051,0.096,0.122,0.376,0.155,0.046,0.040,0.010,0.046
Q8K1R3,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial GN=Pnpt1 PE=1 SV=1 - [PNPT1_MOUSE]",23,33,33.5,0.000,0.019,0.014,0.012,0.034,0.079,0.188,0.329,0.058,0.267
Q9DBR7,Protein phosphatase 1 regulatory subunit 12A GN=Ppp1r12a PE=1 SV=2 - [MYPT1_MOUSE],23,33,26.7,0.080,0.119,0.073,0.051,0.070,0.096,0.114,0.200,0.040,0.157
Q08943,FACT complex subunit SSRP1 GN=Ssrp1 PE=1 SV=2 - [SSRP1_MOUSE],23,30,39.4,0.211,0.007,0.022,0.004,0.010,0.022,0.064,0.280,0.137,0.244
Q61687,Transcriptional regulator ATRX GN=Atrx PE=1 SV=3 - [ATRX_MOUSE],23,30,14.9,0.043,0.001,0.006,0.000,0.006,0.026,0.110,0.322,0.203,0.283
P56480,"ATP synthase subunit beta, mitochondrial GN=Atp5b PE=1 SV=2 - [ATPB_MOUSE]",22,67,75.6,0.000,0.017,0.021,0.012,0.033,0.083,0.223,0.287,0.073,0.251
P12970,60S ribosomal protein L7a GN=Rpl7a PE=2 SV=2 - [RL7A_MOUSE],22,57,59.8,0.175,0.061,0.062,0.033,0.076,0.124,0.082,0.108,0.079,0.199
P47738,"Aldehyde dehydrogenase, mitochondrial GN=Aldh2 PE=1 SV=1 - [ALDH2_MOUSE]",22,52,67.8,0.000,0.014,0.018,0.010,0.029,0.108,0.320,0.254,0.008,0.239
