IPI accession no.,Protein name, MascotScore.1 , NbPeptides.1,NbQuantAC.1,NbQuantBD.1,AC114.1,AC115.1,AC116.1,AC117.1,BD114.1,BD115.1,BD116.1,BD117.1, MascotScore.2 , NbPeptides.2,NbQuantAC.2,NbQuantBD.2,AC114.2,AC115.2,AC116.2,AC117.2,BD114.2,BD115.2,BD116.2,BD117.2
IPI00574618.3,Similar to PTB-associated splicing factor,554.74,11,17,15,0.111,0.161,0.262,0.466,0.177,0.190,0.238,0.396,265.68,6,15,9,0.142,0.490,0.149,0.219,0.144,0.138,0.417,0.302
IPI00574629.1,Acyl-CoA synthetase long-chain family member 1,385.16,8,27,19,0.131,0.112,0.116,0.640,0.353,0.168,0.176,0.303,315.96,7,27,10,0.237,0.227,0.101,0.436,0.276,0.104,0.328,0.292
IPI00574693.1,"Actin related protein 2/3 complex, subunit 1A",96.53,2,2,4,0.396,0.160,0.204,0.241,0.291,0.217,0.231,0.261,85.14,2,4,4,0.372,0.198,0.213,0.217,0.287,0.144,0.268,0.301
IPI00574700.2,Similar to formin-binding protein 17,230.61,5,7,14,0.351,0.188,0.317,0.144,0.336,0.229,0.214,0.221,412.77,10,25,15,0.456,0.209,0.181,0.154,0.251,0.183,0.290,0.277
IPI00574701.2,Mesoderm development candidate 2,142.03,3,8,26,0.172,0.222,0.328,0.277,0.143,0.149,0.253,0.455,175.84,4,10,10,0.231,0.332,0.160,0.275,0.179,0.133,0.320,0.369
IPI00574703.2,10 kDa protein,139.09,2,19,22,0.179,0.324,0.285,0.212,0.246,0.230,0.228,0.295,76.42,1,22,10,0.352,0.334,0.171,0.144,0.187,0.151,0.351,0.311
IPI00574725.2,Hippocalcin-like protein 1,76.69,2,3,3,0.250,0.233,0.275,0.240,0.163,0.220,0.257,0.360,71.23,2,6,6,0.340,0.260,0.221,0.179,0.135,0.244,0.314,0.306
IPI00574780.2,Exocyst complex component 8,288.76,6,5,6,0.518,0.216,0.147,0.119,0.535,0.139,0.159,0.167,70.5,2,5,1,0.354,0.307,0.128,0.211,0.508,0.110,0.197,0.185
IPI00574841.1,"Citrate synthase, mitochondrial",196.3,4,11,5,0.076,0.099,0.122,0.703,0.143,0.160,0.243,0.454,184.4,4,27,22,0.184,0.268,0.075,0.472,0.109,0.117,0.360,0.414
IPI00574963.1,"Tyrosine 3/tryptophan 5 -monooxygenase activation protein, eta polypeptide",679,12,22,28,0.221,0.240,0.425,0.114,0.209,0.333,0.243,0.215,772.93,14,23,24,0.345,0.326,0.177,0.152,0.160,0.248,0.317,0.275
IPI00574964.2,40S ribosomal protein S13,371.89,7,44,97,0.172,0.168,0.227,0.433,0.180,0.177,0.228,0.415,412.92,8,57,41,0.253,0.414,0.122,0.212,0.180,0.118,0.378,0.323
IPI00574971.1,Thioredoxin domain containing 5,497.1,10,28,58,0.163,0.201,0.320,0.317,0.114,0.176,0.274,0.435,609.84,13,56,47,0.211,0.287,0.230,0.272,0.119,0.128,0.372,0.381
IPI00575009.2,Hypothetical protein,189.95,3,4,11,0.165,0.286,0.303,0.246,0.195,0.270,0.302,0.233,133.98,2,9,4,0.242,0.293,0.345,0.121,0.152,0.180,0.423,0.246
IPI00575141.3,"RNA binding motif protein, X-linked",291.25,6,8,21,0.094,0.116,0.209,0.581,0.166,0.194,0.242,0.397,280.65,7,15,7,0.192,0.430,0.097,0.281,0.150,0.129,0.437,0.285
IPI00575222.1,ARVCF,264.08,5,5,9,0.384,0.229,0.206,0.181,0.458,0.158,0.186,0.198,187.99,4,5,2,0.359,0.311,0.129,0.201,0.380,0.205,0.242,0.174
IPI00575249.1,Sorting nexin 12 ,185.34,4,14,19,0.240,0.373,0.258,0.129,0.319,0.292,0.206,0.182,172.18,4,25,7,0.327,0.332,0.184,0.158,0.201,0.249,0.298,0.252
IPI00575271.1,58kDa glucose regulated protein precursor,2237.9,37,204,536,0.148,0.215,0.368,0.268,0.119,0.155,0.269,0.457,2213.48,37,302,441,0.229,0.301,0.179,0.291,0.119,0.117,0.355,0.409
IPI00575302.3,Golgi SNAP receptor complex member 1,434.52,8,26,37,0.107,0.360,0.319,0.214,0.196,0.431,0.188,0.185,268.99,6,17,6,0.244,0.410,0.221,0.126,0.227,0.260,0.319,0.194
IPI00575314.3,Similar to Endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1,406.99,6,27,43,0.057,0.171,0.347,0.425,0.093,0.212,0.284,0.411,376.71,6,31,26,0.193,0.322,0.285,0.200,0.098,0.137,0.414,0.351
IPI00575515.1,Transferrin receptor,1610.6,26,26,47,0.121,0.406,0.276,0.198,0.252,0.411,0.183,0.154,1427.84,27,209,106,0.319,0.383,0.188,0.110,0.224,0.282,0.294,0.200
IPI00575570.1,"Coatomer protein complex, subunit epsilon ",83.5,2,7,10,0.117,0.111,0.313,0.459,0.142,0.147,0.281,0.430,86.95,2,7,8,0.160,0.162,0.248,0.429,0.129,0.149,0.345,0.377
IPI00575584.2,Alpha-enolase,1760.87,27,158,685,0.133,0.136,0.425,0.306,0.142,0.318,0.279,0.261,1680.86,26,176,336,0.229,0.314,0.193,0.264,0.115,0.220,0.360,0.305
IPI00575596.1,Ribosomal protein L4,778.7,14,70,132,0.142,0.130,0.228,0.501,0.171,0.167,0.235,0.427,584.47,12,89,73,0.238,0.377,0.124,0.260,0.148,0.116,0.400,0.336
IPI00575609.1,Glutamine-rich 1 ,690.7,14,27,18,0.169,0.108,0.178,0.544,0.228,0.167,0.250,0.356,433.21,10,22,9,0.224,0.286,0.139,0.350,0.163,0.128,0.321,0.388
IPI00575703.3,Small nuclear ribonucleoprotein polypeptide A',286.37,5,9,8,0.131,0.118,0.292,0.459,0.175,0.220,0.250,0.354,141.54,3,4,2,0.231,0.362,0.132,0.275,0.160,0.170,0.332,0.339
IPI00575723.5,Asparagine synthetase,988.65,17,58,153,0.117,0.110,0.435,0.339,0.130,0.344,0.283,0.243,655.16,12,57,59,0.209,0.334,0.175,0.283,0.108,0.171,0.419,0.302
IPI00575795.2,Presenilin-2,108.84,2,3,11,0.240,0.332,0.272,0.156,0.394,0.249,0.185,0.172,95.6,2,6,1,0.532,0.247,0.163,0.058,0.167,0.186,0.409,0.239
IPI00575807.1,"Similar to interferon, gamma-inducible protein 30",200.79,3,16,26,0.138,0.318,0.337,0.207,0.129,0.283,0.317,0.271,117.76,2,5,5,0.192,0.247,0.273,0.288,0.166,0.167,0.340,0.327
IPI00575808.3,ATP citrate lyase ,1672.78,31,4,5,0.238,0.187,0.208,0.367,0.186,0.139,0.241,0.434,1337.83,27,63,24,0.259,0.323,0.108,0.309,0.200,0.125,0.326,0.350
IPI00575849.1,Similar to ubiquitin protein ligase E3A,103.3,2,2,3,0.174,0.140,0.349,0.339,0.175,0.277,0.238,0.309,56.9,1,4,2,0.222,0.246,0.270,0.263,0.144,0.186,0.341,0.330
IPI00575954.3,Similar to Tripeptidyl peptidase II,422.97,9,15,10,0.200,0.141,0.248,0.411,0.252,0.163,0.274,0.312,311.05,7,24,3,0.271,0.312,0.147,0.270,0.271,0.230,0.274,0.225
IPI00575960.1,Nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1,696.97,13,32,78,0.131,0.133,0.399,0.337,0.145,0.315,0.257,0.283,608.98,12,60,47,0.204,0.359,0.175,0.262,0.131,0.226,0.350,0.294
IPI00575973.2,Similar to putative acetyltransferase,676.13,14,22,43,0.170,0.122,0.391,0.317,0.136,0.248,0.299,0.317,462.5,11,28,26,0.214,0.224,0.277,0.285,0.105,0.174,0.376,0.346
IPI00576019.1,Proteasome activator complex subunit 3,381.58,7,2,2,0.119,0.148,0.294,0.440,0.155,0.280,0.258,0.308,261.39,5,17,21,0.191,0.305,0.285,0.219,0.087,0.212,0.379,0.322
IPI00576023.2,"Similar to Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24",659.64,10,29,3,0.074,0.097,0.093,0.735,0.146,0.157,0.256,0.440,126.5,3,8,3,0.149,0.214,0.070,0.568,0.120,0.094,0.383,0.403
IPI00576026.1,Microtubule-associated protein 4 (Fragment),373.75,6,9,6,0.317,0.215,0.273,0.195,0.266,0.275,0.213,0.245,174.16,4,8,6,0.217,0.375,0.176,0.231,0.139,0.230,0.329,0.303
IPI00576041.1,Similar to kinesin heavy chain,267.78,6,7,5,0.175,0.202,0.213,0.410,0.318,0.196,0.252,0.233,127.92,3,9,1,0.259,0.243,0.188,0.310,0.126,0.176,0.379,0.319
IPI00576073.3,THO complex 4 ,136.98,2,8,3,0.088,0.121,0.195,0.597,0.114,0.244,0.259,0.383,56.95,1,2,2,0.162,0.444,0.195,0.200,0.094,0.188,0.451,0.268
IPI00576078.1,Protein-tyrosine sulfotransferase 2,162.79,3,4,15,0.128,0.322,0.334,0.217,0.148,0.474,0.182,0.196,143.79,3,7,3,0.234,0.439,0.202,0.124,0.135,0.357,0.331,0.177
IPI00576119.3,53 kDa protein,171.49,3,3,7,0.171,0.109,0.377,0.343,0.163,0.323,0.264,0.250,102.33,2,3,6,0.198,0.204,0.348,0.251,0.140,0.224,0.332,0.304
IPI00576141.2,Hypothetical protein,191.89,3,12,2,0.311,0.255,0.169,0.265,0.478,0.177,0.135,0.211,233.99,4,9,8,0.478,0.264,0.124,0.134,0.272,0.119,0.364,0.245
IPI00576146.1,SET translocation (myeloid leukemia-associated),324.75,5,35,85,0.091,0.127,0.503,0.279,0.086,0.333,0.277,0.304,304.06,5,32,99,0.142,0.272,0.264,0.322,0.083,0.238,0.340,0.339
IPI00576164.1,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1),423.59,7,14,25,0.080,0.302,0.354,0.265,0.103,0.511,0.190,0.196,360.69,7,18,3,0.204,0.446,0.242,0.108,0.118,0.280,0.365,0.237
IPI00576187.1,Hypothetical protein,752.11,12,29,15,0.088,0.106,0.158,0.648,0.131,0.190,0.233,0.446,855.79,16,54,21,0.175,0.249,0.092,0.483,0.123,0.142,0.354,0.381
IPI00576219.1,Hypothetical protein,175.7,4,5,9,0.186,0.228,0.374,0.212,0.162,0.297,0.270,0.270,90.59,2,4,8,0.203,0.245,0.301,0.251,0.162,0.182,0.323,0.334
IPI00576336.1,Hypothetical protein,449.13,8,1,7,0.239,0.149,0.452,0.160,0.388,0.216,0.188,0.209,308.23,6,27,28,0.450,0.272,0.123,0.155,0.283,0.144,0.303,0.270
IPI00576361.1,"Similar to branched chain aminotransferase 1, cytosolic",80.73,2,3,1,0.138,0.138,0.446,0.277,0.118,0.256,0.291,0.334,47.17,1,2,6,0.141,0.165,0.346,0.349,0.077,0.188,0.356,0.379
IPI00576429.1,Hypothetical protein,60.23,1,3,1,0.196,0.180,0.322,0.302,0.203,0.235,0.248,0.314,97.93,2,6,2,0.235,0.290,0.163,0.312,0.183,0.158,0.333,0.327
IPI00576496.1,Similar to cytochrome c oxidase subunit IV precursor,347.64,5,47,29,0.046,0.076,0.097,0.781,0.095,0.155,0.230,0.520,342.13,6,60,19,0.109,0.135,0.083,0.673,0.077,0.090,0.393,0.439
IPI00576521.1,Leucine aminopeptidase 3 ,232.31,5,3,1,0.061,0.059,0.086,0.795,0.121,0.178,0.228,0.473,572.32,12,10,1,0.107,0.123,0.119,0.651,0.109,0.170,0.272,0.448
IPI00576535.3,Annexin A6,1402.76,24,52,89,0.173,0.160,0.430,0.237,0.166,0.336,0.248,0.250,1216.99,24,72,105,0.217,0.255,0.278,0.250,0.121,0.219,0.340,0.320
IPI00576550.1,Similar to prefoldin subunit 4,71.56,1,8,11,0.165,0.177,0.402,0.257,0.165,0.326,0.255,0.254,83.67,2,8,7,0.212,0.241,0.238,0.309,0.144,0.224,0.321,0.311
IPI00576569.3,Similar to KIAA0407,405.53,9,11,22,0.247,0.257,0.150,0.346,0.430,0.176,0.142,0.252,269.27,6,11,1,0.413,0.261,0.113,0.212,0.196,0.104,0.463,0.236
IPI00576601.1,Heterogeneous nuclear ribonucleoprotein A3 ,408.08,7,25,39,0.100,0.103,0.209,0.587,0.120,0.188,0.281,0.412,379.13,9,31,24,0.155,0.447,0.102,0.297,0.108,0.105,0.446,0.342
IPI00576615.1,Growth factor receptor-bound protein 2,370.4,7,12,20,0.354,0.213,0.265,0.168,0.414,0.233,0.182,0.171,333.17,6,21,15,0.347,0.238,0.239,0.176,0.325,0.182,0.256,0.237
IPI00576667.1,Progesterone receptor binding protein,315.71,5,13,7,0.037,0.056,0.090,0.816,0.091,0.181,0.209,0.518,75.33,1,12,2,0.136,0.173,0.086,0.605,0.068,0.098,0.381,0.455
IPI00576757.3,Multidrug resistance-associated protein 1,1860.05,34,145,152,0.342,0.277,0.180,0.201,0.457,0.181,0.162,0.201,1187.76,25,11,10,0.474,0.263,0.085,0.179,0.390,0.146,0.257,0.207
IPI00576805.1,"Similar to Leucine rich repeat containing 8 family, member D",470.1,10,14,19,0.258,0.248,0.204,0.289,0.393,0.168,0.176,0.263,418.79,9,11,4,0.452,0.282,0.102,0.164,0.284,0.136,0.328,0.253
IPI00576846.2,Similar to Septin 11,857.67,15,49,87,0.503,0.244,0.129,0.124,0.569,0.131,0.137,0.164,720.78,14,44,39,0.522,0.242,0.106,0.131,0.386,0.124,0.256,0.233
IPI00576859.1,Isoform 4 of Tropomyosin-1 alpha chain,547.81,11,7,11,0.263,0.301,0.275,0.161,0.327,0.222,0.224,0.227,592.68,11,15,10,0.361,0.309,0.130,0.200,0.240,0.206,0.272,0.282
IPI00576960.1,Mitochondrial carrier homolog 2,197.78,4,16,6,0.042,0.075,0.104,0.778,0.165,0.166,0.215,0.455,267.32,6,21,6,0.158,0.176,0.077,0.589,0.095,0.102,0.429,0.374
IPI00577031.1,Similar to calcium binding protein,182.19,4,6,14,0.138,0.172,0.450,0.241,0.135,0.351,0.254,0.260,66.12,1,4,1,0.227,0.310,0.254,0.209,0.127,0.256,0.308,0.310
IPI00577047.1,Ribosomal protein L18 (Fragment),268.6,4,25,59,0.156,0.150,0.234,0.459,0.159,0.145,0.219,0.476,183.78,4,36,14,0.219,0.388,0.129,0.264,0.190,0.125,0.363,0.322
IPI00577098.1,Cytochrome c oxidase subunit 2,254.16,4,16,13,0.027,0.055,0.080,0.838,0.165,0.170,0.212,0.452,214.07,4,18,3,0.128,0.181,0.095,0.597,0.072,0.090,0.404,0.433
IPI00577115.2,Similar to Prp5-like DEAD-box protein,483.74,10,10,3,0.106,0.113,0.249,0.532,0.172,0.216,0.266,0.346,89.21,2,6,1,0.216,0.182,0.215,0.387,0.098,0.203,0.352,0.347
IPI00577156.2,Similar to T-SNARE domain containing 1,422.76,7,16,48,0.131,0.394,0.297,0.178,0.207,0.308,0.260,0.226,253.54,4,25,5,0.221,0.290,0.373,0.115,0.130,0.284,0.377,0.209
IPI00577185.2,Similar to Signal peptidase complex subunit 2 homolog,134.89,3,18,11,0.092,0.143,0.235,0.530,0.163,0.153,0.258,0.426,132.19,3,11,12,0.252,0.262,0.243,0.243,0.113,0.101,0.410,0.376
IPI00577188.2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",83.58,2,3,1,0.132,0.180,0.204,0.484,0.065,0.176,0.340,0.418,81.72,2,8,3,0.159,0.348,0.145,0.348,0.130,0.163,0.365,0.342
IPI00577190.2,Proteolipid GPM6B,230.31,4,29,20,0.313,0.318,0.182,0.187,0.462,0.156,0.147,0.235,123.05,2,17,13,0.500,0.255,0.100,0.146,0.339,0.140,0.268,0.253
IPI00577194.2,Translocase of outer mitochondrial membrane 34,181.6,3,2,12,0.138,0.179,0.427,0.257,0.218,0.273,0.252,0.257,125.03,3,6,9,0.200,0.169,0.340,0.292,0.150,0.191,0.333,0.326
IPI00577202.1,Nucleolin,2084.66,37,166,413,0.080,0.145,0.484,0.291,0.071,0.375,0.266,0.287,1843.69,33,280,267,0.115,0.449,0.168,0.268,0.083,0.212,0.373,0.332
IPI00577220.3,Similar to pyridoxal kinase,130.7,3,2,6,0.132,0.174,0.498,0.197,0.121,0.368,0.252,0.261,135.82,3,4,3,0.166,0.225,0.369,0.241,0.127,0.215,0.360,0.298
IPI00577245.1,Ras-related protein Rab-18,328.39,6,17,35,0.159,0.210,0.271,0.360,0.162,0.194,0.261,0.383,125.5,3,14,4,0.244,0.261,0.242,0.253,0.154,0.141,0.378,0.327
IPI00577256.2,Hypothetical protein,50.82,1,1,2,0.259,0.225,0.301,0.216,0.173,0.243,0.267,0.318,153.04,3,5,8,0.258,0.188,0.186,0.368,0.107,0.232,0.336,0.325
IPI00577275.1,Leucine zipper transcription factor-like 1,129.72,3,3,5,0.169,0.199,0.295,0.337,0.178,0.246,0.215,0.361,54.13,1,5,6,0.175,0.187,0.386,0.252,0.133,0.224,0.339,0.305
IPI00577304.2,34 kDa protein,115.83,2,5,4,0.177,0.158,0.262,0.404,0.245,0.279,0.225,0.251,91.85,2,8,5,0.189,0.222,0.321,0.269,0.191,0.226,0.301,0.283
IPI00577333.1,Guanine nucleotide-binding protein G11 alpha-subunit,327.61,6,19,17,0.438,0.234,0.156,0.172,0.530,0.140,0.148,0.182,103.57,2,4,2,0.575,0.198,0.074,0.153,0.331,0.130,0.268,0.272
IPI00577361.3,Serine/threonine kinase receptor associated protein ,644.98,11,13,29,0.167,0.150,0.390,0.292,0.169,0.273,0.270,0.288,629.01,10,25,22,0.233,0.245,0.266,0.257,0.110,0.198,0.367,0.325
IPI00577363.1,Adenosine kinase ,282.28,5,14,8,0.131,0.231,0.428,0.210,0.131,0.433,0.246,0.191,319.26,6,18,16,0.150,0.300,0.303,0.247,0.121,0.198,0.386,0.294
IPI00577371.1,Cathepsin C,270.5,6,16,34,0.135,0.368,0.311,0.187,0.131,0.225,0.325,0.320,137.96,3,25,15,0.271,0.342,0.179,0.209,0.099,0.114,0.377,0.410
IPI00577374.1,Prolyl endopeptidase ,654.72,13,16,27,0.151,0.137,0.496,0.215,0.124,0.383,0.262,0.231,407.31,10,27,24,0.201,0.222,0.345,0.232,0.114,0.230,0.348,0.308
IPI00577421.1,"60 kDa heat shock protein, mitochondrial precursor",1587.32,27,102,87,0.093,0.108,0.154,0.645,0.146,0.173,0.231,0.450,1943.55,34,269,151,0.163,0.241,0.098,0.499,0.105,0.130,0.335,0.431
IPI00577449.3,Similar to DNA-damage inducible protein 2,254.68,4,6,11,0.180,0.182,0.395,0.243,0.136,0.378,0.253,0.233,166.13,3,10,14,0.170,0.210,0.344,0.277,0.117,0.253,0.334,0.296
IPI00577528.1,DEAH (Asp-Glu-Ala-His) box polypeptide 15 ,225.85,5,4,4,0.222,0.193,0.234,0.351,0.142,0.206,0.283,0.369,107.29,2,6,4,0.186,0.211,0.296,0.307,0.123,0.148,0.374,0.355
IPI00577659.1,Translocation protein SEC62,243.44,5,15,39,0.065,0.113,0.251,0.571,0.133,0.159,0.270,0.438,162.57,3,23,12,0.237,0.272,0.232,0.259,0.110,0.120,0.421,0.349
IPI00577664.1,Implantation-associated protein homolog precursor,266.55,6,14,20,0.067,0.104,0.249,0.580,0.098,0.147,0.262,0.493,183.62,4,11,6,0.229,0.261,0.228,0.282,0.082,0.099,0.403,0.416
IPI00577674.2,60S ribosomal protein L27,286.54,6,19,46,0.136,0.157,0.232,0.475,0.153,0.138,0.221,0.488,184.03,4,27,16,0.261,0.456,0.121,0.162,0.142,0.118,0.380,0.360
IPI00577675.1,Minichromosome maintenance complex component 2 ,936.43,16,28,35,0.100,0.103,0.474,0.322,0.096,0.275,0.315,0.313,796.01,15,30,33,0.127,0.149,0.387,0.338,0.092,0.147,0.381,0.380
IPI00577730.3,Hypothetical protein,1361.84,23,115,219,0.076,0.123,0.266,0.534,0.101,0.133,0.273,0.493,1318.31,24,94,87,0.216,0.242,0.237,0.305,0.103,0.099,0.388,0.409
IPI00577739.1,14-3-3 protein theta,653.94,12,19,39,0.196,0.224,0.374,0.206,0.233,0.353,0.224,0.190,645.03,11,22,24,0.316,0.362,0.145,0.177,0.116,0.262,0.339,0.283
IPI00577746.3,Eukaryotic translation initiation factor 5A-1,273.56,6,37,49,0.183,0.230,0.338,0.250,0.188,0.316,0.233,0.262,232.01,5,55,40,0.259,0.343,0.177,0.221,0.151,0.235,0.347,0.267
IPI00577774.1,Hypothetical protein,1147.2,20,89,37,0.079,0.090,0.116,0.716,0.121,0.157,0.236,0.486,1086.45,20,127,44,0.169,0.224,0.081,0.526,0.106,0.126,0.383,0.385
IPI00577857.1,"Similar to Malate dehydrogenase 2, NAD",968.83,15,43,51,0.075,0.101,0.135,0.690,0.133,0.200,0.232,0.435,960.6,17,120,87,0.161,0.251,0.081,0.507,0.095,0.127,0.336,0.441
IPI00577930.2,Hypothetical protein,93.24,2,17,17,0.091,0.403,0.291,0.216,0.183,0.293,0.283,0.241,83.26,2,8,6,0.276,0.360,0.206,0.158,0.117,0.202,0.389,0.292
IPI00578021.1,"Solute carrier family 2, facilitated glucose transporter member 1",299.73,5,29,66,0.355,0.331,0.217,0.097,0.539,0.153,0.154,0.154,236.08,4,12,11,0.568,0.244,0.091,0.097,0.391,0.122,0.254,0.233
IPI00578055.2,CECR1,181.41,4,8,6,0.156,0.337,0.321,0.187,0.146,0.240,0.323,0.291,92.17,2,2,7,0.206,0.268,0.303,0.225,0.119,0.144,0.394,0.344
IPI00578058.3,Similar to AND-1 protein,102.21,2,2,2,0.157,0.110,0.321,0.413,0.107,0.202,0.338,0.354,63.96,1,2,5,0.143,0.149,0.303,0.405,0.083,0.134,0.411,0.372
IPI00578084.1,"USO1 homolog, vesicle docking protein ",727.41,13,20,38,0.125,0.275,0.387,0.213,0.152,0.401,0.218,0.229,505.52,11,32,27,0.147,0.332,0.295,0.226,0.095,0.229,0.355,0.320
IPI00578124.1,Cation-independent mannose-6-phosphate receptor,373.55,8,19,19,0.177,0.320,0.261,0.243,0.152,0.319,0.244,0.285,113.12,3,3,1,0.316,0.340,0.237,0.107,0.177,0.233,0.376,0.213
IPI00578195.3,Low molecular weight phosphotyrosine protein phosphatase,220.53,4,12,13,0.161,0.283,0.380,0.176,0.140,0.389,0.238,0.233,99.11,2,15,6,0.177,0.329,0.270,0.224,0.116,0.270,0.329,0.285
IPI00578197.2,Similar to FAM49B protein,433.03,8,22,26,0.244,0.199,0.276,0.281,0.259,0.289,0.230,0.223,491.61,9,24,12,0.425,0.282,0.149,0.143,0.208,0.221,0.304,0.267
IPI00578232.1,Similar to ARF-like protein 1,149.82,3,5,6,0.131,0.246,0.311,0.312,0.209,0.223,0.208,0.360,105.19,2,10,6,0.178,0.339,0.268,0.216,0.150,0.202,0.367,0.281
IPI00578250.1,COP9 constitutive photomorphogenic homolog subunit 4 ,344.05,8,9,2,0.213,0.149,0.233,0.405,0.251,0.155,0.250,0.345,127.84,3,6,2,0.227,0.206,0.228,0.339,0.158,0.138,0.332,0.373
IPI00578317.1,Arginine/serine-rich splicing factor 6 ,188.19,4,19,19,0.087,0.116,0.287,0.510,0.080,0.260,0.285,0.375,145.83,3,23,11,0.145,0.406,0.128,0.321,0.088,0.165,0.384,0.362
IPI00578318.2,38 kDa protein,304.5,6,4,23,0.095,0.189,0.211,0.505,0.130,0.260,0.281,0.330,68.23,2,1,2,0.263,0.409,0.221,0.107,0.236,0.121,0.357,0.287
IPI00578334.1,"WAS/WASL interacting protein family, member 1",315.47,6,9,17,0.483,0.259,0.152,0.106,0.542,0.140,0.143,0.174,109.57,3,2,3,0.454,0.318,0.088,0.141,0.461,0.120,0.199,0.221
IPI00578335.2,"Similar to Solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",323.29,7,19,3,0.056,0.070,0.084,0.790,0.171,0.176,0.194,0.459,95.13,2,8,2,0.135,0.196,0.072,0.598,0.072,0.085,0.436,0.408
IPI00578336.1,Similar to translation initiation factor 3 47 kDa subunit,334.45,6,5,11,0.166,0.130,0.281,0.423,0.187,0.230,0.250,0.332,261.72,6,9,8,0.218,0.248,0.189,0.345,0.187,0.170,0.314,0.329
IPI00578358.1,"Poly(A) binding protein, cytoplasmic 1",1343.11,24,60,99,0.153,0.142,0.259,0.446,0.183,0.169,0.219,0.429,1376.4,26,127,87,0.218,0.369,0.123,0.290,0.153,0.130,0.390,0.327
IPI00578377.3,Sorting nexin 2,250.95,4,5,6,0.160,0.374,0.301,0.165,0.182,0.361,0.225,0.233,231.97,4,4,1,0.213,0.347,0.250,0.190,0.122,0.291,0.319,0.267
IPI00578450.1,Proteasome 26S non-ATPase subunit 3,298.64,6,3,5,0.161,0.142,0.285,0.411,0.218,0.184,0.281,0.317,435.47,10,3,8,0.216,0.325,0.102,0.357,0.142,0.137,0.350,0.372
IPI00578484.1,Ezrin,1889.73,37,130,253,0.499,0.220,0.147,0.134,0.556,0.137,0.141,0.166,1645.21,34,200,133,0.555,0.223,0.086,0.136,0.366,0.131,0.257,0.246
IPI00578526.1,"Similar to MOB1, Mps One Binder kinase activator-like 1A",112.11,2,3,7,0.257,0.240,0.332,0.171,0.299,0.275,0.223,0.203,121.91,3,6,8,0.264,0.296,0.275,0.165,0.199,0.240,0.301,0.259
IPI00578591.1,Protein kinase C inhibitor,118.26,2,8,6,0.135,0.253,0.447,0.165,0.160,0.418,0.238,0.184,136.62,2,16,12,0.159,0.319,0.346,0.176,0.128,0.271,0.313,0.289
IPI00578615.2,34 kDa protein,465.43,8,10,11,0.132,0.252,0.447,0.169,0.139,0.357,0.244,0.261,605.84,11,28,19,0.180,0.293,0.301,0.226,0.139,0.247,0.338,0.277
IPI00578632.1,14-3-3 protein zeta,876.04,15,33,51,0.214,0.245,0.391,0.150,0.214,0.395,0.217,0.175,935.4,16,58,47,0.309,0.325,0.191,0.175,0.142,0.257,0.332,0.268
IPI00578724.1,Similar to Heme oxygenase 2,211.46,4,4,3,0.107,0.182,0.231,0.482,0.298,0.159,0.226,0.317,143.67,3,7,4,0.227,0.211,0.285,0.276,0.091,0.122,0.387,0.400
IPI00578778.3,Similar to adenylate kinase,98.87,2,3,4,0.043,0.067,0.079,0.811,0.185,0.321,0.215,0.280,234.43,5,18,11,0.157,0.208,0.245,0.390,0.112,0.195,0.328,0.366
IPI00578812.1,C-4 methylsterol oxidase,149.37,2,13,24,0.031,0.109,0.242,0.618,0.071,0.139,0.292,0.498,60.92,1,3,5,0.252,0.282,0.228,0.239,0.096,0.093,0.408,0.404
IPI00578825.1,TraB domain containing,439.17,7,25,5,0.060,0.086,0.102,0.752,0.133,0.173,0.227,0.467,285.73,6,13,8,0.178,0.203,0.091,0.528,0.081,0.118,0.386,0.415
IPI00578826.1,"Crystallin, zeta (quinone reductase)",217.3,4,10,11,0.146,0.140,0.420,0.293,0.153,0.327,0.248,0.272,139.48,2,7,11,0.156,0.203,0.410,0.231,0.134,0.238,0.336,0.292
IPI00578843.1,Dihydroorotate dehydrogenase,98.4,2,2,5,0.199,0.117,0.172,0.513,0.150,0.132,0.272,0.446,80.99,2,12,3,0.266,0.228,0.122,0.384,0.105,0.140,0.324,0.431
IPI00578858.1,"Similar to Solute carrier family 9 (sodium/hydrogen exchanger), member 6",254.5,4,10,16,0.192,0.339,0.239,0.229,0.288,0.260,0.221,0.231,116.31,2,6,3,0.330,0.317,0.174,0.180,0.196,0.228,0.328,0.248
IPI00578863.3,121 kDa protein,177.8,4,5,1,0.077,0.305,0.346,0.271,0.238,0.269,0.270,0.223,117.18,3,4,1,0.236,0.416,0.237,0.111,0.160,0.243,0.382,0.216
IPI00578929.2,Similar to protein kinase PRK2,678.87,12,26,14,0.404,0.177,0.160,0.259,0.508,0.152,0.163,0.178,368.02,7,21,9,0.491,0.266,0.104,0.138,0.346,0.157,0.265,0.232
