UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q811D0-3,Isoform 3 of Disks large homolog 1 GN=Dlg1 - [DLG1_MOUSE],31,49,49.7,0.007,0.188,0.137,0.147,0.176,0.161,0.116,0.031,0.019,0.019
Q6P5B0,RRP12-like protein GN=Rrp12 PE=1 SV=1 - [RRP12_MOUSE],31,45,29.5,0.149,0.022,0.034,0.030,0.039,0.040,0.051,0.052,0.282,0.300
Q9EPU0,Regulator of nonsense transcripts 1 GN=Upf1 PE=1 SV=2 - [RENT1_MOUSE],31,45,39.2,0.180,0.077,0.084,0.074,0.081,0.076,0.074,0.052,0.098,0.204
Q6P9L6,Kinesin-like protein KIF15 GN=Kif15 PE=1 SV=1 - [KIF15_MOUSE],31,39,25.7,0.145,0.091,0.098,0.093,0.095,0.102,0.076,0.060,0.018,0.223
Q6PGC1,ATP-dependent RNA helicase Dhx29 GN=Dhx29 PE=2 SV=1 - [DHX29_MOUSE],31,38,28.1,0.113,0.039,0.045,0.042,0.052,0.061,0.062,0.039,0.050,0.496
P35564,Calnexin GN=Canx PE=1 SV=1 - [CALX_MOUSE],30,75,42.8,0.002,0.077,0.097,0.129,0.188,0.235,0.143,0.096,0.010,0.022
Q91YQ5,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 GN=Rpn1 PE=2 SV=1 - [RPN1_MOUSE],30,57,53.6,0.001,0.046,0.079,0.104,0.146,0.228,0.189,0.117,0.060,0.030
Q8BGQ7,"Alanine--tRNA ligase, cytoplasmic GN=Aars PE=1 SV=1 - [SYAC_MOUSE]",30,54,43.8,0.415,0.109,0.126,0.103,0.107,0.061,0.036,0.014,0.013,0.016
Q9ERG0,LIM domain and actin-binding protein 1 GN=Lima1 PE=1 SV=3 - [LIMA1_MOUSE],30,54,41.4,0.061,0.107,0.083,0.082,0.103,0.154,0.143,0.055,0.130,0.084
Q6P542,ATP-binding cassette sub-family F member 1 GN=Abcf1 PE=1 SV=1 - [ABCF1_MOUSE],30,52,49.5,0.163,0.069,0.112,0.075,0.086,0.069,0.069,0.089,0.102,0.166
O08810,116 kDa U5 small nuclear ribonucleoprotein component GN=Eftud2 PE=2 SV=1 - [U5S1_MOUSE],30,51,47.7,0.152,0.018,0.031,0.022,0.027,0.028,0.033,0.032,0.250,0.406
P70206,Plexin-A1 GN=Plxna1 PE=1 SV=1 - [PLXA1_MOUSE],30,48,23.7,0.004,0.216,0.157,0.165,0.189,0.148,0.080,0.024,0.010,0.008
Q9D0I9,"Arginine--tRNA ligase, cytoplasmic GN=Rars PE=2 SV=2 - [SYRC_MOUSE]",30,46,47.1,0.422,0.075,0.092,0.069,0.079,0.076,0.054,0.022,0.035,0.077
Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic GN=Iars PE=2 SV=2 - [SYIC_MOUSE]",30,45,30.8,0.418,0.073,0.092,0.076,0.079,0.079,0.050,0.024,0.034,0.074
Q61191,Host cell factor 1 GN=Hcfc1 PE=1 SV=2 - [HCFC1_MOUSE],30,44,19.5,0.138,0.016,0.024,0.019,0.024,0.037,0.068,0.089,0.412,0.171
Q99PU8-2,Isoform 2 of Putative ATP-dependent RNA helicase DHX30 GN=Dhx30 - [DHX30_MOUSE],30,44,28.7,0.037,0.021,0.028,0.028,0.041,0.079,0.295,0.183,0.077,0.211
Q9Z277,Tyrosine-protein kinase BAZ1B GN=Baz1b PE=1 SV=2 - [BAZ1B_MOUSE],30,39,25.3,0.029,0.005,0.007,0.007,0.014,0.041,0.114,0.225,0.465,0.095
F8VQB6,Unconventional myosin-X GN=Myo10 PE=1 SV=1 - [MYO10_MOUSE],30,38,15.3,0.024,0.208,0.166,0.177,0.156,0.131,0.063,0.027,0.020,0.028
P27612,Phospholipase A-2-activating protein GN=Plaa PE=2 SV=4 - [PLAP_MOUSE],30,38,48.9,0.498,0.080,0.101,0.070,0.076,0.055,0.038,0.018,0.036,0.027
Q6A026,Sister chromatid cohesion protein PDS5 homolog A GN=Pds5a PE=3 SV=3 - [PDS5A_MOUSE],30,36,24.8,0.086,0.017,0.022,0.021,0.032,0.048,0.096,0.143,0.388,0.147
Q62318,Transcription intermediary factor 1-beta GN=Trim28 PE=1 SV=3 - [TIF1B_MOUSE],29,66,48.3,0.256,0.020,0.035,0.023,0.033,0.043,0.065,0.079,0.277,0.169
Q8CGK3,"Lon protease homolog, mitochondrial GN=Lonp1 PE=1 SV=2 - [LONM_MOUSE]",29,57,38.8,0.001,0.011,0.015,0.019,0.029,0.097,0.374,0.289,0.030,0.135
P25206,DNA replication licensing factor MCM3 GN=Mcm3 PE=1 SV=2 - [MCM3_MOUSE],29,56,48.9,0.344,0.027,0.052,0.028,0.031,0.036,0.048,0.052,0.223,0.159
A2TJV2,Paralemmin-3 GN=Palm3 PE=2 SV=1 - [PALM3_MOUSE],29,55,49.2,0.002,0.244,0.169,0.141,0.184,0.142,0.088,0.019,0.007,0.004
Q8VEK3,Heterogeneous nuclear ribonucleoprotein U GN=Hnrnpu PE=1 SV=1 - [HNRPU_MOUSE],29,53,39.8,0.183,0.019,0.031,0.024,0.036,0.044,0.051,0.035,0.309,0.267
Q64521,"Glycerol-3-phosphate dehydrogenase, mitochondrial GN=Gpd2 PE=1 SV=2 - [GPDM_MOUSE]",29,46,48.7,0.003,0.014,0.017,0.023,0.034,0.097,0.405,0.243,0.032,0.133
Q3TKT4,Transcription activator BRG1 GN=Smarca4 PE=1 SV=1 - [SMCA4_MOUSE],29,44,23.1,0.071,0.008,0.013,0.012,0.016,0.038,0.095,0.154,0.461,0.132
Q6A4J8-2,Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 7 GN=Usp7 - [UBP7_MOUSE],29,44,29.1,0.341,0.073,0.093,0.083,0.082,0.069,0.046,0.044,0.069,0.100
Q6NZJ6,Eukaryotic translation initiation factor 4 gamma 1 GN=Eif4g1 PE=1 SV=1 - [IF4G1_MOUSE],29,43,22.1,0.209,0.045,0.059,0.043,0.052,0.068,0.069,0.058,0.060,0.337
Q6PGL7,WASH complex subunit FAM21 GN=Fam21 PE=1 SV=1 - [FAM21_MOUSE],29,42,37.7,0.048,0.044,0.080,0.161,0.284,0.248,0.070,0.037,0.010,0.019
Q3U1J4,DNA damage-binding protein 1 GN=Ddb1 PE=1 SV=2 - [DDB1_MOUSE],29,40,28.7,0.398,0.077,0.085,0.069,0.075,0.057,0.048,0.043,0.103,0.046
Q3UJB9,Enhancer of mRNA-decapping protein 4 GN=Edc4 PE=1 SV=2 - [EDC4_MOUSE],29,37,27.7,0.019,0.013,0.020,0.025,0.038,0.076,0.121,0.101,0.072,0.515
Q3U7R1,Extended synaptotagmin-1 GN=Esyt1 PE=2 SV=2 - [ESYT1_MOUSE],29,35,35.4,0.005,0.072,0.090,0.139,0.215,0.209,0.164,0.068,0.016,0.023
A2ASS6,Titin GN=Ttn PE=1 SV=1 - [TITIN_MOUSE],29,32,1.1,0.018,0.037,0.043,0.049,0.065,0.139,0.174,0.233,0.096,0.148
Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE],28,93,30.0,0.002,0.194,0.148,0.151,0.177,0.178,0.111,0.030,0.005,0.004
P80314,T-complex protein 1 subunit beta GN=Cct2 PE=1 SV=4 - [TCPB_MOUSE],28,54,59.4,0.300,0.105,0.105,0.090,0.097,0.073,0.044,0.026,0.032,0.128
P80318,T-complex protein 1 subunit gamma GN=Cct3 PE=1 SV=1 - [TCPG_MOUSE],28,54,52.7,0.291,0.093,0.110,0.093,0.094,0.075,0.051,0.034,0.029,0.131
P97310,DNA replication licensing factor MCM2 GN=Mcm2 PE=1 SV=3 - [MCM2_MOUSE],28,50,38.4,0.512,0.024,0.050,0.021,0.026,0.023,0.033,0.030,0.213,0.067
A2A432,Cullin-4B GN=Cul4b PE=1 SV=1 - [CUL4B_MOUSE],28,47,36.4,0.284,0.054,0.067,0.046,0.058,0.052,0.067,0.094,0.159,0.118
Q11011,Puromycin-sensitive aminopeptidase GN=Npepps PE=1 SV=2 - [PSA_MOUSE],28,46,42.2,0.346,0.083,0.095,0.078,0.088,0.064,0.121,0.070,0.014,0.040
Q8K0D5,"Elongation factor G, mitochondrial GN=Gfm1 PE=2 SV=1 - [EFGM_MOUSE]",28,45,40.1,0.005,0.014,0.015,0.024,0.033,0.107,0.348,0.293,0.024,0.139
Q91XL9,Oxysterol-binding protein-related protein 1 GN=Osbpl1a PE=1 SV=2 - [OSBL1_MOUSE],28,44,30.7,0.016,0.121,0.165,0.204,0.228,0.157,0.060,0.027,0.015,0.008
Q8CIE6,Coatomer subunit alpha GN=Copa PE=1 SV=2 - [COPA_MOUSE],28,43,29.7,0.166,0.054,0.075,0.086,0.130,0.172,0.117,0.087,0.032,0.081
Q02257,Junction plakoglobin GN=Jup PE=1 SV=3 - [PLAK_MOUSE],28,42,53.8,0.007,0.216,0.141,0.158,0.192,0.145,0.098,0.022,0.012,0.008
Q9JIF7,Coatomer subunit beta GN=Copb1 PE=1 SV=1 - [COPB_MOUSE],28,42,33.7,0.188,0.055,0.071,0.098,0.143,0.170,0.108,0.072,0.028,0.067
Q3TYD6,Serine/threonine-protein kinase LMTK2 GN=Lmtk2 PE=1 SV=3 - [LMTK2_MOUSE],28,41,29.3,0.003,0.080,0.161,0.226,0.250,0.157,0.075,0.028,0.013,0.006
Q9D5V5,Cullin-5 GN=Cul5 PE=1 SV=3 - [CUL5_MOUSE],28,41,42.2,0.109,0.190,0.161,0.163,0.146,0.112,0.052,0.022,0.024,0.020
Q7TT37,Elongator complex protein 1 GN=Ikbkap PE=2 SV=2 - [ELP1_MOUSE],28,40,27.8,0.315,0.089,0.104,0.093,0.091,0.074,0.047,0.035,0.060,0.092
Q9ERK4,Exportin-2 GN=Cse1l PE=2 SV=1 - [XPO2_MOUSE],28,39,36.0,0.660,0.036,0.077,0.040,0.039,0.031,0.022,0.021,0.039,0.034
P02469,Laminin subunit beta-1 GN=Lamb1 PE=1 SV=3 - [LAMB1_MOUSE],28,38,19.4,0.013,0.060,0.087,0.136,0.191,0.221,0.156,0.073,0.036,0.029
Q6P1H6,Ankyrin repeat and LEM domain-containing protein 2 GN=Ankle2 PE=2 SV=2 - [ANKL2_MOUSE],28,36,34.8,0.011,0.065,0.090,0.125,0.176,0.255,0.127,0.087,0.031,0.033
Q8BUR4,Dedicator of cytokinesis protein 1 GN=Dock1 PE=1 SV=3 - [DOCK1_MOUSE],28,34,20.4,0.033,0.126,0.105,0.107,0.096,0.117,0.102,0.111,0.111,0.092
P70336,Rho-associated protein kinase 2 GN=Rock2 PE=1 SV=1 - [ROCK2_MOUSE],28,33,19.5,0.032,0.139,0.118,0.120,0.121,0.202,0.141,0.057,0.034,0.037
P07901,Heat shock protein HSP 90-alpha GN=Hsp90aa1 PE=1 SV=4 - [HS90A_MOUSE],27,109,42.8,0.456,0.098,0.126,0.100,0.092,0.062,0.027,0.012,0.012,0.013
P26040,Ezrin GN=Ezr PE=1 SV=3 - [EZRI_MOUSE],27,77,42.7,0.020,0.219,0.178,0.167,0.159,0.116,0.060,0.026,0.033,0.021
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial GN=Hadha PE=1 SV=1 - [ECHA_MOUSE]",27,77,52.6,0.001,0.010,0.014,0.018,0.025,0.096,0.352,0.305,0.045,0.133
Q8BMK4,Cytoskeleton-associated protein 4 GN=Ckap4 PE=2 SV=2 - [CKAP4_MOUSE],27,65,48.0,0.001,0.028,0.057,0.086,0.141,0.273,0.224,0.109,0.051,0.031
Q9D0E1-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein M GN=Hnrnpm - [HNRPM_MOUSE],27,58,45.5,0.087,0.018,0.027,0.024,0.033,0.041,0.051,0.037,0.424,0.258
O08528,Hexokinase-2 GN=Hk2 PE=1 SV=1 - [HXK2_MOUSE],27,51,38.5,0.374,0.057,0.078,0.063,0.066,0.061,0.085,0.068,0.033,0.113
Q91W43,"Glycine dehydrogenase [decarboxylating], mitochondrial GN=Gldc PE=1 SV=1 - [GCSP_MOUSE]",27,44,43.1,0.001,0.012,0.014,0.018,0.029,0.112,0.369,0.252,0.061,0.131
P30416,Peptidyl-prolyl cis-trans isomerase FKBP4 GN=Fkbp4 PE=1 SV=5 - [FKBP4_MOUSE],27,43,63.1,0.418,0.111,0.124,0.104,0.096,0.056,0.031,0.017,0.022,0.021
P35822,Receptor-type tyrosine-protein phosphatase kappa GN=Ptprk PE=1 SV=1 - [PTPRK_MOUSE],27,43,26.4,0.014,0.167,0.148,0.179,0.206,0.149,0.089,0.030,0.008,0.010
Q8C129,Leucyl-cystinyl aminopeptidase GN=Lnpep PE=1 SV=1 - [LCAP_MOUSE],27,40,31.7,0.001,0.069,0.092,0.167,0.306,0.242,0.081,0.029,0.005,0.009
Q3UMB9,WASH complex subunit 7 GN=Kiaa1033 PE=2 SV=2 - [WASH7_MOUSE],27,39,27.0,0.040,0.047,0.076,0.169,0.290,0.235,0.061,0.030,0.012,0.039
O35379,Multidrug resistance-associated protein 1 GN=Abcc1 PE=1 SV=1 - [MRP1_MOUSE],27,38,24.9,0.003,0.180,0.134,0.161,0.171,0.175,0.127,0.030,0.010,0.009
O35382,Exocyst complex component 4 GN=Exoc4 PE=1 SV=2 - [EXOC4_MOUSE],27,35,39.4,0.035,0.163,0.125,0.135,0.156,0.132,0.101,0.044,0.037,0.072
Q6ZQ58,La-related protein 1 GN=Larp1 PE=1 SV=2 - [LARP1_MOUSE],27,34,30.6,0.225,0.049,0.069,0.055,0.062,0.074,0.054,0.042,0.058,0.313
Q5SSZ5,Tensin-3 GN=Tns3 PE=1 SV=1 - [TENS3_MOUSE],27,33,27.8,0.062,0.165,0.126,0.131,0.138,0.137,0.102,0.044,0.031,0.064
P63017,Heat shock cognate 71 kDa protein GN=Hspa8 PE=1 SV=1 - [HSP7C_MOUSE],26,87,52.8,0.366,0.101,0.109,0.098,0.100,0.078,0.043,0.024,0.053,0.027
Q61699-2,Isoform HSP105-beta of Heat shock protein 105 kDa GN=Hsph1 - [HS105_MOUSE],26,57,42.5,0.431,0.106,0.119,0.094,0.099,0.058,0.035,0.016,0.019,0.022
P70168,Importin subunit beta-1 GN=Kpnb1 PE=1 SV=2 - [IMB1_MOUSE],26,52,41.3,0.296,0.106,0.110,0.091,0.105,0.061,0.049,0.031,0.106,0.046
Q64737,Trifunctional purine biosynthetic protein adenosine-3 GN=Gart PE=2 SV=3 - [PUR2_MOUSE],26,52,34.0,0.412,0.101,0.118,0.101,0.097,0.061,0.036,0.019,0.018,0.038
Q9CQN1,"Heat shock protein 75 kDa, mitochondrial GN=Trap1 PE=1 SV=1 - [TRAP1_MOUSE]",26,50,39.1,0.002,0.012,0.016,0.020,0.028,0.104,0.371,0.289,0.019,0.139
Q03145,Ephrin type-A receptor 2 GN=Epha2 PE=1 SV=3 - [EPHA2_MOUSE],26,48,40.0,0.002,0.190,0.163,0.192,0.186,0.156,0.075,0.022,0.009,0.006
Q7TPR4,Alpha-actinin-1 GN=Actn1 PE=1 SV=1 - [ACTN1_MOUSE],26,48,35.5,0.171,0.164,0.144,0.152,0.135,0.137,0.062,0.019,0.008,0.008
Q61391,Neprilysin GN=Mme PE=1 SV=3 - [NEP_MOUSE],26,46,42.8,0.001,0.167,0.176,0.214,0.218,0.121,0.068,0.020,0.008,0.006
Q61768,Kinesin-1 heavy chain GN=Kif5b PE=1 SV=3 - [KINH_MOUSE],26,45,33.7,0.171,0.090,0.103,0.101,0.103,0.109,0.089,0.083,0.041,0.112
Q91WQ3,"Tyrosine--tRNA ligase, cytoplasmic GN=Yars PE=2 SV=3 - [SYYC_MOUSE]",26,43,50.0,0.356,0.102,0.100,0.084,0.092,0.060,0.046,0.035,0.055,0.070
Q9EQH3,Vacuolar protein sorting-associated protein 35 GN=Vps35 PE=1 SV=1 - [VPS35_MOUSE],26,42,44.3,0.089,0.057,0.075,0.126,0.284,0.220,0.074,0.029,0.016,0.031
P23249,Putative helicase MOV-10 GN=Mov10 PE=1 SV=2 - [MOV10_MOUSE],26,41,31.4,0.091,0.028,0.038,0.038,0.055,0.089,0.130,0.092,0.116,0.322
Q8VDM4,26S proteasome non-ATPase regulatory subunit 2 GN=Psmd2 PE=1 SV=1 - [PSMD2_MOUSE],26,40,39.1,0.504,0.082,0.105,0.070,0.074,0.054,0.030,0.019,0.020,0.043
Q8VDR9,Dedicator of cytokinesis protein 6 GN=Dock6 PE=1 SV=4 - [DOCK6_MOUSE],26,37,18.3,0.024,0.081,0.100,0.124,0.204,0.182,0.143,0.048,0.044,0.049
Q91Z67,SLIT-ROBO Rho GTPase-activating protein 2 GN=Srgap2 PE=1 SV=2 - [SRGP2_MOUSE],26,37,30.8,0.015,0.216,0.179,0.173,0.166,0.113,0.059,0.042,0.018,0.020
Q91YR7,Pre-mRNA-processing factor 6 GN=Prpf6 PE=2 SV=1 - [PRP6_MOUSE],26,33,30.4,0.172,0.014,0.024,0.018,0.026,0.033,0.042,0.029,0.280,0.360
Q9QYE6,Golgin subfamily A member 5 GN=Golga5 PE=1 SV=2 - [GOGA5_MOUSE],26,32,42.5,0.005,0.027,0.048,0.097,0.146,0.279,0.205,0.139,0.018,0.037
Q9WTX6,Cullin-1 GN=Cul1 PE=1 SV=1 - [CUL1_MOUSE],26,32,39.3,0.197,0.102,0.106,0.100,0.096,0.085,0.056,0.052,0.103,0.102
P56480,"ATP synthase subunit beta, mitochondrial GN=Atp5b PE=1 SV=2 - [ATPB_MOUSE]",25,110,72.4,0.001,0.015,0.014,0.018,0.027,0.092,0.365,0.256,0.084,0.129
P11499,Heat shock protein HSP 90-beta GN=Hsp90ab1 PE=1 SV=3 - [HS90B_MOUSE],25,77,39.1,0.457,0.098,0.130,0.098,0.087,0.060,0.028,0.013,0.014,0.014
P09055,Integrin beta-1 GN=Itgb1 PE=1 SV=1 - [ITB1_MOUSE],25,68,39.3,0.003,0.190,0.161,0.165,0.182,0.168,0.093,0.026,0.007,0.007
Q9D8E6,60S ribosomal protein L4 GN=Rpl4 PE=1 SV=3 - [RL4_MOUSE],25,63,51.8,0.100,0.044,0.061,0.066,0.085,0.125,0.103,0.062,0.064,0.290
P27659,60S ribosomal protein L3 GN=Rpl3 PE=2 SV=3 - [RL3_MOUSE],25,53,49.4,0.110,0.042,0.060,0.060,0.081,0.120,0.094,0.058,0.078,0.296
P29341,Polyadenylate-binding protein 1 GN=Pabpc1 PE=1 SV=2 - [PABP1_MOUSE],25,52,43.1,0.167,0.033,0.048,0.036,0.045,0.057,0.067,0.043,0.085,0.418
Q9DBG3,AP-2 complex subunit beta GN=Ap2b1 PE=1 SV=1 - [AP2B1_MOUSE],25,51,38.3,0.023,0.106,0.117,0.107,0.134,0.225,0.153,0.047,0.029,0.058
P50516,V-type proton ATPase catalytic subunit A GN=Atp6v1a PE=1 SV=2 - [VATA_MOUSE],25,50,53.5,0.117,0.098,0.148,0.180,0.213,0.142,0.051,0.020,0.022,0.009
P11688,Integrin alpha-5 GN=Itga5 PE=1 SV=3 - [ITA5_MOUSE],25,47,35.3,0.003,0.216,0.162,0.169,0.191,0.142,0.085,0.023,0.004,0.005
P20152,Vimentin GN=Vim PE=1 SV=3 - [VIME_MOUSE],25,45,55.2,0.083,0.041,0.046,0.037,0.047,0.061,0.096,0.070,0.394,0.125
Q9D0R2,"Threonine--tRNA ligase, cytoplasmic GN=Tars PE=1 SV=2 - [SYTC_MOUSE]",25,43,42.0,0.361,0.100,0.109,0.091,0.100,0.069,0.037,0.041,0.045,0.047
Q9QUJ7-2,Isoform Short of Long-chain-fatty-acid--CoA ligase 4 GN=Acsl4 - [ACSL4_MOUSE],25,43,47.5,0.006,0.087,0.110,0.151,0.164,0.227,0.120,0.085,0.019,0.031
Q99LI8,Hepatocyte growth factor-regulated tyrosine kinase substrate GN=Hgs PE=1 SV=2 - [HGS_MOUSE],25,41,35.6,0.012,0.101,0.112,0.166,0.283,0.205,0.075,0.026,0.006,0.014
Q9DCL9,Multifunctional protein ADE2 GN=Paics PE=1 SV=4 - [PUR6_MOUSE],25,41,61.6,0.366,0.104,0.124,0.098,0.107,0.068,0.046,0.028,0.026,0.033
Q61941,"NAD(P) transhydrogenase, mitochondrial GN=Nnt PE=1 SV=2 - [NNTM_MOUSE]",25,38,26.5,0.003,0.015,0.015,0.021,0.035,0.100,0.357,0.236,0.093,0.125
Q9EPE9,Probable cation-transporting ATPase 13A1 GN=Atp13a1 PE=1 SV=2 - [AT131_MOUSE],25,36,25.3,0.001,0.064,0.084,0.124,0.185,0.209,0.164,0.087,0.059,0.024
Q3URK3,Methylcytosine dioxygenase TET1 GN=Tet1 PE=1 SV=2 - [TET1_MOUSE],25,35,15.6,0.051,0.004,0.007,0.008,0.011,0.041,0.092,0.207,0.440,0.138
Q05920,"Pyruvate carboxylase, mitochondrial GN=Pc PE=1 SV=1 - [PYC_MOUSE]",25,33,27.7,0.005,0.016,0.019,0.020,0.032,0.092,0.389,0.249,0.028,0.150
O88322,Nidogen-2 GN=Nid2 PE=1 SV=2 - [NID2_MOUSE],25,30,22.9,0.013,0.050,0.086,0.132,0.224,0.199,0.179,0.065,0.027,0.026
Q80WE4-3,Isoform 3 of Kinesin-like protein KIF20B GN=Kif20b - [KI20B_MOUSE],25,30,15.1,0.047,0.018,0.024,0.023,0.029,0.067,0.110,0.227,0.349,0.108
B1AZI6,THO complex subunit 2 GN=Thoc2 PE=3 SV=1 - [THOC2_MOUSE],25,29,17.3,0.104,0.020,0.023,0.017,0.027,0.032,0.055,0.061,0.325,0.335
O88477,Insulin-like growth factor 2 mRNA-binding protein 1 GN=Igf2bp1 PE=1 SV=1 - [IF2B1_MOUSE],24,68,45.1,0.105,0.027,0.042,0.042,0.052,0.092,0.111,0.083,0.137,0.308
P80313,T-complex protein 1 subunit eta GN=Cct7 PE=1 SV=1 - [TCPH_MOUSE],24,67,51.5,0.287,0.096,0.106,0.090,0.096,0.071,0.046,0.032,0.027,0.149
P17426-2,Isoform B of AP-2 complex subunit alpha-1 GN=Ap2a1 - [AP2A1_MOUSE],24,52,33.9,0.030,0.117,0.105,0.110,0.141,0.193,0.170,0.043,0.033,0.058
P26043,Radixin GN=Rdx PE=1 SV=3 - [RADI_MOUSE],24,51,35.7,0.028,0.220,0.174,0.172,0.161,0.116,0.058,0.020,0.031,0.020
Q99KI0,"Aconitate hydratase, mitochondrial GN=Aco2 PE=1 SV=1 - [ACON_MOUSE]",24,51,36.7,0.002,0.012,0.014,0.019,0.028,0.095,0.386,0.297,0.009,0.137
Q6P5F9,Exportin-1 GN=Xpo1 PE=1 SV=1 - [XPO1_MOUSE],24,42,31.7,0.483,0.051,0.078,0.053,0.052,0.047,0.032,0.029,0.112,0.062
P21619,Lamin-B2 GN=Lmnb2 PE=1 SV=2 - [LMNB2_MOUSE],24,41,45.0,0.007,0.014,0.022,0.029,0.040,0.074,0.172,0.263,0.309,0.069
Q8R311,Cutaneous T-cell lymphoma-associated antigen 5 homolog GN=Ctage5 PE=1 SV=1 - [CTGE5_MOUSE],24,41,38.3,0.001,0.037,0.074,0.110,0.197,0.278,0.186,0.086,0.009,0.022
Q9WVL3,Solute carrier family 12 member 7 GN=Slc12a7 PE=1 SV=1 - [S12A7_MOUSE],24,41,25.6,0.003,0.131,0.116,0.151,0.178,0.225,0.139,0.039,0.008,0.009
O35286,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 GN=Dhx15 PE=2 SV=2 - [DHX15_MOUSE],24,40,35.7,0.259,0.019,0.038,0.023,0.030,0.034,0.041,0.034,0.256,0.265
E2JF22,Piezo-type mechanosensitive ion channel component 1 GN=Piezo1 PE=2 SV=1 - [PIEZ1_MOUSE],24,38,10.9,0.001,0.094,0.104,0.127,0.182,0.248,0.172,0.049,0.013,0.010
Q80UM3,"N-alpha-acetyltransferase 15, NatA auxiliary subunit GN=Naa15 PE=1 SV=1 - [NAA15_MOUSE]",24,38,36.6,0.113,0.039,0.051,0.039,0.045,0.043,0.044,0.053,0.048,0.526
Q8R3B1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 GN=Plcd1 PE=2 SV=2 - [PLCD1_MOUSE]",24,38,42.5,0.019,0.227,0.153,0.166,0.178,0.146,0.078,0.018,0.010,0.005
Q04750,DNA topoisomerase 1 GN=Top1 PE=1 SV=2 - [TOP1_MOUSE],24,37,32.2,0.034,0.007,0.020,0.017,0.025,0.052,0.103,0.198,0.453,0.091
Q9CZU3,Superkiller viralicidic activity 2-like 2 GN=Skiv2l2 PE=2 SV=1 - [SK2L2_MOUSE],24,37,23.8,0.258,0.018,0.039,0.029,0.031,0.041,0.046,0.053,0.257,0.229
Q6P9Q6,FK506-binding protein 15 GN=Fkbp15 PE=1 SV=2 - [FKB15_MOUSE],24,36,24.9,0.004,0.037,0.067,0.153,0.384,0.217,0.075,0.025,0.014,0.022
Q9WU78,Programmed cell death 6-interacting protein GN=Pdcd6ip PE=1 SV=3 - [PDC6I_MOUSE],24,36,36.7,0.254,0.122,0.139,0.142,0.140,0.097,0.045,0.023,0.018,0.021
Q3TXS7,26S proteasome non-ATPase regulatory subunit 1 GN=Psmd1 PE=1 SV=1 - [PSMD1_MOUSE],24,34,31.7,0.484,0.081,0.106,0.073,0.081,0.057,0.034,0.017,0.019,0.046
P08775,DNA-directed RNA polymerase II subunit RPB1 GN=Polr2a PE=1 SV=3 - [RPB1_MOUSE],24,32,17.3,0.256,0.026,0.041,0.028,0.031,0.045,0.060,0.078,0.284,0.151
Q8CCJ3,E3 UFM1-protein ligase 1 GN=Ufl1 PE=1 SV=2 - [UFL1_MOUSE],24,32,34.3,0.009,0.076,0.086,0.115,0.209,0.211,0.162,0.068,0.034,0.028
Q3UH60,Disco-interacting protein 2 homolog B GN=Dip2b PE=1 SV=1 - [DIP2B_MOUSE],24,31,20.6,0.040,0.197,0.155,0.167,0.138,0.122,0.059,0.028,0.047,0.047
Q9DBY8,Nuclear valosin-containing protein-like GN=Nvl PE=1 SV=1 - [NVL_MOUSE],24,31,37.8,0.169,0.017,0.034,0.031,0.039,0.069,0.057,0.063,0.289,0.231
P27046,Alpha-mannosidase 2 GN=Man2a1 PE=1 SV=2 - [MA2A1_MOUSE],24,30,25.5,0.004,0.039,0.077,0.128,0.190,0.240,0.160,0.096,0.038,0.028
Q0VGY8,Protein TANC1 GN=Tanc1 PE=1 SV=2 - [TANC1_MOUSE],24,30,20.4,0.058,0.168,0.133,0.128,0.119,0.125,0.072,0.043,0.069,0.085
P33174,Chromosome-associated kinesin KIF4 GN=Kif4 PE=2 SV=3 - [KIF4_MOUSE],24,29,22.7,0.020,0.013,0.021,0.023,0.025,0.061,0.109,0.256,0.366,0.105
Q8VD75,Huntingtin-interacting protein 1 GN=Hip1 PE=1 SV=2 - [HIP1_MOUSE],24,29,29.4,0.003,0.097,0.113,0.104,0.118,0.215,0.175,0.054,0.058,0.064
A2ASQ1-3,Isoform 3 of Agrin GN=Agrn - [AGRIN_MOUSE],24,28,19.4,0.007,0.047,0.077,0.141,0.218,0.211,0.190,0.064,0.020,0.023
P97820,Mitogen-activated protein kinase kinase kinase kinase 4 GN=Map4k4 PE=1 SV=1 - [M4K4_MOUSE],24,28,27.3,0.032,0.209,0.155,0.152,0.147,0.126,0.066,0.028,0.036,0.050
Q569Z5,Probable ATP-dependent RNA helicase DDX46 GN=Ddx46 PE=1 SV=2 - [DDX46_MOUSE],24,28,22.2,0.237,0.025,0.045,0.036,0.037,0.057,0.063,0.050,0.187,0.263
