UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Iars PE=2 SV=2 [SYIC_MOUSE]",43,46,42.0,0.745,0.000,0.046,0.000,0.009,0.039,0.038,0.034,0.090,0.000
O08784,Treacle protein OS=Mus musculus GN=Tcof1 PE=1 SV=1 [TCOF_MOUSE],43,45,37.3,0.321,0.000,0.020,0.001,0.022,0.054,0.068,0.212,0.276,0.024
Q6PGC1,ATP-dependent RNA helicase Dhx29 OS=Mus musculus GN=Dhx29 PE=2 SV=1 [DHX29_MOUSE],43,45,37.5,0.168,0.000,0.012,0.000,0.024,0.053,0.072,0.065,0.602,0.004
Q9CZU3,Superkiller viralicidic activity 2-like 2 OS=Mus musculus GN=Skiv2l2 PE=1 SV=1 [SK2L2_MOUSE],43,44,44.7,0.270,0.000,0.016,0.000,0.006,0.024,0.046,0.112,0.520,0.006
Q62318,Transcription intermediary factor 1-beta OS=Mus musculus GN=Trim28 PE=1 SV=3 [TIF1B_MOUSE],42,84,63.2,0.293,0.000,0.020,0.000,0.012,0.035,0.067,0.156,0.404,0.012
P42932,T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3 [TCPQ_MOUSE],42,62,77.0,0.631,0.003,0.041,0.001,0.027,0.044,0.037,0.081,0.130,0.005
Q02053,Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1 [UBA1_MOUSE],42,62,61.3,0.854,0.002,0.055,0.000,0.022,0.022,0.015,0.015,0.015,0.000
Q6P9P6,Kinesin-like protein KIF11 OS=Mus musculus GN=Kif11 PE=2 SV=1 [KIF11_MOUSE],42,48,45.4,0.071,0.000,0.003,0.001,0.027,0.091,0.143,0.292,0.357,0.015
Q9EP71,Ankycorbin OS=Mus musculus GN=Rai14 PE=1 SV=1 [RAI14_MOUSE],42,45,46.6,0.052,0.000,0.005,0.004,0.058,0.150,0.171,0.318,0.227,0.015
Q62388,Serine-protein kinase ATM OS=Mus musculus GN=Atm PE=1 SV=2 [ATM_MOUSE],42,42,17.2,0.096,0.000,0.006,0.000,0.018,0.060,0.102,0.285,0.422,0.012
P27773,Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2 [PDIA3_MOUSE],41,96,68.9,0.036,0.000,0.005,0.010,0.133,0.312,0.292,0.137,0.070,0.005
Q587J6,LINE-1 type transposase domain-containing protein 1 OS=Mus musculus GN=L1td1 PE=2 SV=1 [LITD1_MOUSE],41,73,51.9,0.046,0.000,0.002,0.000,0.016,0.060,0.089,0.400,0.370,0.018
Q64737,Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=2 SV=3 [PUR2_MOUSE],41,54,54.0,0.704,0.003,0.051,0.000,0.025,0.037,0.033,0.044,0.102,0.000
Q9CQN1,"Heat shock protein 75 kDa, mitochondrial OS=Mus musculus GN=Trap1 PE=1 SV=1 [TRAP1_MOUSE]",41,52,57.6,0.007,0.000,0.000,0.002,0.057,0.158,0.425,0.218,0.125,0.008
Q1HFZ0,tRNA (cytosine(34)-C(5))-methyltransferase OS=Mus musculus GN=Nsun2 PE=1 SV=2 [NSUN2_MOUSE],41,48,61.7,0.781,0.000,0.050,0.000,0.010,0.021,0.037,0.035,0.063,0.002
Q9EPU0,Regulator of nonsense transcripts 1 OS=Mus musculus GN=Upf1 PE=1 SV=2 [RENT1_MOUSE],41,48,46.2,0.378,0.000,0.026,0.000,0.022,0.053,0.067,0.100,0.350,0.004
Q8K411-2,"Isoform 2 of Presequence protease, mitochondrial OS=Mus musculus GN=Pitrm1 [PREP_MOUSE]",41,47,62.3,0.005,0.000,0.001,0.002,0.060,0.155,0.419,0.218,0.129,0.010
B1AZI6,THO complex subunit 2 OS=Mus musculus GN=Thoc2 PE=1 SV=1 [THOC2_MOUSE],41,45,30.7,0.118,0.000,0.007,0.000,0.005,0.033,0.069,0.160,0.598,0.009
Q8K298,Actin-binding protein anillin OS=Mus musculus GN=Anln PE=1 SV=2 [ANLN_MOUSE],41,45,56.7,0.095,0.001,0.007,0.002,0.032,0.088,0.139,0.358,0.262,0.015
O08810,116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus GN=Eftud2 PE=2 SV=1 [U5S1_MOUSE],41,44,58.4,0.200,0.000,0.012,0.000,0.008,0.020,0.039,0.053,0.665,0.004
Q8K224,N-acetyltransferase 10 OS=Mus musculus GN=Nat10 PE=2 SV=1 [NAT10_MOUSE],41,44,50.2,0.107,0.000,0.007,0.000,0.007,0.017,0.039,0.105,0.712,0.006
Q99PU8-2,Isoform 2 of Putative ATP-dependent RNA helicase DHX30 OS=Mus musculus GN=Dhx30 [DHX30_MOUSE],41,44,51.9,0.086,0.000,0.005,0.001,0.041,0.129,0.296,0.167,0.267,0.007
P23249,Putative helicase MOV-10 OS=Mus musculus GN=Mov10 PE=1 SV=2 [MOV10_MOUSE],41,43,49.1,0.179,0.000,0.011,0.000,0.010,0.049,0.074,0.221,0.446,0.009
Q8BSQ9-2,Isoform 2 of Protein polybromo-1 OS=Mus musculus GN=Pbrm1 [PB1_MOUSE],41,43,36.1,0.072,0.000,0.004,0.000,0.019,0.057,0.107,0.403,0.321,0.017
Q8CFI7,DNA-directed RNA polymerase II subunit RPB2 OS=Mus musculus GN=Polr2b PE=2 SV=2 [RPB2_MOUSE],41,42,42.8,0.394,0.000,0.026,0.000,0.016,0.037,0.051,0.176,0.290,0.011
Q8K284,General transcription factor 3C polypeptide 1 OS=Mus musculus GN=Gtf3c1 PE=1 SV=2 [TF3C1_MOUSE],41,41,29.7,0.106,0.000,0.006,0.000,0.019,0.064,0.107,0.387,0.293,0.018
P08003,Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3 [PDIA4_MOUSE],40,63,63.0,0.035,0.001,0.005,0.010,0.111,0.326,0.306,0.136,0.067,0.003
O35286,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Mus musculus GN=Dhx15 PE=1 SV=2 [DHX15_MOUSE],40,49,49.3,0.288,0.000,0.017,0.000,0.010,0.029,0.047,0.069,0.535,0.005
Q9D0E1-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein M OS=Mus musculus GN=Hnrnpm [HNRPM_MOUSE],40,49,58.7,0.200,0.001,0.015,0.002,0.019,0.038,0.053,0.081,0.465,0.125
Q60597,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3 [ODO1_MOUSE]",40,46,56.2,0.004,0.000,0.000,0.002,0.046,0.154,0.432,0.218,0.134,0.009
Q61699-2,Isoform HSP105-beta of Heat shock protein 105 kDa OS=Mus musculus GN=Hsph1 [HS105_MOUSE],40,45,62.8,0.819,0.002,0.050,0.000,0.026,0.033,0.022,0.022,0.027,0.000
P46735,Unconventional myosin-Ib OS=Mus musculus GN=Myo1b PE=2 SV=3 [MYO1B_MOUSE],40,43,40.5,0.091,0.003,0.009,0.007,0.103,0.261,0.194,0.203,0.121,0.008
Q61768,Kinesin-1 heavy chain OS=Mus musculus GN=Kif5b PE=1 SV=3 [KINH_MOUSE],40,43,46.3,0.158,0.000,0.011,0.002,0.026,0.082,0.109,0.159,0.444,0.009
Q8CIE6,Coatomer subunit alpha OS=Mus musculus GN=Copa PE=1 SV=2 [COPA_MOUSE],40,43,39.6,0.318,0.000,0.021,0.000,0.030,0.116,0.130,0.151,0.226,0.007
A2AF47,Dedicator of cytokinesis protein 11 OS=Mus musculus GN=Dock11 PE=1 SV=1 [DOC11_MOUSE],40,40,26.6,0.097,0.000,0.007,0.003,0.054,0.156,0.133,0.166,0.377,0.007
O08788-2,Isoform 2 of Dynactin subunit 1 OS=Mus musculus GN=Dctn1 [DCTN1_MOUSE],40,40,47.0,0.088,0.000,0.005,0.000,0.031,0.067,0.086,0.168,0.543,0.010
Q9JKR6,Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1 [HYOU1_MOUSE],39,54,41.6,0.038,0.000,0.003,0.006,0.085,0.350,0.305,0.138,0.072,0.004
Q8BHN3-2,Isoform 2 of Neutral alpha-glucosidase AB OS=Mus musculus GN=Ganab [GANAB_MOUSE],39,53,46.5,0.060,0.000,0.004,0.005,0.053,0.335,0.327,0.138,0.075,0.003
P57780,Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1 [ACTN4_MOUSE],39,52,49.0,0.686,0.004,0.046,0.004,0.066,0.086,0.050,0.037,0.019,0.002
Q61739,Integrin alpha-6 OS=Mus musculus GN=Itga6 PE=1 SV=3 [ITA6_MOUSE],39,47,45.1,0.012,0.015,0.010,0.019,0.200,0.334,0.213,0.124,0.068,0.005
Q921M3,Splicing factor 3B subunit 3 OS=Mus musculus GN=Sf3b3 PE=2 SV=1 [SF3B3_MOUSE],39,45,44.9,0.254,0.000,0.015,0.000,0.007,0.018,0.039,0.045,0.620,0.003
Q64521,"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Mus musculus GN=Gpd2 PE=1 SV=2 [GPDM_MOUSE]",39,44,66.3,0.007,0.000,0.000,0.002,0.060,0.161,0.414,0.202,0.146,0.008
Q6P542,ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1 [ABCF1_MOUSE],39,44,60.8,0.349,0.000,0.024,0.000,0.020,0.052,0.083,0.156,0.306,0.010
Q8BKG3,Inactive tyrosine-protein kinase 7 OS=Mus musculus GN=Ptk7 PE=1 SV=1 [PTK7_MOUSE],39,44,42.4,0.024,0.016,0.016,0.020,0.188,0.326,0.228,0.116,0.061,0.004
Q6GQT9,Nodal modulator 1 OS=Mus musculus GN=Nomo1 PE=1 SV=1 [NOMO1_MOUSE],39,43,53.1,0.003,0.000,0.000,0.006,0.068,0.326,0.327,0.166,0.098,0.005
Q6P1H6,Ankyrin repeat and LEM domain-containing protein 2 OS=Mus musculus GN=Ankle2 PE=2 SV=2 [ANKL2_MOUSE],39,42,48.0,0.036,0.000,0.004,0.007,0.103,0.293,0.268,0.167,0.114,0.008
Q61464-4,Isoform 4 of Zinc finger protein 638 OS=Mus musculus GN=Znf638 [ZN638_MOUSE],39,41,23.8,0.189,0.000,0.013,0.000,0.018,0.047,0.074,0.145,0.497,0.017
Q7TSC1,Protein PRRC2A OS=Mus musculus GN=Prrc2a PE=1 SV=1 [PRC2A_MOUSE],39,41,27.8,0.269,0.000,0.019,0.000,0.025,0.062,0.073,0.093,0.450,0.009
Q8R4U7,Leucine zipper protein 1 OS=Mus musculus GN=Luzp1 PE=1 SV=2 [LUZP1_MOUSE],39,41,42.8,0.176,0.003,0.015,0.005,0.051,0.090,0.106,0.186,0.350,0.018
P70336,Rho-associated protein kinase 2 OS=Mus musculus GN=Rock2 PE=1 SV=1 [ROCK2_MOUSE],39,40,30.5,0.224,0.000,0.015,0.001,0.042,0.135,0.126,0.168,0.281,0.008
Q6P4S8,Integrator complex subunit 1 OS=Mus musculus GN=Ints1 PE=2 SV=2 [INT1_MOUSE],39,40,28.6,0.157,0.000,0.009,0.000,0.011,0.044,0.081,0.143,0.547,0.008
Q62383,Transcription elongation factor SPT6 OS=Mus musculus GN=Supt6h PE=1 SV=2 [SPT6H_MOUSE],39,39,31.6,0.601,0.000,0.039,0.000,0.011,0.022,0.034,0.131,0.156,0.007
Q7TPH6-2,Isoform 2 of E3 ubiquitin-protein ligase MYCBP2 OS=Mus musculus GN=Mycbp2 [MYCB2_MOUSE],39,39,11.0,0.094,0.000,0.006,0.000,0.036,0.075,0.095,0.116,0.569,0.008
Q99104,Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=2 [MYO5A_MOUSE],39,39,26.0,0.122,0.000,0.007,0.000,0.029,0.091,0.118,0.197,0.428,0.008
Q91YR7,Pre-mRNA-processing factor 6 OS=Mus musculus GN=Prpf6 PE=2 SV=1 [PRP6_MOUSE],38,43,48.9,0.178,0.000,0.012,0.000,0.011,0.024,0.042,0.056,0.672,0.005
P49718,DNA replication licensing factor MCM5 OS=Mus musculus GN=Mcm5 PE=2 SV=1 [MCM5_MOUSE],38,42,57.2,0.341,0.000,0.019,0.000,0.017,0.042,0.064,0.092,0.420,0.005
Q6A026,Sister chromatid cohesion protein PDS5 homolog A OS=Mus musculus GN=Pds5a PE=1 SV=3 [PDS5A_MOUSE],38,42,33.6,0.151,0.000,0.009,0.000,0.014,0.063,0.111,0.265,0.376,0.012
Q3UIL6-2,Isoform 2 of Pleckstrin homology domain-containing family A member 7 OS=Mus musculus GN=Plekha7 [PKHA7_MOUSE],38,41,39.3,0.152,0.009,0.015,0.010,0.081,0.213,0.133,0.092,0.280,0.015
Q9EPE9,Manganese-transporting ATPase 13A1 OS=Mus musculus GN=Atp13a1 PE=2 SV=2 [AT131_MOUSE],38,41,45.1,0.003,0.001,0.002,0.008,0.090,0.313,0.322,0.161,0.094,0.006
Q9Z1N2,Origin recognition complex subunit 1 OS=Mus musculus GN=Orc1 PE=1 SV=2 [ORC1_MOUSE],38,41,50.7,0.056,0.000,0.003,0.000,0.016,0.067,0.134,0.443,0.259,0.023
Q9CSH3,Exosome complex exonuclease RRP44 OS=Mus musculus GN=Dis3 PE=2 SV=4 [RRP44_MOUSE],38,40,50.1,0.368,0.000,0.023,0.000,0.020,0.043,0.063,0.107,0.370,0.007
Q9JLN9,Serine/threonine-protein kinase mTOR OS=Mus musculus GN=Mtor PE=1 SV=2 [MTOR_MOUSE],38,40,19.7,0.139,0.000,0.008,0.000,0.043,0.107,0.109,0.120,0.471,0.003
P55937,Golgin subfamily A member 3 OS=Mus musculus GN=Golga3 PE=1 SV=3 [GOGA3_MOUSE],38,38,36.2,0.081,0.000,0.006,0.000,0.031,0.081,0.115,0.255,0.418,0.013
Q05D44,Eukaryotic translation initiation factor 5B OS=Mus musculus GN=Eif5b PE=1 SV=2 [IF2P_MOUSE],38,38,36.5,0.350,0.000,0.022,0.000,0.012,0.056,0.084,0.244,0.221,0.010
Q99P72,Reticulon-4 OS=Mus musculus GN=Rtn4 PE=1 SV=2 [RTN4_MOUSE],37,46,57.2,0.031,0.003,0.010,0.025,0.200,0.348,0.219,0.108,0.053,0.004
Q04750,DNA topoisomerase 1 OS=Mus musculus GN=Top1 PE=1 SV=2 [TOP1_MOUSE],37,44,43.4,0.082,0.000,0.005,0.000,0.018,0.069,0.129,0.420,0.259,0.019
Q8BHB4,WD repeat-containing protein 3 OS=Mus musculus GN=Wdr3 PE=2 SV=1 [WDR3_MOUSE],37,44,54.5,0.081,0.000,0.005,0.000,0.003,0.015,0.039,0.134,0.715,0.008
P14824,Annexin A6 OS=Mus musculus GN=Anxa6 PE=1 SV=3 [ANXA6_MOUSE],37,42,60.8,0.730,0.002,0.049,0.002,0.035,0.083,0.050,0.030,0.020,0.000
Q62448,Eukaryotic translation initiation factor 4 gamma 2 OS=Mus musculus GN=Eif4g2 PE=1 SV=2 [IF4G2_MOUSE],37,40,45.5,0.323,0.000,0.021,0.000,0.016,0.045,0.058,0.071,0.463,0.004
Q6ZQ58,La-related protein 1 OS=Mus musculus GN=Larp1 PE=1 SV=3 [LARP1_MOUSE],37,38,47.6,0.494,0.000,0.031,0.000,0.018,0.050,0.057,0.064,0.283,0.003
P09103,Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2 [PDIA1_MOUSE],36,90,64.2,0.041,0.000,0.004,0.009,0.120,0.344,0.286,0.127,0.065,0.003
P30416,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus GN=Fkbp4 PE=1 SV=5 [FKBP4_MOUSE],36,50,73.4,0.803,0.004,0.056,0.001,0.023,0.032,0.023,0.029,0.028,0.001
Q99MD9,Nuclear autoantigenic sperm protein OS=Mus musculus GN=Nasp PE=1 SV=2 [NASP_MOUSE],36,50,61.6,0.899,0.002,0.059,0.000,0.006,0.010,0.008,0.008,0.009,0.000
P26041,Moesin OS=Mus musculus GN=Msn PE=1 SV=3 [MOES_MOUSE],36,49,53.2,0.194,0.005,0.017,0.007,0.100,0.197,0.139,0.137,0.197,0.006
Q78PY7,Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1 [SND1_MOUSE],36,49,48.0,0.087,0.000,0.007,0.002,0.067,0.172,0.187,0.119,0.351,0.007
Q9D6Z1,Nucleolar protein 56 OS=Mus musculus GN=Nop56 PE=1 SV=2 [NOP56_MOUSE],36,46,68.8,0.177,0.000,0.013,0.000,0.016,0.040,0.051,0.146,0.547,0.011
Q8BGQ7,"Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1 [SYAC_MOUSE]",36,44,53.4,0.808,0.004,0.052,0.000,0.038,0.038,0.023,0.019,0.018,0.000
A2A432,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1 [CUL4B_MOUSE],36,42,41.0,0.430,0.000,0.029,0.000,0.008,0.040,0.072,0.183,0.230,0.010
Q91ZW3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Mus musculus GN=Smarca5 PE=1 SV=1 [SMCA5_MOUSE],36,42,34.3,0.104,0.000,0.006,0.000,0.016,0.070,0.126,0.416,0.243,0.019
Q3TXS7,26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus GN=Psmd1 PE=1 SV=1 [PSMD1_MOUSE],36,41,53.5,0.756,0.000,0.046,0.000,0.010,0.026,0.024,0.034,0.104,0.000
Q6P5F9,Exportin-1 OS=Mus musculus GN=Xpo1 PE=1 SV=1 [XPO1_MOUSE],36,41,45.4,0.718,0.000,0.042,0.000,0.005,0.034,0.044,0.049,0.105,0.002
P46460,Vesicle-fusing ATPase OS=Mus musculus GN=Nsf PE=1 SV=2 [NSF_MOUSE],36,40,48.9,0.027,0.000,0.004,0.003,0.041,0.131,0.142,0.215,0.429,0.009
Q9WU78,Programmed cell death 6-interacting protein OS=Mus musculus GN=Pdcd6ip PE=1 SV=3 [PDC6I_MOUSE],36,40,48.4,0.585,0.003,0.040,0.002,0.061,0.100,0.067,0.071,0.068,0.002
Q921N6,Probable ATP-dependent RNA helicase DDX27 OS=Mus musculus GN=Ddx27 PE=1 SV=3 [DDX27_MOUSE],36,39,50.1,0.135,0.000,0.008,0.000,0.009,0.024,0.042,0.077,0.694,0.011
Q99P88,Nuclear pore complex protein Nup155 OS=Mus musculus GN=Nup155 PE=1 SV=1 [NU155_MOUSE],36,38,34.7,0.075,0.000,0.005,0.003,0.033,0.202,0.272,0.196,0.205,0.009
P17426-2,Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 [AP2A1_MOUSE],36,37,46.1,0.167,0.000,0.010,0.002,0.058,0.178,0.139,0.095,0.348,0.003
P52431,DNA polymerase delta catalytic subunit OS=Mus musculus GN=Pold1 PE=1 SV=2 [DPOD1_MOUSE],36,37,39.7,0.470,0.000,0.030,0.000,0.016,0.042,0.057,0.101,0.276,0.006
P56960,Exosome component 10 OS=Mus musculus GN=Exosc10 PE=1 SV=2 [EXOSX_MOUSE],36,37,52.0,0.171,0.000,0.011,0.000,0.008,0.028,0.057,0.120,0.595,0.010
Q9JIF7,Coatomer subunit beta OS=Mus musculus GN=Copb1 PE=1 SV=1 [COPB_MOUSE],36,37,45.2,0.391,0.000,0.025,0.000,0.012,0.111,0.119,0.170,0.167,0.005
P63038,"60 kDa heat shock protein, mitochondrial OS=Mus musculus GN=Hspd1 PE=1 SV=1 [CH60_MOUSE]",35,91,48.5,0.004,0.000,0.000,0.004,0.067,0.167,0.423,0.205,0.124,0.006
Q91YQ5,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=1 SV=1 [RPN1_MOUSE],35,59,58.9,0.004,0.000,0.000,0.006,0.060,0.326,0.335,0.171,0.092,0.006
Q8VEK3,Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus GN=Hnrnpu PE=1 SV=1 [HNRPU_MOUSE],35,54,44.8,0.314,0.000,0.021,0.000,0.014,0.034,0.054,0.067,0.490,0.008
Q62351,Transferrin receptor protein 1 OS=Mus musculus GN=Tfrc PE=1 SV=1 [TFR1_MOUSE],35,52,45.7,0.013,0.000,0.005,0.009,0.107,0.377,0.283,0.130,0.072,0.004
Q8CI11,Guanine nucleotide-binding protein-like 3 OS=Mus musculus GN=Gnl3 PE=1 SV=2 [GNL3_MOUSE],35,44,63.2,0.243,0.000,0.016,0.000,0.007,0.025,0.043,0.050,0.612,0.004
P25206,DNA replication licensing factor MCM3 OS=Mus musculus GN=Mcm3 PE=1 SV=2 [MCM3_MOUSE],35,43,58.6,0.455,0.001,0.029,0.000,0.013,0.033,0.053,0.126,0.283,0.009
Q9DBR7,Protein phosphatase 1 regulatory subunit 12A OS=Mus musculus GN=Ppp1r12a PE=1 SV=2 [MYPT1_MOUSE],35,41,39.8,0.173,0.003,0.015,0.004,0.048,0.116,0.134,0.274,0.216,0.017
Q5SUR0,Phosphoribosylformylglycinamidine synthase OS=Mus musculus GN=Pfas PE=2 SV=1 [PUR4_MOUSE],35,39,43.1,0.860,0.002,0.053,0.000,0.018,0.023,0.018,0.012,0.016,0.000
Q9DBY8,Nuclear valosin-containing protein-like OS=Mus musculus GN=Nvl PE=1 SV=1 [NVL_MOUSE],35,39,55.2,0.234,0.000,0.016,0.000,0.019,0.045,0.071,0.122,0.483,0.011
Q61881,DNA replication licensing factor MCM7 OS=Mus musculus GN=Mcm7 PE=1 SV=1 [MCM7_MOUSE],35,38,61.6,0.658,0.000,0.041,0.000,0.005,0.025,0.035,0.078,0.154,0.003
Q9JHR7,Insulin-degrading enzyme OS=Mus musculus GN=Ide PE=1 SV=1 [IDE_MOUSE],35,38,35.4,0.650,0.000,0.040,0.000,0.018,0.062,0.097,0.078,0.053,0.002
P49717,DNA replication licensing factor MCM4 OS=Mus musculus GN=Mcm4 PE=1 SV=1 [MCM4_MOUSE],35,37,50.7,0.579,0.000,0.035,0.000,0.008,0.030,0.049,0.114,0.179,0.006
Q99NH0,Ankyrin repeat domain-containing protein 17 OS=Mus musculus GN=Ankrd17 PE=1 SV=2 [ANR17_MOUSE],35,37,19.2,0.278,0.000,0.016,0.000,0.022,0.050,0.067,0.070,0.493,0.005
Q9Z315,U4/U6.U5 tri-snRNP-associated protein 1 OS=Mus musculus GN=Sart1 PE=2 SV=1 [SNUT1_MOUSE],35,37,48.4,0.203,0.000,0.014,0.000,0.018,0.034,0.048,0.056,0.596,0.031
P70227,"Inositol 1,4,5-trisphosphate receptor type 3 OS=Mus musculus GN=Itpr3 PE=1 SV=3 [ITPR3_MOUSE]",35,36,17.8,0.018,0.000,0.000,0.006,0.081,0.347,0.289,0.152,0.102,0.006
Q60875-5,Isoform 5 of Rho guanine nucleotide exchange factor 2 OS=Mus musculus GN=Arhgef2 [ARHG2_MOUSE],35,36,49.9,0.202,0.000,0.012,0.000,0.029,0.077,0.093,0.149,0.430,0.009
Q4VA53,Sister chromatid cohesion protein PDS5 homolog B OS=Mus musculus GN=Pds5b PE=1 SV=1 [PDS5B_MOUSE],35,35,27.0,0.082,0.000,0.005,0.000,0.009,0.062,0.115,0.337,0.374,0.017
Q69ZK6,Probable JmjC domain-containing histone demethylation protein 2C OS=Mus musculus GN=Jmjd1c PE=1 SV=3 [JHD2C_MOUSE],35,35,21.1,0.225,0.000,0.016,0.000,0.016,0.046,0.068,0.119,0.499,0.011
P35564,Calnexin OS=Mus musculus GN=Canx PE=1 SV=1 [CALX_MOUSE],34,66,47.4,0.003,0.000,0.002,0.007,0.073,0.311,0.334,0.173,0.091,0.006
Q60864,Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1 [STIP1_MOUSE],34,45,55.4,0.829,0.002,0.054,0.000,0.011,0.033,0.023,0.024,0.025,0.000
Q8BMK4,Cytoskeleton-associated protein 4 OS=Mus musculus GN=Ckap4 PE=1 SV=2 [CKAP4_MOUSE],34,44,61.6,0.003,0.000,0.002,0.008,0.084,0.342,0.292,0.167,0.095,0.007
P97310,DNA replication licensing factor MCM2 OS=Mus musculus GN=Mcm2 PE=1 SV=3 [MCM2_MOUSE],34,41,55.0,0.708,0.001,0.042,0.000,0.009,0.021,0.028,0.061,0.127,0.003
Q8VDM4,26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus GN=Psmd2 PE=1 SV=1 [PSMD2_MOUSE],34,40,55.6,0.768,0.001,0.052,0.000,0.006,0.027,0.023,0.032,0.093,0.000
Q3U7R1,Extended synaptotagmin-1 OS=Mus musculus GN=Esyt1 PE=1 SV=2 [ESYT1_MOUSE],34,39,36.2,0.015,0.002,0.008,0.009,0.161,0.331,0.244,0.138,0.088,0.005
Q6ZQH8,Nucleoporin NUP188 homolog OS=Mus musculus GN=Nup188 PE=1 SV=2 [NU188_MOUSE],34,39,26.4,0.038,0.000,0.001,0.000,0.025,0.106,0.163,0.154,0.505,0.008
Q91VR5,ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1 [DDX1_MOUSE],34,39,52.3,0.258,0.000,0.016,0.000,0.009,0.047,0.068,0.068,0.531,0.004
Q04692,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 OS=Mus musculus GN=Smarcad1 PE=1 SV=2 [SMRCD_MOUSE],34,38,44.3,0.256,0.000,0.016,0.000,0.009,0.057,0.108,0.283,0.258,0.012
P35601-2,Isoform 2 of Replication factor C subunit 1 OS=Mus musculus GN=Rfc1 [RFC1_MOUSE],34,37,43.7,0.159,0.000,0.006,0.000,0.023,0.074,0.128,0.359,0.230,0.019
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial OS=Mus musculus GN=Hadha PE=1 SV=1 [ECHA_MOUSE]",34,37,57.8,0.006,0.000,0.001,0.002,0.067,0.164,0.417,0.205,0.130,0.008
P58281-2,"Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial OS=Mus musculus GN=Opa1 [OPA1_MOUSE]",34,36,46.0,0.005,0.000,0.000,0.002,0.037,0.170,0.433,0.208,0.138,0.008
Q03145,Ephrin type-A receptor 2 OS=Mus musculus GN=Epha2 PE=1 SV=3 [EPHA2_MOUSE],34,36,45.4,0.030,0.008,0.008,0.011,0.157,0.379,0.225,0.117,0.062,0.004
P40201,Chromodomain-helicase-DNA-binding protein 1 OS=Mus musculus GN=Chd1 PE=1 SV=3 [CHD1_MOUSE],34,35,24.1,0.174,0.000,0.010,0.000,0.034,0.072,0.122,0.311,0.260,0.018
P60330,Separin OS=Mus musculus GN=Espl1 PE=1 SV=1 [ESPL1_MOUSE],34,35,22.9,0.138,0.000,0.007,0.000,0.018,0.088,0.154,0.325,0.261,0.010
P80318,T-complex protein 1 subunit gamma OS=Mus musculus GN=Cct3 PE=1 SV=1 [TCPG_MOUSE],33,52,60.6,0.405,0.001,0.028,0.000,0.030,0.051,0.060,0.100,0.318,0.006
P80313,T-complex protein 1 subunit eta OS=Mus musculus GN=Cct7 PE=1 SV=1 [TCPH_MOUSE],33,50,66.4,0.419,0.000,0.028,0.000,0.028,0.045,0.057,0.102,0.316,0.004
Q80WJ7,Protein LYRIC OS=Mus musculus GN=Mtdh PE=1 SV=1 [LYRIC_MOUSE],33,49,63.4,0.006,0.003,0.003,0.008,0.078,0.326,0.307,0.160,0.100,0.009
O88477,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Mus musculus GN=Igf2bp1 PE=1 SV=1 [IF2B1_MOUSE],33,43,56.7,0.251,0.000,0.017,0.001,0.032,0.058,0.074,0.167,0.389,0.010
