Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Lphn2,A0A0G2JFV3,A0A0G2JFV3;A0A0G2JG66;A0A0G2JDF4;A0A0G2JFF5;A0A0G2JDK6;A0A0G2JGM8;A0A0G2JDE3;Q8JZZ7;Q8JZZ7-2;A0A0G2JEQ8;A0A0G2JH16,Latrophilin-2,,Plasma membrane,0.85,Medium,Mostly Organellar,"2,056","2,468","1,720",31.6%,8.0,8.7,6.7,6.0,3%,97%,0%,203,151.05
Tmsb10,Q6ZWY8,Q6ZWY8;A6H6H4;A0A0N4SVF0,Thymosin beta-10,,Plasma membrane,0.85,Medium,,"7,334,564","7,923,900","7,154,460",99.7%,28104.2,30693.4,25807.0,712.4,,,,116,5.0256
Cd200,Q80VX2,Q80VX2;O54901;E9QMY1;E9PZI9;Q05D16,OX-2 membrane glycoprotein,,Plasma membrane,0.84,Medium,Mostly Organellar,"14,294","16,209","13,173",58.9%,53.7,61.3,50.6,8.6,6%,93%,2%,96,31.27
Slc30a1,Q60738,Q60738;Q3UM63,Zinc transporter 1,Plasma membrane,Plasma membrane,0.83,Medium,Mostly Organellar,"2,008","2,411","1,568",31.3%,7.4,8.9,6.4,2.1,10%,90%,0%,85,54.716
Cdh13,Q9WTR5,Q9WTR5,Cadherin-13,,Plasma membrane,0.83,Medium,Mostly Organellar,"14,878","20,475","12,294",59.4%,59.2,71.4,45.6,22.5,4%,92%,5%,340,78.185
Itga6,Q61739,Q61739,Integrin alpha-6;Integrin alpha-6 heavy chain;Integrin alpha-6 light chain,Plasma membrane,Plasma membrane,0.82,Medium,,"13,488","16,837","12,095",58.0%,52.5,58.7,47.0,31.8,,,,596,122.16
Ptgfrn,Q9WV91,Q9WV91,Prostaglandin F2 receptor negative regulator,,Plasma membrane,0.81,Medium,Mostly Organellar,"7,487","9,481","6,309",49.2%,29.2,33.1,24.4,14.3,4%,94%,3%,263,98.72
Dlg5,E9Q9I2,E9Q9I2;E9Q9R9;F6YZU5,,,Plasma membrane,0.80,Medium,Mostly Organellar,788,871,588,20.3%,3.0,3.0,2.4,3.2,5%,95%,0%,138,212.09
Cxadr,P97792,P97792;P97792-2,Coxsackievirus and adenovirus receptor homolog,Plasma membrane,Plasma membrane,0.79,Medium,Mostly Organellar,"159,162","188,753","145,340",87.6%,632.3,661.2,539.2,122.9,11%,84%,6%,685,39.947
Tspan14,Q8QZY6,Q8QZY6,Tetraspanin-14,,Plasma membrane,0.78,Medium,,"4,106","6,750","3,020",40.4%,15.8,25.0,11.2,2.4,,,,67,30.673
Panx1,Q9JIP4,Q9JIP4,Pannexin-1,,Plasma membrane,0.78,Medium,,"14,005","16,874","9,608",58.6%,53.1,58.8,39.3,13.0,,,,147,48.167
Ctnnd2,E9QKH8,E9QKH8;O35927;O35927-2,Catenin delta-2,,Plasma membrane,0.78,Medium,Mostly Organellar,"13,366","15,414","12,117",57.8%,51.3,53.8,48.4,34.9,6%,82%,12%,582,134.94
Plekho1,Q9JIY0,Q9JIY0;F6XQM2,Pleckstrin homology domain-containing family O member 1,,Plasma membrane,0.77,Medium,Mostly Organellar,"5,980","8,116","4,517",45.8%,22.5,30.5,17.5,5.3,2%,96%,3%,114,45.996
Snap23,O09044,O09044;A2AKH4;Q9D3L3;B0R030;B0R029;E9Q8A1,Synaptosomal-associated protein 23;Synaptosomal-associated protein,Plasma membrane,Plasma membrane,0.77,Medium,Mostly Organellar,"20,126","23,220","14,533",64.1%,76.3,81.0,59.5,9.0,6%,93%,1%,199,23.261
Nlgn3,Q8BYM5,Q8BYM5;A2AGI3;A2AGI2;A2AGI0,Neuroligin-3,,Plasma membrane,0.76,Medium,Mostly Organellar,"3,761","5,806","2,440",39.2%,13.8,21.5,10.0,6.6,15%,83%,2%,133,91.161
Vangl2,Q91ZD4,Q91ZD4;D3YY75,Vang-like protein 2,,Plasma membrane,0.76,Medium,Mostly Organellar,"34,935","38,236","25,172",72.0%,132.1,134.1,103.0,40.4,13%,85%,1%,345,59.77
Atp11c,Q9QZW0,Q9QZW0;Q9QZW0-2;E9QKK8;F6Q8D3,Phospholipid-transporting ATPase 11C;Phospholipid-transporting ATPase,,Plasma membrane,0.76,Medium,Mostly Organellar,"2,558","3,777","2,441",34.1%,10.2,13.2,9.1,6.4,1%,98%,1%,203,129.24
Gna13,P27601,P27601,Guanine nucleotide-binding protein subunit alpha-13,,Plasma membrane,0.74,Medium,Mostly Organellar,"25,793","28,812","18,283",67.9%,92.8,111.6,74.8,22.0,5%,93%,2%,314,44.054
Atp1b1,P14094,P14094;Q545P0;A0A0A6YX05,Sodium/potassium-transporting ATPase subunit beta-1,Plasma membrane,Plasma membrane,0.74,Medium,,"26,869","29,980","15,134",68.5%,96.6,116.1,61.9,18.3,,,,160,35.194
Gpd1l,Q3ULJ0,Q3ULJ0;Q3ULJ0-2,Glycerol-3-phosphate dehydrogenase 1-like protein,,Plasma membrane,0.73,Medium,Organellar with Cytosolic pool,"49,392","52,994","44,599",76.2%,184.0,202.2,172.8,36.5,2%,9%,89%,124,38.225
Ctnna1,P26231,P26231;Q545R0,Catenin alpha-1,,Plasma membrane,0.73,Medium,,"123,597","140,793","103,432",85.4%,454.3,522.4,423.4,239.1,,,,1134,100.11
Podxl2,Q8CAE9,Q8CAE9;G3X9D3;D3YW47;Q8CAE9-3,Podocalyxin-like protein 2,,Plasma membrane,0.73,Medium,Mostly Organellar,"3,925","5,219","2,463",39.8%,14.5,21.1,9.1,4.9,0%,95%,5%,90,64.972
,P10404,P10404,MLV-related proviral Env polyprotein;Surface protein;Transmembrane protein,,Plasma membrane,0.72,Medium,,"3,178","7,151","1,863",37.0%,11.7,26.5,7.6,4.3,,,,106,69.612
Prrt2,E9PUL5,E9PUL5,Proline-rich transmembrane protein 2,,Plasma membrane,0.71,Medium,Mostly Organellar,"1,880","3,583","1,173",30.3%,7.5,12.5,4.4,1.3,0%,100%,0%,74,35.923
Specc1,A0A0J9YUR2,A0A0J9YUR2;A0A0J9YTU3;Q5SXY1-3;Q5SXY1;A0A0J9YV86;A0A0J9YUF8;Q5SXY1-2,Cytospin-B,,Plasma membrane,0.71,Medium,Mostly Organellar,"5,129","8,446","3,135",43.7%,18.9,31.3,12.8,10.8,11%,84%,6%,293,108.84
Myo1b,P46735,P46735;Q7TQD7;E9QNH6;E9Q580;P46735-2,Unconventional myosin-Ib,,Plasma membrane,0.71,Medium,,"86,865","104,776","76,633",82.3%,329.3,365.4,313.7,215.8,,,,1106,128.56
Pde10a,Q8CA95,Q8CA95-3;Q8CA95;Q8CA95-2;F8WHK3;Q8CA95-4;D3YZR4,"cAMP and cAMP-inhibited cGMP 3,5-cyclic phosphodiesterase 10A",,Plasma membrane,0.71,Medium,,"2,626","4,695","1,697",34.4%,10.5,16.4,6.3,4.6,,,,111,90.338
Gna11,P21278,P21278;Q3UPA1,Guanine nucleotide-binding protein subunit alpha-11,,Plasma membrane,0.70,Medium,Mostly Organellar,"45,292","62,798","42,121",75.1%,180.3,219.0,156.3,36.8,7%,86%,7%,234,42.024
Atp2b2,F8WHB1,F8WHB1;Q9R0K7;Q3UHH0;Q3UHJ3;S4R1C4,Calcium-transporting ATPase;Plasma membrane calcium-transporting ATPase 2,,Plasma membrane,0.70,Medium,,"6,658","9,316","4,292",47.4%,24.5,34.6,17.6,17.6,,,,350,136.78
Fchsd2,Q3USJ8,Q3USJ8,F-BAR and double SH3 domains protein 2,,Plasma membrane,0.69,Medium,Organellar with Cytosolic pool,"8,116","10,680","6,256",50.5%,29.2,41.4,25.6,13.2,1%,36%,63%,184,84.281
Rras2,P62071,P62071,Ras-related protein R-Ras2,,Plasma membrane,0.69,Medium,Mostly Organellar,"19,481","29,075","18,927",63.7%,77.6,101.4,70.2,8.8,11%,84%,5%,159,23.399
Rab35,Q6PHN9,Q6PHN9;Q3U0T9,Ras-related protein Rab-35,,Plasma membrane,0.69,Medium,,"128,952","134,453","96,737",85.7%,463.8,520.8,396.0,57.4,,,,257,23.025
Mfge8,P21956,P21956-2;P21956,Lactadherin,,Plasma membrane,0.68,Medium,,"3,509","3,890","2,594",38.3%,12.9,14.4,10.6,3.2,,,,87,47.169
Palm,Q9Z0P4,Q9Z0P4-2,Paralemmin-1,Plasma membrane,Plasma membrane,0.68,Medium,,"145,719","155,479","135,564",86.8%,548.5,589.7,517.5,103.4,,,,608,36.721
Stxbp3,Q60770,Q60770;Q60770-2,Syntaxin-binding protein 3,Plasma membrane,Plasma membrane,0.67,Medium,Mostly Organellar,"1,348","1,555",912,26.2%,5.3,5.5,3.4,1.8,0%,100%,0%,69,67.942
Cltc,Q68FD5,Q68FD5;Q5SXR6,Clathrin heavy chain 1;Clathrin heavy chain,Large Protein Complex,Plasma membrane,0.67,Medium,Organellar with Cytosolic pool,"584,545","646,548","576,612",95.0%,2244.1,2412.8,2150.7,2164.0,5%,14%,81%,2609,191.55
Cdh2,P15116,P15116;D3YYT0,Cadherin-2,,Plasma membrane,0.67,Medium,,"72,260","78,902","55,313",80.3%,266.3,291.2,226.4,139.4,,,,708,99.795
Gnaq,P21279,P21279;Q3UHH5,Guanine nucleotide-binding protein G(q) subunit alpha,,Plasma membrane,0.67,Medium,Mostly Organellar,"148,616","197,804","139,484",87.0%,591.8,689.8,517.5,121.1,8%,84%,8%,523,42.158
Ptprg,F8VQD7,F8VQD7;Q05909;E9Q6E7,Protein-tyrosine-phosphatase;Receptor-type tyrosine-protein phosphatase gamma,,Plasma membrane,0.67,Medium,Mostly Organellar,"1,105","1,384",796,24.1%,4.2,4.8,3.3,3.4,11%,88%,1%,124,161.29
Epb41,P48193,P48193;A2A841;P48193-2;A2A842;A2AD32,Protein 4.1,,Plasma membrane,0.66,Medium,,"93,813","133,654","76,502",82.9%,355.6,466.1,313.1,173.9,,,,979,95.91
Tmem55a,Q9CZX7,Q9CZX7,"Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",,Plasma membrane,0.65,Medium,Mostly Organellar,"4,455","5,507","3,525",41.5%,17.4,21.3,12.3,2.4,0%,100%,0%,81,28.038
Mcam,Q8R2Y2,Q8R2Y2;Q8R2Y2-2,Cell surface glycoprotein MUC18,Plasma membrane,Plasma membrane,0.64,Medium,,"17,052","21,435","16,028",61.7%,66.5,74.8,62.1,23.6,,,,338,71.545
Ttc7b,E9Q6P5,E9Q6P5,,,Plasma membrane,0.64,Medium,Mostly Organellar,793,913,709,20.5%,3.0,3.5,2.6,1.4,4%,94%,2%,75,94.202
Mpp2,Q9WV34,Q9WV34;Q9WV34-2,MAGUK p55 subfamily member 2,,Plasma membrane,0.63,Medium,,"4,463","7,075","2,370",41.5%,16.9,24.7,9.7,5.3,,,,115,61.554
Itgav,P43406,P43406;A2AKI5,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,Plasma membrane,Plasma membrane,0.63,Medium,Mostly Organellar,"3,006","3,917","2,449",36.2%,11.7,13.7,9.5,6.7,14%,86%,0%,218,115.36
,Q9WV92,Q9WV92-3,,,Plasma membrane,0.62,Medium,Organellar with Cytosolic pool,"74,130","77,964","54,796",80.7%,269.0,296.7,224.3,146.1,5%,64%,31%,1139,101.99
Itga5,P11688,P11688,Integrin alpha-5;Integrin alpha-5 heavy chain;Integrin alpha-5 light chain,,Plasma membrane,0.62,Medium,Mostly Organellar,"1,006","1,307",860,23.2%,3.8,4.6,3.5,2.2,8%,92%,0%,84,115.04
Kctd12,A0A0R4J2B2,A0A0R4J2B2;Q6WVG3,BTB/POZ domain-containing protein KCTD12,,Plasma membrane,0.62,Medium,Organellar with Cytosolic pool,"34,948","56,248","19,219",72.0%,139.2,196.2,71.3,24.2,3%,19%,79%,154,35.888
Lrrc8d,Q8BGR2,Q8BGR2,Volume-regulated anion channel subunit LRRC8D,,Plasma membrane,0.61,Medium,Mostly Organellar,"1,770","2,290","1,653",29.6%,7.0,8.0,6.3,3.4,10%,90%,0%,148,98.112
Bai3,Q80ZF8,Q80ZF8;Q68FL1;Q8BJ13,Brain-specific angiogenesis inhibitor 3,,Plasma membrane,0.60,Medium,Mostly Organellar,424,723,278,14.6%,1.7,2.5,1.0,1.4,0%,88%,12%,76,171.31
Pam,P97467,P97467;F8VQA4;E9Q704,Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase,,Plasma membrane,0.60,Medium,Mostly Organellar,"1,546","1,920",986,28.0%,5.7,7.1,4.0,3.3,8%,92%,0%,124,108.96
Slc30a10,Q3UVU3,Q3UVU3;Q3UVU3-2,Zinc transporter 10,,Plasma membrane,0.60,Medium,Mostly Organellar,"1,846","2,036","1,311",30.0%,7.0,7.6,5.1,1.8,4%,94%,1%,71,50.91
Sema4d,O09126,O09126,Semaphorin-4D,,Plasma membrane,0.60,Medium,Mostly Organellar,801,"1,314",601,20.6%,3.0,5.1,2.2,1.5,10%,87%,3%,72,95.639
Akr1b1,P45376,P45376;Q3UDY1,Aldose reductase,,Plasma membrane,0.59,Medium,Mostly Cytosolic,"778,725","856,403","625,365",96.0%,2909.6,3074.4,2559.8,537.8,1%,2%,97%,286,35.732
Prkce,P16054,P16054,Protein kinase C epsilon type,,Plasma membrane,0.59,Medium,Organellar with Cytosolic pool,"13,395","18,394","8,894",57.9%,52.9,65.2,33.0,21.6,0%,10%,90%,159,83.56
Ctnna2,E0CXB9,E0CXB9;Q61301-3,Catenin alpha-2,,Plasma membrane,0.58,Medium,,"113,427","160,742","102,265",84.5%,451.7,560.6,379.4,234.0,,,,1264,106.73
Gprin1,Q3UNH4,Q3UNH4,G protein-regulated inducer of neurite outgrowth 1,Plasma membrane,Plasma membrane,0.58,Medium,Mostly Organellar,"36,295","44,551","28,683",72.5%,143.1,158.4,106.4,67.0,3%,81%,16%,831,95.495
Alpl,P09242,P09242;E9Q7P8,"Alkaline phosphatase, tissue-nonspecific isozyme;Alkaline phosphatase",,Plasma membrane,0.56,Medium,Mostly Organellar,"2,968","4,488","2,457",36.0%,11.3,15.7,10.1,3.3,4%,93%,3%,107,57.514
Ddah2,Q99LD8,Q99LD8;O08972;G3UZR0,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",,Plasma membrane,0.56,Medium,Mostly Cytosolic,"1,131,893","1,257,210","994,252",97.1%,4206.1,5034.2,3688.8,648.5,3%,6%,92%,380,29.645
Gpm6a,P35802,P35802;Q542P2,Neuronal membrane glycoprotein M6-a,,Plasma membrane,0.54,Medium,,"195,111","220,754","146,145",89.3%,730.7,788.7,598.2,117.5,,,,235,31.149
Psen1,P49769,P49769,Presenilin-1;Presenilin-1 NTF subunit;Presenilin-1 CTF subunit;Presenilin-1 CTF12,,Plasma membrane,0.54,Medium,Mostly Organellar,"3,887","4,838","3,355",39.7%,15.0,17.1,13.0,4.0,0%,100%,0%,126,52.639
Cdc42bpa,Q3UU96,Q3UU96;D3YYN8;E9PVY0;H7BX44;Q3UU96-2;F6Q5A5,Serine/threonine-protein kinase MRCK alpha;Non-specific serine/threonine protein kinase,,Plasma membrane,0.54,Medium,Organellar with Cytosolic pool,"1,598","3,649",815,28.3%,5.7,14.1,3.3,6.0,2%,68%,30%,203,195.53
Slc39a10,Q6P5F6,Q6P5F6,Zinc transporter ZIP10,,Plasma membrane,0.53,Medium,Organellar with Cytosolic pool,"10,617","16,827","7,168",54.3%,41.4,58.7,27.8,19.4,3%,61%,35%,207,94.393
Rspry1,Q8BVR6,Q8BVR6;Q8BVR6-3,RING finger and SPRY domain-containing protein 1,,Plasma membrane,0.52,Medium,Mostly Organellar,"1,722","1,855","1,449",29.2%,6.5,7.6,5.1,2.1,3%,95%,2%,66,64.322
Ncstn,P57716,P57716,Nicastrin,,Plasma membrane,0.51,Medium,,"12,470","13,566","11,469",56.7%,47.7,49.1,44.4,18.9,,,,235,78.491
Epb41l2,O70318,O70318,Band 4.1-like protein 2,,Plasma membrane,0.50,Low,,"41,780","54,954","34,099",74.2%,153.6,203.9,139.6,88.8,,,,971,109.94
Ctnnd1,P30999,P30999;G3X9V2;E9Q8Z8;E9Q8Z6;D3Z2H2;E9Q8Z4;E9Q8Z9;E9Q904;E9Q901;D3Z7H6;E9Q905;E9Q986;E9Q907;D3Z2H7,Catenin delta-1,,Plasma membrane,0.49,Low,,"104,019","111,905","84,184",83.7%,391.7,395.5,344.6,210.9,,,,1252,104.92
Esyt2,Q3TZZ7,Q3TZZ7,Extended synaptotagmin-2,,Plasma membrane,0.49,Low,,"2,156","4,931","1,437",32.1%,7.9,18.3,5.9,3.9,,,,109,94.138
Vps29,Q9QZ88,Q9QZ88;D3Z645;Q9QZ88-2,Vacuolar protein sorting-associated protein 29,Endosome,Plasma membrane,0.49,Low,Organellar with Cytosolic pool,"330,498","414,656","230,381",92.4%,1230.3,1499.7,943.0,130.9,3%,18%,79%,240,20.495
Grik2,P39087,P39087;D3Z797;P39087-2,"Glutamate receptor ionotropic, kainate 2",,Plasma membrane,0.48,Low,Mostly Organellar,790,997,470,20.4%,2.9,3.7,1.9,1.6,18%,82%,0%,73,102.49
Bmpr2,O35607,O35607,Bone morphogenetic protein receptor type-2,,Plasma membrane,0.47,Low,Mostly Organellar,"1,619","1,779","1,296",28.5%,5.9,6.6,5.3,3.6,1%,99%,0%,138,115.02
Nos1,Q9Z0J4,Q9Z0J4;Q9Z0J4-5;S4R255;F8WGF2;Q9Z0J4-2;Q9Z0J4-3;Q9Z0J4-4,"Nitric oxide synthase, brain;Nitric oxide synthase",,Plasma membrane,0.47,Low,Organellar with Cytosolic pool,"4,758","6,225","1,656",42.5%,18.9,21.7,6.1,14.8,4%,41%,54%,250,160.47
Flrt3,Q8BGT1,Q8BGT1,,,Plasma membrane,0.46,Low,Mostly Organellar,"2,667","3,533","2,444",34.6%,10.6,12.3,9.1,3.8,1%,97%,1%,167,72.878
Epb41l5,Q8BGS1,Q8BGS1;Q8BGS1-3;Q8BGS1-2,Band 4.1-like protein 5,,Plasma membrane,0.46,Low,Mostly Organellar,"8,453","9,833","5,155",51.2%,31.1,36.5,21.1,13.3,3%,92%,5%,316,81.635
Chl1,P70232,P70232-2,Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein,,Plasma membrane,0.45,Low,,"12,835","14,172","9,181",57.2%,48.3,55.4,34.1,32.0,,,,527,129
Ubtd2,Q6PGH0,Q6PGH0,Ubiquitin domain-containing protein 2,,Plasma membrane,0.45,Low,Mostly Organellar,"7,100","11,166","5,346",48.5%,27.4,38.9,21.1,3.6,0%,85%,15%,122,26.144
Atp2c1,Q80XR2,Q80XR2;Q3UZR5;H3BL44;H3BIX7;H3BLI6,Calcium-transporting ATPase type 2C member 1;Calcium-transporting ATPase,Golgi,Plasma membrane,0.45,Low,Mostly Organellar,"2,941","5,676","2,410",35.9%,11.7,19.8,8.9,5.7,2%,93%,5%,188,100.3
Stx1b,P61264,P61264,Syntaxin-1B,,Plasma membrane,0.44,Low,,"57,867","61,274","38,773",77.9%,218.6,237.3,143.9,37.2,,,,306,33.244
Hras,Q61411,Q61411;Q61411-2,"GTPase HRas;GTPase HRas, N-terminally processed",,Plasma membrane,0.44,Low,,"108,637","122,988","82,340",84.2%,403.6,446.5,337.0,44.7,,,,268,21.298
Rp2,Q9EPK2,Q9EPK2;Q9EPK2-3;Q9EPK2-2;Q9EPK2-4,Protein XRP2,,Plasma membrane,0.43,Low,,"12,443","34,506","7,633",56.6%,45.7,128.0,31.2,9.5,,,,125,39.376
Ncam1,A0A0A6YY91,A0A0A6YY91,,,Plasma membrane,0.41,Low,,"192,909","255,531","173,276",89.1%,768.1,891.1,642.9,433.5,,,,1728,116.26
Sstr2,P30875,P30875,Somatostatin receptor type 2,,Plasma membrane,0.41,Low,Mostly Organellar,"3,447","4,808","2,827",38.2%,13.4,18.6,9.9,2.7,1%,97%,2%,87,41.221
Kras,P32883,P32883-2;P32883,"GTPase KRas;GTPase KRas, N-terminally processed",,Plasma membrane,0.40,Low,Mostly Organellar,"75,085","95,868","66,332",80.8%,294.1,345.5,246.1,31.2,6%,82%,12%,181,21.482
Robo2,Q19AB2,Q19AB2;Q7TPD3;E9PYK2;Q7TPD3-2,Roundabout homolog 2,,Plasma membrane,0.40,Low,Mostly Organellar,"4,151","5,447","3,617",40.6%,16.5,19.0,13.4,13.3,3%,90%,8%,401,165.37
Apeh,Q8R146,Q8R146;A0A0R4J107;Q8R146-2,Acylamino-acid-releasing enzyme,,Plasma membrane,0.40,Low,Mostly Cytosolic,"78,597","86,309","70,634",81.3%,301.0,311.6,273.6,123.9,1%,3%,96%,233,81.58
Plxnb2,B2RXS4,B2RXS4,Plexin-B2,Plasma membrane,Plasma membrane,0.39,Low,Mostly Organellar,"28,261","37,698","24,397",69.2%,110.1,131.5,94.5,112.6,11%,84%,4%,1245,206.23
Eps15,P42567,P42567;H3BK65;F6W2Q5;Q5JC28,Epidermal growth factor receptor substrate 15,,Plasma membrane,0.37,Low,Organellar with Cytosolic pool,"8,275","9,102","5,720",50.8%,30.0,34.7,23.4,15.7,1%,27%,72%,225,98.47
Tenm4,Q3UHK6,Q3UHK6-4;Q3UHK6,Teneurin-4,,Plasma membrane,0.37,Low,Mostly Organellar,"5,030","5,657","4,053",43.4%,19.1,20.8,15.7,30.3,7%,92%,2%,814,311.19
Epb4.1l1,A2AUK5,A2AUK5;A2AUK8;Q9Z2H5;Q9Z2H5-2;A2AUK7;Q9Z2H5-3;A2AUK6,Band 4.1-like protein 1,,Plasma membrane,0.36,Low,Organellar with Cytosolic pool,"27,409","42,502","15,845",68.8%,109.1,148.2,58.8,52.1,1%,38%,62%,585,98.314
Fam171a2,A2A699,A2A699;A2A699-2,Protein FAM171A2,,Plasma membrane,0.36,Low,Mostly Organellar,"5,904","6,732","5,204",45.6%,22.5,25.6,19.3,10.0,6%,93%,0%,254,87.486
Frmd5,Q6P5H6,Q6P5H6;B0R0D4;A2AR56,FERM domain-containing protein 5,,Plasma membrane,0.36,Low,,"5,044","5,954","4,324",43.4%,19.2,21.7,16.9,5.7,,,,145,58.582
Epha4,Q03137,Q03137;Q03137-2,Ephrin type-A receptor 4,,Plasma membrane,0.36,Low,Organellar with Cytosolic pool,"10,466","12,628","9,315",54.1%,40.7,44.3,36.1,22.2,4%,74%,22%,359,109.81
Dip2c,B2RQ71,B2RQ71;E9PWR4;B7ZMZ7,,,Plasma membrane,0.36,Low,Organellar with Cytosolic pool,"3,331","3,945","2,530",37.7%,12.6,15.3,9.4,11.0,2%,60%,38%,251,170.92
Gng12,Q9DAS9,Q9DAS9;A0A0N4SVT3;A0A0N4SW28,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12,,Plasma membrane,0.35,Low,Mostly Organellar,"16,801","24,647","11,449",61.3%,66.9,86.0,42.5,2.6,10%,90%,0%,59,7.9972
Plxna4,Q80UG2,Q80UG2,Plexin-A4,,Plasma membrane,0.35,Low,Mostly Organellar,"15,708","18,335","13,249",60.3%,60.0,66.7,51.3,64.5,16%,81%,3%,804,212.56
Gnb2,P62880,P62880;Q3U9V4;E9QKR0;D3YZX3;D3Z1M1;E9PWM7;D3Z1T4,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,,Plasma membrane,0.35,Low,,"185,187","200,587","160,410",88.9%,699.7,744.2,621.4,133.6,,,,355,37.331
Nrp1,P97333,P97333,Neuropilin-1,,Plasma membrane,0.35,Low,Mostly Organellar,"5,423","6,679","4,288",44.5%,21.6,23.3,15.9,10.8,11%,81%,8%,255,103
Vps35,Q9EQH3,Q9EQH3;Q3TRJ1,Vacuolar protein sorting-associated protein 35,Endosome,Plasma membrane,0.35,Low,Organellar with Cytosolic pool,"162,183","177,095","144,647",87.8%,622.9,635.9,560.3,287.5,4%,20%,76%,637,91.712
Epha5,E9PUP9,E9PUP9;E9PUQ0;E9PUQ2;Q60629;Q6PFV6,Receptor protein-tyrosine kinase;Ephrin type-A receptor 5,,Plasma membrane,0.34,Low,Mostly Organellar,"21,752","26,384","19,707",65.6%,86.6,92.0,73.1,47.4,7%,89%,4%,611,112.81
Slc3a2,P10852,P10852;A0A0U1RP98,4F2 cell-surface antigen heavy chain,Plasma membrane,Plasma membrane,0.32,Low,,"131,195","182,949","113,908",85.9%,522.4,638.0,422.6,147.9,,,,511,58.336
Clta,B1AWE0,B1AWE0;Q6PFA2,,Large Protein Complex,Plasma membrane,0.32,Low,Organellar with Cytosolic pool,"450,079","591,523","420,764",93.9%,1754.0,2062.8,1629.8,204.2,4%,13%,83%,288,23.478
Frs2,Q8C180,Q8C180,Fibroblast growth factor receptor substrate 2,,Plasma membrane,0.31,Low,Mostly Organellar,"1,984","2,397","1,789",31.1%,7.7,8.4,7.0,2.2,0%,96%,4%,90,56.793
Gnai2,P08752,P08752;A0A0A6YWA9,Guanine nucleotide-binding protein G(i) subunit alpha-2,,Plasma membrane,0.31,Low,,"364,483","388,849","305,763",92.9%,1339.6,1442.7,1251.6,285.2,,,,1288,40.489
Cadm1,Q8R5M8,Q8R5M8;E9PYN1;Q8R5M8-4;Q8R5M8-3;Q8R5M8-2;Q8R5M8-7;Q8R5M8-6;E0CY16;Q8R5M8-5,Cell adhesion molecule 1,Plasma membrane,Plasma membrane,0.31,Low,Mostly Organellar,"12,994","15,711","12,050",57.3%,50.6,54.8,46.7,12.5,8%,88%,4%,196,49.788
Stx7,O70439,O70439;Q8BH40,Syntaxin-7,Endosome,Plasma membrane,0.30,Low,,"59,923","68,033","51,241",78.2%,225.5,240.8,209.7,34.5,,,,307,29.82
Mpdz,Q8VBX6,Q8VBX6;D3YUX2;Q8VBX6-4;Q8VBX6-3;Q8VBX6-2;A3KG81,Multiple PDZ domain protein,,Plasma membrane,0.29,Low,Organellar with Cytosolic pool,"3,405","3,925","2,454",38.0%,12.8,14.0,10.0,14.4,4%,43%,53%,276,218.71
Stard3,Q61542,Q61542;Q544C3,StAR-related lipid transfer protein 3,,Plasma membrane,0.29,Low,Mostly Organellar,"1,442","1,829",813,27.1%,5.2,7.1,3.3,1.4,0%,93%,7%,53,50.469
Pcnxl3,Q8VI59,Q8VI59;Q8VI59-2,Pecanex-like protein 3,,Plasma membrane,0.29,Low,Mostly Organellar,250,313,192,10.7%,0.9,1.1,0.8,1.1,0%,100%,0%,69,221.57
Efnb2,P52800,P52800;Q4FJM3,Ephrin-B2,,Plasma membrane,0.28,Low,Organellar with Cytosolic pool,"5,584","7,080","3,694",44.9%,21.8,24.7,14.3,4.0,1%,80%,20%,100,37.202
Ctnnb1,Q02248,Q02248;E9Q6A9,Catenin beta-1,,Plasma membrane,0.27,Low,,"188,452","241,007","169,997",89.0%,734.4,840.5,658.5,311.3,,,,1422,85.47
Glipr2,Q9CYL5,Q9CYL5;B1AWD6,Golgi-associated plant pathogenesis-related protein 1,,Plasma membrane,0.27,Low,Mostly Organellar,"4,794","5,613","3,297",42.6%,17.3,21.7,13.5,1.6,0%,100%,0%,64,17.09
Dcc,P70211,P70211-2;P70211;P70211-3,Netrin receptor DCC,,Plasma membrane,0.27,Low,Mostly Organellar,"5,817","8,045","4,369",45.4%,22.7,28.1,16.9,17.6,4%,87%,9%,433,156.13
Tln1,P26039,P26039,Talin-1,Actin binding proteins,Plasma membrane,0.24,Low,,"28,081","34,301","23,982",69.1%,107.6,123.8,92.9,146.4,,,,984,269.82
