ProteinGroupAc,Replicate1 TMT Set1-126,Replicate1 TMT Set2-126,Replicate2 TMT Set1-126,Replicate2 TMT Set2-126,Replicate1 TMT Set1-127C,Replicate1 TMT Set2-127C,Replicate2 TMT Set1-127C,Replicate2 TMT Set2-127C,Replicate1 TMT Set1-127N,Replicate1 TMT Set2-127N,Replicate2 TMT Set1-127N,Replicate2 TMT Set2-127N,Replicate1 TMT Set1-128C,Replicate1 TMT Set2-128C,Replicate2 TMT Set1-128C,Replicate2 TMT Set2-128C,Replicate1 TMT Set1-128N,Replicate1 TMT Set2-128N,Replicate2 TMT Set1-128N,Replicate2 TMT Set2-128N,Replicate1 TMT Set1-129C,Replicate1 TMT Set2-129C,Replicate2 TMT Set1-129C,Replicate2 TMT Set2-129C,Replicate1 TMT Set1-129N,Replicate1 TMT Set2-129N,Replicate2 TMT Set1-129N,Replicate2 TMT Set2-129N,Replicate1 TMT Set1-130C,Replicate1 TMT Set2-130C,Replicate2 TMT Set1-130C,Replicate2 TMT Set2-130C,Replicate1 TMT Set1-130N,Replicate1 TMT Set2-130N,Replicate2 TMT Set1-130N,Replicate2 TMT Set2-130N,Replicate1 TMT Set1-131,Replicate1 TMT Set2-131,Replicate2 TMT Set1-131,Replicate2 TMT Set2-131,Accession,Description,Coverage,Quantified Proteins,Quantified Unique Peptides,Quantified Peptides,Quantified PSMs,Score - Replicate1 TMT Set1,Coverage -  Replicate1 TMT Set1,Quantified Peptides -  Replicate1 TMT Set1,Quantified PSMs -  Replicate1 TMT Set1,Score - Replicate1 TMT Set2,Coverage -  Replicate1 TMT Set2,Quantified Peptides -  Replicate1 TMT Set2,Quantified PSMs -  Replicate1 TMT Set2,Score - Replicate2 TMT Set1,Coverage -  Replicate2 TMT Set1,Quantified Peptides -  Replicate2 TMT Set1,Quantified PSMs -  Replicate2 TMT Set1,Score - Replicate2 TMT Set2,Coverage -  Replicate2 TMT Set2,Quantified Peptides -  Replicate2 TMT Set2,Quantified PSMs -  Replicate2 TMT Set2,markers,SVM Classification,SVM Score,assignment
Q9Y2Q9,0.01,0.021,0.01,0.031,0.035,0.024,0.102,0.075,0.011,0.061,0.06,0.081,0.111,0.101,0.101,0.106,0.143,0.188,0.141,0.309,0.363,0.283,0.322,0.187,0.252,0.184,0.171,0.072,0.068,0.124,0.092,0.097,0.012,0.011,0.011,0.01,0.01,0.01,0.01,0.01,Q9Y2Q9,"28S ribosomal protein S28,  mitochondrial OS=Homo sapiens GN=MRPS28 PE=1 SV=1 - [RT28_HUMAN]",56.68,1,11,11,31,112.72,24.6,4,4,67.02,20.32,4,4,177.82,49.2,9,10,220.72,55.61,10,13,unknown,MITOCHONDRIA,0.9579606,MITOCHONDRIA
Q92552,0.01,0.021,0.01,0.014,0.035,0.026,0.063,0.058,0.01,0.062,0.029,0.078,0.094,0.091,0.074,0.096,0.113,0.159,0.123,0.316,0.227,0.277,0.326,0.193,0.198,0.184,0.191,0.078,0.127,0.141,0.132,0.127,0.028,0.011,0.018,0.01,0.064,0.01,0.012,0.01,Q92552,"28S ribosomal protein S27,  mitochondrial OS=Homo sapiens GN=MRPS27 PE=1 SV=3 - [RT27_HUMAN]",40.58,2,18,18,37,96.55,15.94,8,8,129.45,23.19,7,9,192.41,25.6,9,9,188.75,30.92,10,11,unknown,MITOCHONDRIA,0.878224212,unknown
Q9BYN8,0.013,0.035,0.01,0.036,0.065,0.041,0.099,0.074,0.026,0.075,0.055,0.088,0.147,0.103,0.092,0.11,0.159,0.179,0.148,0.3,0.385,0.257,0.297,0.192,0.126,0.174,0.167,0.068,0.067,0.12,0.066,0.099,0.01,0.014,0.016,0.01,0.01,0.011,0.01,0.01,Q9BYN8,"28S ribosomal protein S26,  mitochondrial OS=Homo sapiens GN=MRPS26 PE=1 SV=1 - [RT26_HUMAN]",51.71,1,14,14,41,124.41,31.71,6,6,105.05,19.51,6,6,213.55,40.98,10,11,421.74,43.9,11,18,unknown,MITOCHONDRIA,0.926854036,unknown
P82663,0.01,0.035,0.01,0.046,0.049,0.043,0.067,0.073,0.01,0.07,0.034,0.081,0.145,0.112,0.094,0.11,0.157,0.169,0.141,0.3,0.358,0.264,0.343,0.206,0.174,0.181,0.2,0.079,0.071,0.114,0.097,0.101,0.021,0.015,0.017,0.01,0.01,0.01,0.01,0.01,P82663,"28S ribosomal protein S25,  mitochondrial OS=Homo sapiens GN=MRPS25 PE=1 SV=1 - [RT25_HUMAN]",46.82,3,9,9,33,211.41,25.43,4,7,123.53,25.43,4,5,197.87,41.62,8,10,220.58,46.24,8,11,unknown,MITOCHONDRIA,0.927415465,unknown
Q9Y3D9,0.01,0.023,0.01,0.019,0.068,0.033,0.065,0.067,0.01,0.069,0.02,0.084,0.136,0.104,0.085,0.096,0.155,0.183,0.136,0.309,0.308,0.238,0.378,0.212,0.211,0.177,0.197,0.082,0.065,0.122,0.092,0.109,0.01,0.013,0.012,0.01,0.01,0.01,0.01,0.01,Q9Y3D9,"28S ribosomal protein S23,  mitochondrial OS=Homo sapiens GN=MRPS23 PE=1 SV=2 - [RT23_HUMAN]",60,1,14,14,38,217.19,31.58,7,9,182.52,36.84,8,8,170.23,57.37,10,11,213.74,45.26,8,10,unknown,MITOCHONDRIA,0.893989301,unknown
P82650,0.01,0.03,0.011,0.038,0.044,0.038,0.096,0.072,0.01,0.073,0.051,0.081,0.124,0.103,0.095,0.104,0.155,0.174,0.135,0.306,0.354,0.266,0.314,0.202,0.233,0.177,0.175,0.072,0.062,0.115,0.082,0.101,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,P82650,"28S ribosomal protein S22,  mitochondrial OS=Homo sapiens GN=MRPS22 PE=1 SV=1 - [RT22_HUMAN]",49.17,2,19,19,73,303.77,33.61,13,22,124.1,21.67,8,10,393.05,41.11,14,18,512.85,46.39,18,23,unknown,MITOCHONDRIA,0.970780279,MITOCHONDRIA
P82921,0.01,0.034,0.01,0.04,0.048,0.042,0.108,0.069,0.016,0.075,0.072,0.088,0.129,0.097,0.098,0.107,0.148,0.16,0.143,0.311,0.367,0.248,0.297,0.198,0.184,0.185,0.16,0.065,0.07,0.12,0.055,0.104,0.012,0.019,0.01,0.01,0.01,0.01,0.01,0.01,P82921,"28S ribosomal protein S21,  mitochondrial OS=Homo sapiens GN=MRPS21 PE=1 SV=2 - [RT21_HUMAN]",49.43,1,5,5,19,171.2,16.09,1,3,220.62,16.09,1,4,124.44,40.23,4,4,165.81,49.43,5,8,unknown,MITOCHONDRIA,0.967467152,MITOCHONDRIA
Q9Y399,0.01,0.027,0.01,0.04,0.042,0.037,0.06,0.071,0.01,0.077,0.029,0.083,0.12,0.105,0.079,0.105,0.147,0.179,0.133,0.286,0.351,0.267,0.341,0.2,0.251,0.175,0.181,0.073,0.062,0.117,0.077,0.102,0.015,0.014,0.016,0.01,0.01,0.01,0.01,0.01,Q9Y399,"28S ribosomal protein S2,  mitochondrial OS=Homo sapiens GN=MRPS2 PE=1 SV=1 - [RT02_HUMAN]",52.36,1,17,17,39,134.06,30.07,8,10,109.56,22.64,8,8,148.33,27.36,8,9,171.13,46.96,12,12,unknown,MITOCHONDRIA,0.947963667,MITOCHONDRIA
Q9Y676,0.01,0.022,0.01,0.07,0.043,0.031,0.08,0.082,0.017,0.059,0.038,0.08,0.113,0.103,0.094,0.109,0.146,0.188,0.13,0.275,0.358,0.273,0.353,0.186,0.227,0.178,0.195,0.072,0.062,0.129,0.09,0.108,0.017,0.01,0.01,0.01,0.011,0.01,0.01,0.01,Q9Y676,"28S ribosomal protein S18b,  mitochondrial OS=Homo sapiens GN=MRPS18B PE=1 SV=1 - [RT18B_HUMAN]",53.1,1,9,9,30,210.53,36.43,6,10,172.25,20.54,5,5,179.84,36.43,6,7,175.34,37.98,5,8,unknown,MITOCHONDRIA,0.933348147,unknown
Q9NVS2,0.01,0.027,0.01,0.03,0.053,0.034,0.099,0.071,0.01,0.064,0.044,0.087,0.125,0.09,0.101,0.111,0.145,0.164,0.144,0.325,0.381,0.23,0.342,0.191,0.168,0.156,0.176,0.073,0.07,0.172,0.08,0.113,0.026,0.039,0.01,0.01,0.011,0.019,0.01,0.01,Q9NVS2,"28S ribosomal protein S18a,  mitochondrial OS=Homo sapiens GN=MRPS18A PE=1 SV=1 - [RT18A_HUMAN]",44.39,3,10,10,21,46.61,18.37,5,5,44.86,13.78,4,4,80.43,36.22,6,6,79.89,29.08,6,6,unknown,MITOCHONDRIA,0.950097337,MITOCHONDRIA
Q9Y2R5,0.01,0.024,0.01,0.054,0.035,0.032,0.107,0.072,0.014,0.059,0.056,0.078,0.12,0.103,0.084,0.1,0.151,0.179,0.142,0.277,0.394,0.283,0.312,0.178,0.217,0.178,0.167,0.061,0.063,0.128,0.078,0.084,0.01,0.01,0.013,0.01,0.01,0.01,0.01,0.036,Q9Y2R5,"28S ribosomal protein S17,  mitochondrial OS=Homo sapiens GN=MRPS17 PE=1 SV=1 - [RT17_HUMAN]",56.15,1,6,6,14,77.71,15.38,2,2,68.47,15.38,2,2,137.04,55.38,5,5,134.46,53.85,5,5,unknown,MITOCHONDRIA,0.961035353,MITOCHONDRIA
Q9Y3D3,0.01,0.015,0.01,0.019,0.026,0.025,0.058,0.062,0.01,0.067,0.018,0.082,0.104,0.105,0.078,0.127,0.131,0.18,0.134,0.274,0.384,0.284,0.376,0.202,0.26,0.186,0.208,0.08,0.077,0.132,0.108,0.128,0.012,0.01,0.012,0.014,0.01,0.01,0.01,0.01,Q9Y3D3,"28S ribosomal protein S16,  mitochondrial OS=Homo sapiens GN=MRPS16 PE=1 SV=1 - [RT16_HUMAN]",29.93,2,4,4,9,70.17,24.82,3,3,39.22,5.84,1,1,63.76,18.25,2,2,75.16,24.82,3,3,unknown,MITOCHONDRIA,0.828636465,unknown
P82914,0.01,0.028,0.01,0.02,0.048,0.038,0.1,0.071,0.01,0.07,0.034,0.083,0.139,0.103,0.094,0.104,0.14,0.178,0.149,0.324,0.386,0.27,0.344,0.209,0.202,0.173,0.181,0.073,0.066,0.124,0.063,0.105,0.01,0.011,0.01,0.01,0.01,0.01,0.01,0.01,P82914,"28S ribosomal protein S15,  mitochondrial OS=Homo sapiens GN=MRPS15 PE=1 SV=1 - [RT15_HUMAN]",42.8,1,16,16,30,124.41,30.74,8,8,137.38,19.84,7,9,86.53,17.12,4,4,129.16,27.24,9,9,unknown,MITOCHONDRIA,0.945179256,MITOCHONDRIA
O60783,0.01,0.031,0.01,0.04,0.055,0.04,0.098,0.07,0.022,0.072,0.056,0.082,0.146,0.105,0.097,0.105,0.167,0.182,0.131,0.288,0.384,0.262,0.335,0.176,0.151,0.171,0.19,0.076,0.05,0.126,0.072,0.115,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,O60783,"28S ribosomal protein S14,  mitochondrial OS=Homo sapiens GN=MRPS14 PE=1 SV=1 - [RT14_HUMAN]",41.41,1,6,6,17,32.93,28.91,4,4,67.54,13.28,3,3,129.81,28.91,3,4,106.88,28.91,3,6,unknown,MITOCHONDRIA,0.934376954,unknown
O15235,0.01,0.03,0.01,0.017,0.026,0.041,0.078,0.055,0.01,0.06,0.043,0.076,0.091,0.107,0.098,0.092,0.092,0.158,0.147,0.325,0.414,0.212,0.324,0.216,0.209,0.184,0.182,0.082,0.103,0.148,0.087,0.117,0.025,0.034,0.015,0.01,0.028,0.026,0.015,0.01,O15235,"28S ribosomal protein S12,  mitochondrial OS=Homo sapiens GN=MRPS12 PE=1 SV=1 - [RT12_HUMAN]",37.68,1,4,4,8,38.54,6.52,1,1,26.3,6.52,1,1,78.09,23.91,2,3,65.17,31.16,3,3,unknown,MITOCHONDRIA,0.891458733,unknown
P82912,0.01,0.022,0.01,0.06,0.051,0.031,0.101,0.073,0.01,0.061,0.063,0.077,0.134,0.092,0.092,0.103,0.152,0.176,0.142,0.298,0.36,0.253,0.318,0.191,0.205,0.19,0.167,0.079,0.068,0.127,0.075,0.102,0.016,0.022,0.012,0.015,0.01,0.01,0.01,0.012,P82912-2,"Isoform 2 of 28S ribosomal protein S11,  mitochondrial OS=Homo sapiens GN=MRPS11 - [RT11_HUMAN]",44.04,3,8,8,25,262.88,36.27,6,6,127.17,23.32,4,4,241.33,36.27,6,7,318.78,44.04,7,8,unknown,MITOCHONDRIA,0.966813935,MITOCHONDRIA
P82664,0.01,0.03,0.01,0.046,0.048,0.049,0.114,0.065,0.01,0.097,0.061,0.077,0.129,0.1,0.097,0.099,0.166,0.17,0.146,0.314,0.355,0.25,0.318,0.191,0.223,0.167,0.17,0.075,0.055,0.101,0.07,0.097,0.011,0.01,0.015,0.01,0.01,0.027,0.01,0.01,P82664,"28S ribosomal protein S10,  mitochondrial OS=Homo sapiens GN=MRPS10 PE=1 SV=2 - [RT10_HUMAN]",29.35,1,5,5,10,0,5.97,1,1,0,3.48,1,1,113.09,14.93,2,4,35.96,29.35,4,4,unknown,MITOCHONDRIA,0.961885394,MITOCHONDRIA
Q9BYD2,0.01,0.026,0.01,0.012,0.031,0.035,0.073,0.056,0.01,0.068,0.018,0.082,0.126,0.101,0.095,0.113,0.145,0.182,0.141,0.316,0.381,0.267,0.352,0.202,0.22,0.181,0.201,0.084,0.072,0.128,0.081,0.122,0.012,0.011,0.01,0.01,0.01,0.01,0.01,0.01,Q9BYD2,"39S ribosomal protein L9,  mitochondrial OS=Homo sapiens GN=MRPL9 PE=1 SV=2 - [RM09_HUMAN]",38.2,1,11,11,28,166.44,23.6,7,8,123.94,28.46,7,7,111.05,25.09,6,6,145.01,23.6,5,7,unknown,MITOCHONDRIA,0.903912765,unknown
Q9BQC6,0.01,0.041,0.01,0.027,0.043,0.047,0.123,0.062,0.01,0.079,0.042,0.08,0.139,0.109,0.118,0.104,0.16,0.18,0.172,0.291,0.453,0.24,0.292,0.2,0.118,0.165,0.164,0.079,0.062,0.121,0.07,0.12,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.024,Q9BQC6,"Ribosomal protein 63,  mitochondrial OS=Homo sapiens GN=MRPL57 PE=1 SV=1 - [RT63_HUMAN]",20.59,1,3,3,9,53.43,20.59,3,3,33.78,13.73,2,2,0,20.59,2,2,42.99,19.61,2,2,unknown,MITOCHONDRIA,0.806831271,unknown
Q7Z7F7,0.01,0.029,0.013,0.062,0.048,0.037,0.108,0.079,0.018,0.07,0.073,0.08,0.162,0.095,0.098,0.106,0.167,0.181,0.132,0.274,0.439,0.264,0.31,0.186,0.09,0.189,0.179,0.076,0.065,0.126,0.076,0.097,0.01,0.01,0.011,0.01,0.01,0.01,0.017,0.017,Q7Z7F7,"39S ribosomal protein L55,  mitochondrial OS=Homo sapiens GN=MRPL55 PE=1 SV=1 - [RM55_HUMAN]",45.31,2,7,7,18,35.93,5.47,1,1,47.32,20.31,3,3,109.31,31.25,4,5,153.66,32.03,5,9,unknown,MITOCHONDRIA,0.743883543,unknown
Q96EL3,0.01,0.025,0.01,0.035,0.049,0.036,0.09,0.055,0.011,0.065,0.041,0.074,0.134,0.098,0.097,0.102,0.16,0.164,0.154,0.285,0.39,0.26,0.335,0.176,0.178,0.183,0.179,0.093,0.053,0.13,0.071,0.153,0.015,0.02,0.014,0.015,0.011,0.01,0.01,0.013,Q96EL3,"39S ribosomal protein L53,  mitochondrial OS=Homo sapiens GN=MRPL53 PE=1 SV=1 - [RM53_HUMAN]",56.25,1,5,5,16,91.15,24.11,2,2,105.99,56.25,5,5,155.17,49.11,4,5,113.71,40.18,3,4,unknown,MITOCHONDRIA,0.949123568,MITOCHONDRIA
Q8N5N7,0.01,0.025,0.01,0.035,0.025,0.033,0.085,0.073,0.01,0.068,0.039,0.082,0.098,0.099,0.088,0.105,0.135,0.176,0.142,0.31,0.358,0.264,0.341,0.199,0.265,0.18,0.181,0.073,0.071,0.127,0.083,0.101,0.013,0.01,0.011,0.01,0.01,0.01,0.01,0.01,Q8N5N7,"39S ribosomal protein L50,  mitochondrial OS=Homo sapiens GN=MRPL50 PE=1 SV=2 - [RM50_HUMAN]",70.25,2,9,9,27,162.57,34.81,4,5,194,41.77,5,8,194.2,59.49,6,7,210.56,62.03,7,7,unknown,MITOCHONDRIA,0.951436207,MITOCHONDRIA
Q13405,0.01,0.04,0.01,0.055,0.022,0.039,0.102,0.078,0.01,0.077,0.054,0.082,0.117,0.103,0.101,0.109,0.137,0.181,0.139,0.311,0.362,0.247,0.327,0.192,0.268,0.162,0.185,0.066,0.078,0.119,0.088,0.094,0.013,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Q13405,"39S ribosomal protein L49,  mitochondrial OS=Homo sapiens GN=MRPL49 PE=1 SV=1 - [RM49_HUMAN]",40.96,1,7,7,22,109.39,39.76,6,7,155.71,22.29,3,4,155.62,28.92,5,7,91.03,29.52,4,4,unknown,MITOCHONDRIA,0.952241853,MITOCHONDRIA
Q96GC5,0.01,0.038,0.01,0.055,0.058,0.046,0.1,0.079,0.01,0.075,0.067,0.084,0.15,0.104,0.098,0.108,0.163,0.152,0.145,0.306,0.394,0.225,0.321,0.196,0.139,0.172,0.169,0.062,0.069,0.103,0.066,0.093,0.013,0.015,0.017,0.01,0.01,0.028,0.01,0.01,Q96GC5-3,"Isoform 2 of 39S ribosomal protein L48,  mitochondrial OS=Homo sapiens GN=MRPL48 - [RM48_HUMAN]",27.84,2,5,5,20,113.58,18.56,3,4,68.64,18.56,3,4,109.05,22.68,4,6,99.14,27.84,5,6,unknown,MITOCHONDRIA,0.9221597,unknown
Q9HD33,0.01,0.023,0.01,0.043,0.036,0.028,0.094,0.068,0.01,0.067,0.049,0.084,0.121,0.094,0.088,0.106,0.149,0.167,0.143,0.292,0.379,0.259,0.315,0.174,0.214,0.174,0.183,0.076,0.067,0.127,0.081,0.112,0.018,0.022,0.015,0.01,0.01,0.019,0.022,0.014,Q9HD33-2,"Isoform 2 of 39S ribosomal protein L47,  mitochondrial OS=Homo sapiens GN=MRPL47 - [RM47_HUMAN]",33.91,3,10,10,21,101.55,27.39,7,7,85.53,12.17,4,4,58.35,9.13,2,3,81.59,26.96,7,7,unknown,MITOCHONDRIA,0.971385235,MITOCHONDRIA
Q9H2W6,0.01,0.031,0.013,0.065,0.054,0.042,0.113,0.074,0.011,0.074,0.066,0.078,0.119,0.105,0.097,0.106,0.145,0.182,0.119,0.298,0.343,0.263,0.311,0.19,0.223,0.179,0.172,0.073,0.072,0.122,0.074,0.102,0.018,0.012,0.019,0.011,0.011,0.01,0.015,0.01,Q9H2W6,"39S ribosomal protein L46,  mitochondrial OS=Homo sapiens GN=MRPL46 PE=1 SV=1 - [RM46_HUMAN]",40.86,1,10,10,35,215.58,23.66,7,11,132.99,23.66,6,7,204.14,28.67,7,8,303.29,30.11,6,9,unknown,MITOCHONDRIA,0.965795923,MITOCHONDRIA
Q9BRJ2,0.01,0.033,0.01,0.054,0.053,0.041,0.106,0.079,0.012,0.074,0.061,0.081,0.131,0.1,0.094,0.103,0.152,0.178,0.138,0.297,0.366,0.256,0.316,0.195,0.195,0.17,0.18,0.074,0.066,0.122,0.078,0.099,0.014,0.012,0.012,0.011,0.01,0.018,0.01,0.01,Q9BRJ2,"39S ribosomal protein L45,  mitochondrial OS=Homo sapiens GN=MRPL45 PE=1 SV=2 - [RM45_HUMAN]",40.85,1,12,12,33,100.63,29.41,8,8,48.13,11.44,3,3,129,35.95,9,11,157.87,31.7,10,11,unknown,MITOCHONDRIA,0.967507025,MITOCHONDRIA
Q9H9J2,0.01,0.029,0.01,0.034,0.051,0.038,0.107,0.074,0.01,0.066,0.054,0.087,0.131,0.104,0.101,0.108,0.154,0.17,0.145,0.32,0.364,0.275,0.341,0.201,0.21,0.17,0.174,0.072,0.063,0.13,0.064,0.101,0.011,0.019,0.013,0.01,0.01,0.017,0.01,0.01,Q9H9J2,"39S ribosomal protein L44,  mitochondrial OS=Homo sapiens GN=MRPL44 PE=1 SV=1 - [RM44_HUMAN]",51.81,1,16,16,29,201.18,22.59,6,6,132.03,18.07,5,5,202.26,21.69,8,8,299.82,38.25,8,10,unknown,MITOCHONDRIA,0.965280207,MITOCHONDRIA
Q8N983,0.01,0.034,0.01,0.024,0.036,0.036,0.088,0.068,0.01,0.076,0.033,0.085,0.123,0.103,0.091,0.109,0.157,0.171,0.147,0.315,0.369,0.237,0.368,0.2,0.232,0.177,0.179,0.068,0.068,0.123,0.073,0.105,0.011,0.013,0.01,0.01,0.01,0.01,0.01,0.01,Q8N983-4,"Isoform 4 of 39S ribosomal protein L43,  mitochondrial OS=Homo sapiens GN=MRPL43 - [RM43_HUMAN]",49.69,6,8,8,25,202.52,49.69,8,8,101.72,18.24,3,3,154.25,35.22,6,6,193.85,42.14,7,8,unknown,MITOCHONDRIA,0.948913337,MITOCHONDRIA
Q8IXM3,0.01,0.027,0.011,0.056,0.043,0.035,0.08,0.08,0.013,0.063,0.054,0.082,0.132,0.107,0.091,0.111,0.153,0.182,0.11,0.307,0.438,0.265,0.27,0.195,0.147,0.169,0.152,0.07,0.066,0.137,0.071,0.092,0.01,0.01,0.022,0.01,0.01,0.01,0.05,0.01,Q8IXM3,"39S ribosomal protein L41,  mitochondrial OS=Homo sapiens GN=MRPL41 PE=1 SV=1 - [RM41_HUMAN]",40.88,1,6,6,13,68.69,22.63,3,3,63.57,12.41,2,2,81.98,33.58,4,5,66.76,18.25,2,3,unknown,MITOCHONDRIA,0.911349996,unknown
Q9NQ50,0.01,0.028,0.01,0.044,0.073,0.039,0.096,0.074,0.023,0.071,0.049,0.082,0.171,0.097,0.093,0.108,0.174,0.18,0.143,0.29,0.353,0.251,0.301,0.181,0.118,0.174,0.176,0.069,0.052,0.122,0.084,0.105,0.02,0.02,0.015,0.013,0.01,0.011,0.01,0.012,Q9NQ50,"39S ribosomal protein L40,  mitochondrial OS=Homo sapiens GN=MRPL40 PE=1 SV=1 - [RM40_HUMAN]",45.63,1,8,8,30,37.05,12.62,3,3,79.17,33.5,6,9,79.5,33.01,6,8,133.99,40.78,7,10,unknown,MITOCHONDRIA,0.90090149,unknown
Q9BYD3,0.01,0.029,0.011,0.064,0.04,0.04,0.092,0.076,0.018,0.074,0.066,0.083,0.124,0.103,0.087,0.108,0.152,0.176,0.138,0.291,0.352,0.262,0.322,0.18,0.21,0.174,0.164,0.071,0.075,0.129,0.071,0.102,0.015,0.011,0.013,0.01,0.01,0.01,0.01,0.01,Q9BYD3,"39S ribosomal protein L4,  mitochondrial OS=Homo sapiens GN=MRPL4 PE=1 SV=1 - [RM04_HUMAN]",53.38,2,12,12,28,98.84,13.18,4,4,110.91,19.29,4,4,336.59,37.3,7,11,206.85,43.41,8,9,unknown,MITOCHONDRIA,0.96812317,MITOCHONDRIA
Q9NYK5,0.01,0.031,0.01,0.046,0.042,0.042,0.088,0.071,0.01,0.076,0.05,0.082,0.12,0.107,0.092,0.107,0.143,0.167,0.135,0.317,0.36,0.251,0.335,0.198,0.24,0.171,0.188,0.069,0.065,0.12,0.081,0.096,0.01,0.012,0.01,0.01,0.01,0.01,0.01,0.01,Q9NYK5,"39S ribosomal protein L39,  mitochondrial OS=Homo sapiens GN=MRPL39 PE=1 SV=3 - [RM39_HUMAN]",36.09,2,15,15,52,113.05,23.37,10,10,90.17,20.12,8,12,116.32,28.99,11,14,196.43,33.43,12,16,unknown,MITOCHONDRIA,0.964830438,MITOCHONDRIA
Q96DV4,0.01,0.029,0.01,0.019,0.045,0.037,0.102,0.063,0.014,0.067,0.046,0.08,0.129,0.099,0.093,0.107,0.15,0.174,0.139,0.298,0.363,0.262,0.35,0.201,0.209,0.175,0.172,0.077,0.068,0.124,0.077,0.113,0.014,0.012,0.01,0.01,0.011,0.01,0.01,0.01,Q96DV4,"39S ribosomal protein L38,  mitochondrial OS=Homo sapiens GN=MRPL38 PE=1 SV=2 - [RM38_HUMAN]",45.53,2,17,17,47,268.84,33.16,12,14,267.92,31.05,11,12,236.95,31.84,9,9,210.66,34.21,10,12,unknown,MITOCHONDRIA,0.962404539,MITOCHONDRIA
Q9BZE1,0.01,0.023,0.01,0.028,0.035,0.035,0.076,0.07,0.011,0.067,0.026,0.085,0.105,0.101,0.087,0.103,0.134,0.169,0.141,0.304,0.363,0.27,0.353,0.198,0.256,0.185,0.177,0.078,0.082,0.127,0.09,0.114,0.015,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Q9BZE1,"39S ribosomal protein L37,  mitochondrial OS=Homo sapiens GN=MRPL37 PE=1 SV=2 - [RM37_HUMAN]",50.59,1,20,20,40,223.39,28.84,10,10,41.81,9.22,4,5,213.87,32.86,9,9,231.55,42.55,14,16,unknown,MITOCHONDRIA,0.945021665,MITOCHONDRIA
Q9NZE8,0.01,0.026,0.01,0.027,0.046,0.035,0.086,0.074,0.01,0.07,0.044,0.089,0.122,0.097,0.1,0.109,0.141,0.169,0.128,0.295,0.347,0.263,0.348,0.202,0.205,0.177,0.193,0.075,0.068,0.136,0.088,0.118,0.02,0.017,0.01,0.01,0.015,0.012,0.01,0.01,Q9NZE8,"39S ribosomal protein L35,  mitochondrial OS=Homo sapiens GN=MRPL35 PE=1 SV=3 - [RM35_HUMAN]",14.36,2,5,5,9,43.78,14.36,5,5,52.07,10.11,2,2,30.09,5.32,1,1,33.23,5.32,1,1,unknown,MITOCHONDRIA,0.959749,MITOCHONDRIA
Q9BQ48,0.01,0.033,0.011,0.031,0.057,0.049,0.09,0.059,0.01,0.074,0.066,0.076,0.158,0.09,0.102,0.098,0.17,0.173,0.13,0.303,0.339,0.227,0.278,0.194,0.065,0.161,0.17,0.09,0.078,0.119,0.114,0.126,0.027,0.024,0.019,0.01,0.019,0.019,0.01,0.01,Q9BQ48,"39S ribosomal protein L34,  mitochondrial OS=Homo sapiens GN=MRPL34 PE=1 SV=1 - [RM34_HUMAN]",27.17,1,6,6,15,122.7,26.09,4,6,116.35,26.09,3,4,51.27,23.91,2,2,59.9,25,3,3,unknown,MITOCHONDRIA,0.76777588,unknown
O75394,0.01,0.048,0.01,0.015,0.051,0.051,0.098,0.061,0.01,0.073,0.052,0.09,0.158,0.106,0.095,0.096,0.156,0.182,0.144,0.321,0.424,0.225,0.33,0.206,0.13,0.142,0.179,0.078,0.06,0.126,0.071,0.108,0.01,0.018,0.013,0.01,0.01,0.014,0.01,0.01,O75394,"39S ribosomal protein L33,  mitochondrial OS=Homo sapiens GN=MRPL33 PE=1 SV=1 - [RM33_HUMAN]",43.08,1,4,4,13,47.23,41.54,3,3,67.51,40,2,2,131.74,43.08,4,5,75.67,23.08,2,3,unknown,MITOCHONDRIA,0.849319473,unknown
Q9BYC8,0.01,0.033,0.01,0.025,0.088,0.037,0.088,0.061,0.01,0.07,0.038,0.077,0.189,0.097,0.094,0.096,0.207,0.18,0.135,0.322,0.151,0.265,0.34,0.191,0.072,0.167,0.198,0.094,0.039,0.137,0.085,0.119,0.017,0.012,0.013,0.01,0.013,0.01,0.01,0.01,Q9BYC8,"39S ribosomal protein L32,  mitochondrial OS=Homo sapiens GN=MRPL32 PE=1 SV=1 - [RM32_HUMAN]",31.38,1,6,6,12,59.3,23.94,4,4,42.5,13.3,2,2,137.05,26.06,4,4,56.64,19.15,2,2,unknown,MITOCHONDRIA,0.382934412,unknown
