Protein Group Information,,,,Normalized TMT 10-plex reporter ion values,,,,,,,,,
UniProt ID,UniProt Description,Peptides,PSMs,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q3U1J4,DNA damage-binding protein 1 GN=Ddb1 PE=1 SV=2 - [DDB1_MOUSE],48,108,0.3657,0.0868,0.0858,0.0399,0.0537,0.0450,0.0466,0.0973,0.0877,0.0914
Q6P9P6,Kinesin-like protein KIF11 GN=Kif11 PE=2 SV=1 - [KIF11_MOUSE],48,105,0.0802,0.0627,0.0513,0.0300,0.0507,0.0835,0.1007,0.2329,0.0864,0.2217
P27546,Microtubule-associated protein 4 GN=Map4 PE=1 SV=3 - [MAP4_MOUSE],48,99,0.1400,0.0744,0.0592,0.0335,0.0511,0.0652,0.1036,0.1973,0.0848,0.1909
P35822,Receptor-type tyrosine-protein phosphatase kappa GN=Ptprk PE=1 SV=1 - [PTPRK_MOUSE],48,88,0.0405,0.2100,0.1800,0.1111,0.1516,0.1068,0.0593,0.0634,0.0282,0.0491
P26040,Ezrin GN=Ezr PE=1 SV=3 - [EZRI_MOUSE],47,178,0.0318,0.2930,0.1724,0.1177,0.1275,0.0894,0.0450,0.0516,0.0289,0.0426
Q99P72,Reticulon-4 GN=Rtn4 PE=1 SV=2 - [RTN4_MOUSE],47,150,0.0291,0.0849,0.1010,0.0698,0.1663,0.2363,0.1081,0.1019,0.0200,0.0825
Q8CGK3,"Lon protease homolog, mitochondrial GN=Lonp1 PE=1 SV=2 - [LONM_MOUSE]",47,110,0.0180,0.0286,0.0315,0.0215,0.0448,0.0989,0.1975,0.2664,0.0352,0.2576
O08810,116 kDa U5 small nuclear ribonucleoprotein component GN=Eftud2 PE=2 SV=1 - [U5S1_MOUSE],47,103,0.1871,0.0351,0.0441,0.0186,0.0355,0.0399,0.0583,0.1029,0.2687,0.2099
Q8BKG3,Inactive tyrosine-protein kinase 7 GN=Ptk7 PE=1 SV=1 - [PTK7_MOUSE],47,103,0.0303,0.2528,0.1813,0.1080,0.1398,0.1051,0.0555,0.0548,0.0283,0.0441
Q61699-2,Isoform HSP105-beta of Heat shock protein 105 kDa GN=Hsph1 - [HS105_MOUSE],47,97,0.4235,0.1178,0.1191,0.0505,0.0714,0.0510,0.0346,0.0476,0.0358,0.0488
P70206,Plexin-A1 GN=Plxna1 PE=1 SV=1 - [PLXA1_MOUSE],47,91,0.0354,0.2465,0.1587,0.1012,0.1302,0.0989,0.0639,0.0670,0.0320,0.0662
B1AZI6,THO complex subunit 2 GN=Thoc2 PE=3 SV=1 - [THOC2_MOUSE],47,72,0.1360,0.0261,0.0351,0.0191,0.0395,0.0497,0.0741,0.1908,0.2206,0.2089
Q4VA53,Sister chromatid cohesion protein PDS5 homolog B GN=Pds5b PE=1 SV=1 - [PDS5B_MOUSE],47,70,0.0647,0.0332,0.0350,0.0183,0.0399,0.0507,0.1004,0.2312,0.1938,0.2327
P35564,Calnexin GN=Canx PE=1 SV=1 - [CALX_MOUSE],46,192,0.0145,0.0797,0.0754,0.0541,0.1261,0.2196,0.1218,0.1506,0.0198,0.1385
Q62318,Transcription intermediary factor 1-beta GN=Trim28 PE=1 SV=3 - [TIF1B_MOUSE],46,169,0.2399,0.0300,0.0438,0.0168,0.0325,0.0455,0.0810,0.1598,0.1775,0.1734
Q6DYE8,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 GN=Enpp3 PE=1 SV=2 - [ENPP3_MOUSE],46,159,0.0164,0.2245,0.2076,0.1305,0.1740,0.0963,0.0514,0.0462,0.0162,0.0368
P57780,Alpha-actinin-4 GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE],46,141,0.1581,0.2317,0.1367,0.0864,0.1189,0.1093,0.0489,0.0419,0.0363,0.0318
P42932,T-complex protein 1 subunit theta GN=Cct8 PE=1 SV=3 - [TCPQ_MOUSE],46,133,0.3701,0.1167,0.1084,0.0536,0.0772,0.0589,0.0413,0.0564,0.0367,0.0806
Q8VEK3,Heterogeneous nuclear ribonucleoprotein U GN=Hnrnpu PE=1 SV=1 - [HNRPU_MOUSE],46,129,0.2209,0.0260,0.0436,0.0144,0.0346,0.0448,0.0513,0.0812,0.3422,0.1409
Q91ZW3,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 GN=Smarca5 PE=1 SV=1 - [SMCA5_MOUSE],46,106,0.0447,0.0189,0.0204,0.0116,0.0239,0.0441,0.1083,0.2631,0.2101,0.2548
P37913,DNA ligase 1 GN=Lig1 PE=1 SV=2 - [DNLI1_MOUSE],46,102,0.1779,0.0250,0.0340,0.0117,0.0251,0.0436,0.1101,0.2611,0.0768,0.2348
Q920B9,FACT complex subunit SPT16 GN=Supt16h PE=1 SV=2 - [SP16H_MOUSE],46,96,0.1846,0.0198,0.0328,0.0126,0.0246,0.0412,0.0917,0.2294,0.1475,0.2157
Q8C0D4,Rho GTPase-activating protein 12 GN=Arhgap12 PE=1 SV=2 - [RHG12_MOUSE],46,92,0.0529,0.2827,0.1618,0.0966,0.1185,0.0840,0.0466,0.0656,0.0352,0.0562
Q8CIE6,Coatomer subunit alpha GN=Copa PE=1 SV=2 - [COPA_MOUSE],46,89,0.2408,0.0659,0.0765,0.0435,0.0914,0.1099,0.0766,0.1258,0.0443,0.1254
Q5SSZ5,Tensin-3 GN=Tns3 PE=1 SV=1 - [TENS3_MOUSE],46,83,0.0904,0.2037,0.1292,0.0778,0.1054,0.1045,0.0705,0.0907,0.0399,0.0880
Q8K2Z4,Condensin complex subunit 1 GN=Ncapd2 PE=1 SV=2 - [CND1_MOUSE],46,81,0.1091,0.0657,0.0491,0.0296,0.0468,0.0613,0.0846,0.2305,0.1010,0.2225
Q9DBR7,Protein phosphatase 1 regulatory subunit 12A GN=Ppp1r12a PE=1 SV=2 - [MYPT1_MOUSE],46,76,0.0915,0.1137,0.0834,0.0517,0.0811,0.0994,0.0969,0.1740,0.0562,0.1519
P23249,Putative helicase MOV-10 GN=Mov10 PE=1 SV=2 - [MOV10_MOUSE],46,73,0.1374,0.0467,0.0506,0.0268,0.0497,0.0783,0.0910,0.1837,0.1194,0.2165
P09103,Protein disulfide-isomerase GN=P4hb PE=1 SV=2 - [PDIA1_MOUSE],45,207,0.0421,0.0648,0.0769,0.0549,0.1215,0.2499,0.1318,0.1305,0.0178,0.1097
Q8BK67,Protein RCC2 GN=Rcc2 PE=2 SV=1 - [RCC2_MOUSE],45,134,0.0979,0.0374,0.0397,0.0174,0.0353,0.0517,0.0879,0.2461,0.1647,0.2218
Q8BMK4,Cytoskeleton-associated protein 4 GN=Ckap4 PE=2 SV=2 - [CKAP4_MOUSE],45,129,0.0139,0.0364,0.0480,0.0393,0.0920,0.2515,0.1824,0.1568,0.0483,0.1315
Q9CQN1,"Heat shock protein 75 kDa, mitochondrial GN=Trap1 PE=1 SV=1 - [TRAP1_MOUSE]",45,127,0.0184,0.0288,0.0320,0.0213,0.0445,0.0858,0.2239,0.2701,0.0293,0.2459
P25206,DNA replication licensing factor MCM3 GN=Mcm3 PE=1 SV=2 - [MCM3_MOUSE],45,100,0.3392,0.0354,0.0515,0.0186,0.0329,0.0413,0.0580,0.1132,0.1790,0.1308
Q3U7R1,Extended synaptotagmin-1 GN=Esyt1 PE=2 SV=2 - [ESYT1_MOUSE],45,91,0.0352,0.0702,0.0811,0.0632,0.1582,0.2046,0.0966,0.1420,0.0315,0.1174
Q9WU78,Programmed cell death 6-interacting protein GN=Pdcd6ip PE=1 SV=3 - [PDC6I_MOUSE],45,79,0.2321,0.1565,0.1387,0.0838,0.1180,0.0840,0.0426,0.0571,0.0297,0.0573
Q6P5B0,RRP12-like protein GN=Rrp12 PE=1 SV=1 - [RRP12_MOUSE],45,76,0.1801,0.0320,0.0358,0.0156,0.0353,0.0379,0.0610,0.1760,0.2183,0.2080
Q60520,Paired amphipathic helix protein Sin3a GN=Sin3a PE=1 SV=3 - [SIN3A_MOUSE],45,72,0.1019,0.0280,0.0320,0.0168,0.0366,0.0428,0.0876,0.2266,0.2074,0.2203
Q7TT50,Serine/threonine-protein kinase MRCK beta GN=Cdc42bpb PE=1 SV=2 - [MRCKB_MOUSE],45,69,0.0730,0.2254,0.1403,0.0858,0.1179,0.1032,0.0655,0.0723,0.0469,0.0696
Q571H0,Nucleolar pre-ribosomal-associated protein 1 GN=Urb1 PE=2 SV=2 - [NPA1P_MOUSE],45,66,0.1435,0.0280,0.0396,0.0180,0.0362,0.0458,0.0625,0.1523,0.2847,0.1895
Q9R0L6-2,Isoform 2 of Pericentriolar material 1 protein GN=Pcm1 - [PCM1_MOUSE],45,61,0.0769,0.0421,0.0385,0.0229,0.0462,0.0714,0.1067,0.2565,0.1172,0.2216
Q9JKR6,Hypoxia up-regulated protein 1 GN=Hyou1 PE=1 SV=1 - [HYOU1_MOUSE],44,135,0.0349,0.0620,0.0705,0.0526,0.1225,0.2460,0.1411,0.1333,0.0235,0.1136
P80314,T-complex protein 1 subunit beta GN=Cct2 PE=1 SV=4 - [TCPB_MOUSE],44,114,0.3243,0.1178,0.1082,0.0530,0.0753,0.0653,0.0430,0.0735,0.0368,0.1029
Q9ERG0,LIM domain and actin-binding protein 1 GN=Lima1 PE=1 SV=3 - [LIMA1_MOUSE],44,99,0.0769,0.1402,0.0991,0.0567,0.0916,0.1237,0.1028,0.1072,0.1097,0.0922
P25976,Nucleolar transcription factor 1 GN=Ubtf PE=1 SV=1 - [UBF1_MOUSE],44,98,0.0356,0.0198,0.0229,0.0133,0.0291,0.0499,0.1241,0.2925,0.1357,0.2771
Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1 GN=Atp1a1 PE=1 SV=1 - [AT1A1_MOUSE],43,182,0.0233,0.2832,0.1709,0.1008,0.1327,0.1188,0.0641,0.0509,0.0165,0.0389
P80313,T-complex protein 1 subunit eta GN=Cct7 PE=1 SV=1 - [TCPH_MOUSE],43,131,0.3386,0.1137,0.0982,0.0522,0.0698,0.0615,0.0456,0.0779,0.0372,0.1053
Q99KI0,"Aconitate hydratase, mitochondrial GN=Aco2 PE=1 SV=1 - [ACON_MOUSE]",43,118,0.0239,0.0297,0.0326,0.0228,0.0479,0.0998,0.2180,0.2560,0.0282,0.2412
P70261,Paladin GN=Pald1 PE=1 SV=1 - [PALD_MOUSE],43,90,0.0519,0.2322,0.1713,0.1082,0.1557,0.0962,0.0529,0.0584,0.0214,0.0518
A2TJV2,Paralemmin-3 GN=Palm3 PE=2 SV=1 - [PALM3_MOUSE],43,88,0.0207,0.2787,0.1538,0.1130,0.1535,0.1147,0.0589,0.0445,0.0262,0.0360
Q9CZU3,Superkiller viralicidic activity 2-like 2 GN=Skiv2l2 PE=2 SV=1 - [SK2L2_MOUSE],43,80,0.2333,0.0281,0.0444,0.0159,0.0339,0.0427,0.0616,0.1338,0.2393,0.1669
Q91XL9,Oxysterol-binding protein-related protein 1 GN=Osbpl1a PE=1 SV=2 - [OSBL1_MOUSE],43,77,0.0493,0.1389,0.1788,0.1113,0.1750,0.1258,0.0646,0.0662,0.0322,0.0579
Q8BU30,"Isoleucine--tRNA ligase, cytoplasmic GN=Iars PE=2 SV=2 - [SYIC_MOUSE]",43,75,0.4680,0.0720,0.0834,0.0372,0.0591,0.0617,0.0509,0.0610,0.0426,0.0641
Q8BUR4,Dedicator of cytokinesis protein 1 GN=Dock1 PE=1 SV=3 - [DOCK1_MOUSE],43,64,0.0711,0.0938,0.0673,0.0463,0.0761,0.0812,0.0959,0.1876,0.0937,0.1869
P07901,Heat shock protein HSP 90-alpha GN=Hsp90aa1 PE=1 SV=4 - [HS90A_MOUSE],42,214,0.4577,0.1295,0.1217,0.0538,0.0676,0.0514,0.0318,0.0314,0.0232,0.0320
Q91YQ5,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 GN=Rpn1 PE=2 SV=1 - [RPN1_MOUSE],42,166,0.0155,0.0569,0.0633,0.0446,0.0993,0.2111,0.1435,0.1649,0.0567,0.1441
P17426-2,Isoform B of AP-2 complex subunit alpha-1 GN=Ap2a1 - [AP2A1_MOUSE],42,115,0.0514,0.1770,0.1156,0.0744,0.1273,0.1470,0.1002,0.0852,0.0458,0.0761
Q64521,"Glycerol-3-phosphate dehydrogenase, mitochondrial GN=Gpd2 PE=1 SV=2 - [GPDM_MOUSE]",42,92,0.0339,0.0362,0.0417,0.0252,0.0509,0.1029,0.2160,0.2291,0.0443,0.2197
Q3TYD6,Serine/threonine-protein kinase LMTK2 GN=Lmtk2 PE=1 SV=3 - [LMTK2_MOUSE],42,85,0.0299,0.1379,0.1838,0.1297,0.1915,0.1166,0.0615,0.0641,0.0335,0.0515
P14824,Annexin A6 GN=Anxa6 PE=1 SV=3 - [ANXA6_MOUSE],42,84,0.3010,0.1674,0.1499,0.0838,0.1077,0.0672,0.0345,0.0358,0.0234,0.0293
Q80Y84-2,Isoform 2 of Lysine-specific demethylase 5B GN=Kdm5b - [KDM5B_MOUSE],42,83,0.0492,0.0267,0.0283,0.0179,0.0365,0.0541,0.1179,0.2455,0.1879,0.2358
Q8C2E7,WASH complex subunit strumpellin GN=Kiaa0196 PE=2 SV=2 - [STRUM_MOUSE],42,82,0.0759,0.0656,0.0999,0.1011,0.2706,0.1262,0.0637,0.0776,0.0407,0.0786
Q80WE4-3,Isoform 3 of Kinesin-like protein KIF20B GN=Kif20b - [KI20B_MOUSE],42,71,0.0618,0.0497,0.0386,0.0240,0.0420,0.0641,0.1094,0.2406,0.1509,0.2190
A2A791,Zinc finger MYM-type protein 4 GN=Zmym4 PE=1 SV=1 - [ZMYM4_MOUSE],42,68,0.0756,0.0202,0.0255,0.0136,0.0279,0.0464,0.0961,0.2376,0.2082,0.2489
P43406,Integrin alpha-V GN=Itgav PE=1 SV=2 - [ITAV_MOUSE],42,68,0.0391,0.1668,0.1278,0.0998,0.1710,0.1263,0.0734,0.0904,0.0295,0.0759
Q8BX22,Sal-like protein 4 GN=Sall4 PE=1 SV=2 - [SALL4_MOUSE],41,98,0.0308,0.0178,0.0208,0.0113,0.0257,0.0437,0.1086,0.2682,0.2110,0.2624
Q9WVL3,Solute carrier family 12 member 7 GN=Slc12a7 PE=1 SV=1 - [S12A7_MOUSE],41,97,0.0261,0.1914,0.1427,0.0951,0.1530,0.1489,0.0855,0.0764,0.0223,0.0587
Q64511,DNA topoisomerase 2-beta GN=Top2b PE=1 SV=2 - [TOP2B_MOUSE],41,81,0.0372,0.0207,0.0226,0.0122,0.0272,0.0420,0.1244,0.2633,0.1911,0.2592
Q9D5V5,Cullin-5 GN=Cul5 PE=1 SV=3 - [CUL5_MOUSE],41,78,0.1060,0.2703,0.1589,0.0945,0.1205,0.0829,0.0458,0.0458,0.0325,0.0426
O08808,Protein diaphanous homolog 1 GN=Diaph1 PE=1 SV=1 - [DIAP1_MOUSE],41,77,0.1882,0.1643,0.1108,0.0623,0.0902,0.0800,0.0652,0.1073,0.0364,0.0954
Q3TJ91,Lethal(2) giant larvae protein homolog 2 GN=Llgl2 PE=2 SV=2 - [L2GL2_MOUSE],41,77,0.0449,0.2723,0.1767,0.1029,0.1264,0.0953,0.0510,0.0550,0.0313,0.0440
Q91Z67,SLIT-ROBO Rho GTPase-activating protein 2 GN=Srgap2 PE=1 SV=2 - [SRGP2_MOUSE],41,75,0.0381,0.2696,0.1611,0.1064,0.1153,0.0783,0.0476,0.0799,0.0311,0.0727
Q6EDY6,Leucine-rich repeat-containing protein 16A GN=Lrrc16a PE=1 SV=2 - [LR16A_MOUSE],41,68,0.0377,0.2607,0.1722,0.0973,0.1312,0.0913,0.0541,0.0692,0.0315,0.0548
Q8R4U7,Leucine zipper protein 1 GN=Luzp1 PE=1 SV=2 - [LUZP1_MOUSE],41,66,0.0875,0.1717,0.1200,0.0714,0.1108,0.1061,0.0794,0.0998,0.0593,0.0941
Q3UQ44,Ras GTPase-activating-like protein IQGAP2 GN=Iqgap2 PE=1 SV=2 - [IQGA2_MOUSE],41,65,0.0875,0.2602,0.1365,0.0899,0.1199,0.1034,0.0578,0.0603,0.0309,0.0535
Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial GN=Hadha PE=1 SV=1 - [ECHA_MOUSE]",40,127,0.0208,0.0311,0.0355,0.0239,0.0466,0.0989,0.2212,0.2410,0.0455,0.2354
Q99MD9,Nuclear autoantigenic sperm protein GN=Nasp PE=1 SV=2 - [NASP_MOUSE],40,127,0.7200,0.0437,0.0838,0.0181,0.0252,0.0239,0.0192,0.0226,0.0198,0.0239
Q04750,DNA topoisomerase 1 GN=Top1 PE=1 SV=2 - [TOP1_MOUSE],40,91,0.0413,0.0176,0.0197,0.0102,0.0229,0.0441,0.1217,0.2544,0.2264,0.2416
Q921M3,Splicing factor 3B subunit 3 GN=Sf3b3 PE=2 SV=1 - [SF3B3_MOUSE],40,84,0.2275,0.0379,0.0455,0.0201,0.0375,0.0385,0.0488,0.0932,0.2600,0.1911
Q6P542,ATP-binding cassette sub-family F member 1 GN=Abcf1 PE=1 SV=1 - [ABCF1_MOUSE],40,80,0.1943,0.0596,0.0739,0.0350,0.0556,0.0674,0.0818,0.1668,0.0786,0.1870
Q3UJB9,Enhancer of mRNA-decapping protein 4 GN=Edc4 PE=1 SV=2 - [EDC4_MOUSE],40,79,0.0659,0.0358,0.0346,0.0206,0.0425,0.0803,0.0925,0.2443,0.0962,0.2872
Q9EPU0,Regulator of nonsense transcripts 1 GN=Upf1 PE=1 SV=2 - [RENT1_MOUSE],40,78,0.2185,0.1020,0.0887,0.0452,0.0702,0.0760,0.0683,0.1140,0.0817,0.1353
Q9D0R2,"Threonine--tRNA ligase, cytoplasmic GN=Tars PE=1 SV=2 - [SYTC_MOUSE]",40,77,0.3657,0.1252,0.1100,0.0514,0.0679,0.0531,0.0394,0.0776,0.0336,0.0761
P98203-4,Isoform 4 of Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog GN=Arvcf - [ARVC_MOUSE],40,73,0.0245,0.2704,0.1610,0.1021,0.1557,0.1061,0.0551,0.0543,0.0274,0.0433
Q8BWW9,Serine/threonine-protein kinase N2 GN=Pkn2 PE=1 SV=3 - [PKN2_MOUSE],40,73,0.0581,0.2407,0.1559,0.0960,0.1246,0.0974,0.0577,0.0725,0.0330,0.0642
Q6NZJ6,Eukaryotic translation initiation factor 4 gamma 1 GN=Eif4g1 PE=1 SV=1 - [IF4G1_MOUSE],40,68,0.2536,0.0516,0.0613,0.0291,0.0504,0.0668,0.0829,0.1491,0.0743,0.1809
Q8CCJ3,E3 UFM1-protein ligase 1 GN=Ufl1 PE=1 SV=2 - [UFL1_MOUSE],40,68,0.0317,0.0640,0.0733,0.0529,0.1345,0.2004,0.1060,0.1553,0.0449,0.1370
Q65Z40,Wings apart-like protein homolog GN=Wapal PE=1 SV=2 - [WAPL_MOUSE],40,66,0.0874,0.0269,0.0353,0.0156,0.0337,0.0475,0.1020,0.2473,0.1675,0.2367
A2ASQ1-3,Isoform 3 of Agrin GN=Agrn - [AGRIN_MOUSE],40,65,0.0432,0.0710,0.1100,0.0746,0.1522,0.1729,0.1037,0.1217,0.0452,0.1055
Q05920,"Pyruvate carboxylase, mitochondrial GN=Pc PE=1 SV=1 - [PYC_MOUSE]",40,60,0.0384,0.0393,0.0399,0.0260,0.0512,0.0866,0.1650,0.2668,0.0413,0.2454
Q91YE5,Bromodomain adjacent to zinc finger domain protein 2A GN=Baz2a PE=1 SV=2 - [BAZ2A_MOUSE],40,60,0.0425,0.0210,0.0229,0.0137,0.0297,0.0439,0.1179,0.2638,0.2020,0.2426
P11881-2,"Isoform 2 of Inositol 1,4,5-trisphosphate receptor type 1 GN=Itpr1 - [ITPR1_MOUSE]",40,59,0.0427,0.0693,0.0827,0.0568,0.1423,0.1908,0.1055,0.1375,0.0470,0.1254
Q8C9B9,Death-inducer obliterator 1 GN=Dido1 PE=1 SV=4 - [DIDO1_MOUSE],40,51,0.1998,0.0238,0.0441,0.0162,0.0338,0.0420,0.0638,0.1752,0.2282,0.1732
P11499,Heat shock protein HSP 90-beta GN=Hsp90ab1 PE=1 SV=3 - [HS90B_MOUSE],39,194,0.4273,0.1346,0.1252,0.0540,0.0710,0.0582,0.0349,0.0359,0.0227,0.0362
P26043,Radixin GN=Rdx PE=1 SV=3 - [RADI_MOUSE],39,135,0.0374,0.3075,0.1856,0.1158,0.1269,0.0822,0.0367,0.0425,0.0293,0.0358
Q9D0E1-2,Isoform 2 of Heterogeneous nuclear ribonucleoprotein M GN=Hnrnpm - [HNRPM_MOUSE],39,108,0.1252,0.0258,0.0343,0.0168,0.0316,0.0401,0.0590,0.0917,0.4183,0.1572
Q811D0-3,Isoform 3 of Disks large homolog 1 GN=Dlg1 - [DLG1_MOUSE],39,98,0.0318,0.2452,0.1611,0.0957,0.1305,0.1118,0.0709,0.0645,0.0346,0.0539
P70168,Importin subunit beta-1 GN=Kpnb1 PE=1 SV=2 - [IMB1_MOUSE],39,92,0.3198,0.1135,0.0885,0.0440,0.0636,0.0522,0.0438,0.0844,0.1097,0.0805
Q8K0D5,"Elongation factor G, mitochondrial GN=Gfm1 PE=2 SV=1 - [EFGM_MOUSE]",39,91,0.0255,0.0336,0.0337,0.0241,0.0484,0.0978,0.2371,0.2379,0.0375,0.2245
P21619,Lamin-B2 GN=Lmnb2 PE=1 SV=2 - [LMNB2_MOUSE],39,84,0.0141,0.0164,0.0178,0.0103,0.0221,0.0527,0.1178,0.3003,0.1703,0.2783
P97311,DNA replication licensing factor MCM6 GN=Mcm6 PE=1 SV=1 - [MCM6_MOUSE],39,77,0.4607,0.0267,0.0573,0.0146,0.0256,0.0303,0.0409,0.0809,0.1856,0.0774
Q0VGY8,Protein TANC1 GN=Tanc1 PE=1 SV=2 - [TANC1_MOUSE],39,68,0.0798,0.2133,0.1375,0.0859,0.1087,0.0937,0.0598,0.0826,0.0586,0.0802
P02469,Laminin subunit beta-1 GN=Lamb1 PE=1 SV=3 - [LAMB1_MOUSE],39,63,0.0411,0.0723,0.1001,0.0699,0.1283,0.1734,0.1191,0.1317,0.0514,0.1127
O35134,DNA-directed RNA polymerase I subunit RPA1 GN=Polr1a PE=1 SV=2 - [RPA1_MOUSE],39,58,0.1858,0.0432,0.0518,0.0261,0.0493,0.0621,0.0789,0.1814,0.1377,0.1837
Q91YR7,Pre-mRNA-processing factor 6 GN=Prpf6 PE=2 SV=1 - [PRP6_MOUSE],39,53,0.2031,0.0344,0.0476,0.0210,0.0431,0.0461,0.0542,0.1098,0.2581,0.1826
P63017,Heat shock cognate 71 kDa protein GN=Hspa8 PE=1 SV=1 - [HSP7C_MOUSE],38,200,0.3888,0.1142,0.1071,0.0489,0.0740,0.0578,0.0377,0.0538,0.0658,0.0519
Q925I1,ATPase family AAA domain-containing protein 3 GN=Atad3 PE=1 SV=1 - [ATAD3_MOUSE],38,80,0.0291,0.0267,0.0295,0.0215,0.0459,0.0901,0.1997,0.2382,0.0953,0.2241
Q9ERK4,Exportin-2 GN=Cse1l PE=2 SV=1 - [XPO2_MOUSE],38,76,0.6044,0.0410,0.0727,0.0210,0.0316,0.0332,0.0369,0.0551,0.0499,0.0543
P58281-2,"Isoform 2 of Dynamin-like 120 kDa protein, mitochondrial GN=Opa1 - [OPA1_MOUSE]",38,74,0.0284,0.0345,0.0356,0.0251,0.0500,0.1069,0.2297,0.2314,0.0389,0.2195
Q8BJ71,Nuclear pore complex protein Nup93 GN=Nup93 PE=2 SV=1 - [NUP93_MOUSE],38,66,0.1211,0.0467,0.0486,0.0285,0.0495,0.0543,0.0652,0.1166,0.3298,0.1396
Q91VW5,Golgin subfamily A member 4 GN=Golga4 PE=1 SV=2 - [GOGA4_MOUSE],38,48,0.0809,0.0507,0.0697,0.0451,0.0886,0.1036,0.1093,0.2127,0.0471,0.1923
P09055,Integrin beta-1 GN=Itgb1 PE=1 SV=1 - [ITB1_MOUSE],37,144,0.0176,0.2529,0.1708,0.1084,0.1656,0.1163,0.0572,0.0560,0.0146,0.0407
P30416,Peptidyl-prolyl cis-trans isomerase FKBP4 GN=Fkbp4 PE=1 SV=5 - [FKBP4_MOUSE],37,98,0.4208,0.1461,0.1197,0.0566,0.0719,0.0472,0.0281,0.0436,0.0265,0.0395
Q8CIB5,Fermitin family homolog 2 GN=Fermt2 PE=1 SV=1 - [FERM2_MOUSE],37,92,0.0471,0.3151,0.1649,0.1010,0.1098,0.0796,0.0412,0.0606,0.0249,0.0559
P80318,T-complex protein 1 subunit gamma GN=Cct3 PE=1 SV=1 - [TCPG_MOUSE],37,89,0.3308,0.1169,0.1061,0.0492,0.0737,0.0612,0.0416,0.0799,0.0351,0.1055
Q8BIJ6,"Isoleucine--tRNA ligase, mitochondrial GN=Iars2 PE=2 SV=1 - [SYIM_MOUSE]",37,88,0.0278,0.0379,0.0361,0.0250,0.0496,0.1051,0.2081,0.2359,0.0380,0.2366
Q8C7X2-2,Isoform 2 of ER membrane protein complex subunit 1 GN=Emc1 - [EMC1_MOUSE],37,87,0.0336,0.0614,0.0635,0.0503,0.1131,0.2037,0.1323,0.1504,0.0541,0.1375
A2A432,Cullin-4B GN=Cul4b PE=1 SV=1 - [CUL4B_MOUSE],37,84,0.2290,0.0464,0.0522,0.0239,0.0376,0.0475,0.0753,0.1933,0.1113,0.1835
Q9CWJ9,Bifunctional purine biosynthesis protein PURH GN=Atic PE=1 SV=2 - [PUR9_MOUSE],37,84,0.4033,0.1394,0.1376,0.0602,0.0785,0.0550,0.0346,0.0361,0.0228,0.0326
Q9EQH3,Vacuolar protein sorting-associated protein 35 GN=Vps35 PE=1 SV=1 - [VPS35_MOUSE],37,84,0.1346,0.0567,0.0727,0.0891,0.2756,0.1513,0.0656,0.0635,0.0328,0.0582
P37040,NADPH--cytochrome P450 reductase GN=Por PE=1 SV=2 - [NCPR_MOUSE],37,72,0.0339,0.0967,0.0930,0.0637,0.1413,0.1692,0.0982,0.1446,0.0313,0.1283
P05532-2,Isoform 2 of Mast/stem cell growth factor receptor Kit GN=Kit - [KIT_MOUSE],37,71,0.0301,0.2502,0.1690,0.1089,0.1560,0.1024,0.0532,0.0591,0.0244,0.0466
Q6P5F9,Exportin-1 GN=Xpo1 PE=1 SV=1 - [XPO1_MOUSE],37,71,0.4080,0.0522,0.0692,0.0276,0.0447,0.0475,0.0503,0.0847,0.1198,0.0960
Q61881,DNA replication licensing factor MCM7 GN=Mcm7 PE=2 SV=1 - [MCM7_MOUSE],37,68,0.4378,0.0276,0.0538,0.0146,0.0257,0.0317,0.0446,0.0988,0.1663,0.0990
Q8BHB4,WD repeat-containing protein 3 GN=Wdr3 PE=2 SV=1 - [WDR3_MOUSE],37,67,0.1202,0.0308,0.0379,0.0198,0.0356,0.0439,0.0718,0.1743,0.2634,0.2022
Q3UH60,Disco-interacting protein 2 homolog B GN=Dip2b PE=1 SV=1 - [DIP2B_MOUSE],37,66,0.0627,0.2583,0.1706,0.0979,0.1189,0.0788,0.0481,0.0633,0.0402,0.0613
P35601-2,Isoform 2 of Replication factor C subunit 1 GN=Rfc1 - [RFC1_MOUSE],37,61,0.0781,0.0256,0.0282,0.0159,0.0328,0.0509,0.0965,0.2744,0.1389,0.2588
Q8VD75,Huntingtin-interacting protein 1 GN=Hip1 PE=1 SV=2 - [HIP1_MOUSE],37,55,0.0396,0.1728,0.1132,0.0743,0.0974,0.1451,0.1080,0.0961,0.0660,0.0873
P70336,Rho-associated protein kinase 2 GN=Rock2 PE=1 SV=1 - [ROCK2_MOUSE],37,52,0.0772,0.1471,0.0960,0.0685,0.0982,0.1374,0.1108,0.1102,0.0571,0.0976
